scope	aggregation_level	evidence_route	gene_biotype	physical_rows	physical_copy_cn	own_annotation_identity_cn	ontology_eligible_rows	ontology_eligible_cn	ontology_ineligible_cn	direct_term_edge_cn	closure_term_edge_cn
genome	BIOTYPE	ALL	C_region	23	23	23	22	22	1	271	1527
genome	BIOTYPE	ALL	C_region_pseudogene	5	5	5	2	2	3	20	82
genome	BIOTYPE	ALL	J_segment	79	79	79	14	14	65	15	71
genome	BIOTYPE	ALL	J_segment_pseudogene	6	6	6	0	0	6	0	0
genome	BIOTYPE	ALL	RNase_MRP_RNA	1	1	1	0	0	1	0	0
genome	BIOTYPE	ALL	RNase_P_RNA	1	1	1	1	1	0	3	39
genome	BIOTYPE	ALL	V_segment	245	245	245	218	218	27	785	3396
genome	BIOTYPE	ALL	V_segment_pseudogene	209	209	209	11	11	198	25	139
genome	BIOTYPE	ALL	Y_RNA	7	7	7	0	0	7	0	0
genome	BIOTYPE	ALL	antisense_RNA	19	19	19	3	3	16	4	40
genome	BIOTYPE	ALL	lncRNA	18389	18389	18389	191	191	18198	507	4036
genome	BIOTYPE	ALL	miRNA	2046	2046	2046	646	646	1400	4178	35213
genome	BIOTYPE	ALL	misc_RNA	37	37	37	7	7	30	37	183
genome	BIOTYPE	ALL	ncRNA	49	49	49	4	4	45	10	132
genome	BIOTYPE	ALL	ncRNA_pseudogene	1	1	1	0	0	1	0	0
genome	BIOTYPE	ALL	other	13	13	11	4	4	9	18	114
genome	BIOTYPE	ALL	protein_coding	20008	20008	20008	18916	18916	1092	336005	1637234
genome	BIOTYPE	ALL	pseudogene	16018	16018	16014	10860	10860	5158	265441	1159439
genome	BIOTYPE	ALL	rRNA	982	982	106	41	41	941	82	451
genome	BIOTYPE	ALL	scRNA	4	4	4	3	3	1	6	90
genome	BIOTYPE	ALL	snRNA	192	192	192	1	1	191	2	42
genome	BIOTYPE	ALL	snoRNA	1188	1188	1188	32	32	1156	64	960
genome	BIOTYPE	ALL	tRNA	523	523	523	0	0	523	0	0
genome	BIOTYPE	ALL	telomerase_RNA	1	1	1	0	0	1	0	0
genome	BIOTYPE	ALL	transcribed_pseudogene	1262	1262	1262	990	990	272	18575	86521
genome	BIOTYPE	ALL	vault_RNA	4	4	4	0	0	4	0	0
genome	ROUTE	AMBIGUOUS_FAIL_CLOSED	ALL	45	45	45	0	0	45	0	0
genome	ROUTE	EXACT_SELF	ALL	20405	20405	20405	20405	20405	0	343605	1693308
genome	ROUTE	EXPLICIT_RELATED_FUNCTIONAL_GENE	ALL	11561	11561	11561	11561	11561	0	282443	1236401
genome	ROUTE	TYPE_ONLY	ALL	890	890	8	0	0	890	0	0
genome	ROUTE	UNRESOLVED	ALL	4	4	4	0	0	4	0	0
genome	ROUTE	UNSUPPORTED_FAIL_CLOSED	ALL	28407	28407	28407	0	0	28407	0	0
genome	ROUTE_BY_BIOTYPE	AMBIGUOUS_FAIL_CLOSED	pseudogene	44	44	44	0	0	44	0	0
genome	ROUTE_BY_BIOTYPE	AMBIGUOUS_FAIL_CLOSED	transcribed_pseudogene	1	1	1	0	0	1	0	0
genome	ROUTE_BY_BIOTYPE	EXACT_SELF	C_region	22	22	22	22	22	0	271	1527
genome	ROUTE_BY_BIOTYPE	EXACT_SELF	C_region_pseudogene	1	1	1	1	1	0	11	50
genome	ROUTE_BY_BIOTYPE	EXACT_SELF	J_segment	14	14	14	14	14	0	15	71
genome	ROUTE_BY_BIOTYPE	EXACT_SELF	RNase_P_RNA	1	1	1	1	1	0	3	39
genome	ROUTE_BY_BIOTYPE	EXACT_SELF	V_segment	218	218	218	218	218	0	785	3396
genome	ROUTE_BY_BIOTYPE	EXACT_SELF	V_segment_pseudogene	11	11	11	11	11	0	25	139
genome	ROUTE_BY_BIOTYPE	EXACT_SELF	antisense_RNA	3	3	3	3	3	0	4	40
genome	ROUTE_BY_BIOTYPE	EXACT_SELF	lncRNA	188	188	188	188	188	0	455	3765
genome	ROUTE_BY_BIOTYPE	EXACT_SELF	miRNA	646	646	646	646	646	0	4178	35213
genome	ROUTE_BY_BIOTYPE	EXACT_SELF	misc_RNA	7	7	7	7	7	0	37	183
genome	ROUTE_BY_BIOTYPE	EXACT_SELF	ncRNA	4	4	4	4	4	0	10	132
genome	ROUTE_BY_BIOTYPE	EXACT_SELF	other	4	4	4	4	4	0	18	114
genome	ROUTE_BY_BIOTYPE	EXACT_SELF	protein_coding	18913	18913	18913	18913	18913	0	335957	1636972
genome	ROUTE_BY_BIOTYPE	EXACT_SELF	pseudogene	111	111	111	111	111	0	681	4246
genome	ROUTE_BY_BIOTYPE	EXACT_SELF	rRNA	41	41	41	41	41	0	82	451
genome	ROUTE_BY_BIOTYPE	EXACT_SELF	scRNA	3	3	3	3	3	0	6	90
genome	ROUTE_BY_BIOTYPE	EXACT_SELF	snRNA	1	1	1	1	1	0	2	42
genome	ROUTE_BY_BIOTYPE	EXACT_SELF	snoRNA	32	32	32	32	32	0	64	960
genome	ROUTE_BY_BIOTYPE	EXACT_SELF	transcribed_pseudogene	185	185	185	185	185	0	1001	5878
genome	ROUTE_BY_BIOTYPE	EXPLICIT_RELATED_FUNCTIONAL_GENE	C_region_pseudogene	1	1	1	1	1	0	9	32
genome	ROUTE_BY_BIOTYPE	EXPLICIT_RELATED_FUNCTIONAL_GENE	lncRNA	3	3	3	3	3	0	52	271
genome	ROUTE_BY_BIOTYPE	EXPLICIT_RELATED_FUNCTIONAL_GENE	protein_coding	3	3	3	3	3	0	48	262
genome	ROUTE_BY_BIOTYPE	EXPLICIT_RELATED_FUNCTIONAL_GENE	pseudogene	10749	10749	10749	10749	10749	0	264760	1155193
genome	ROUTE_BY_BIOTYPE	EXPLICIT_RELATED_FUNCTIONAL_GENE	transcribed_pseudogene	805	805	805	805	805	0	17574	80643
genome	ROUTE_BY_BIOTYPE	TYPE_ONLY	lncRNA	2	2	2	0	0	2	0	0
genome	ROUTE_BY_BIOTYPE	TYPE_ONLY	other	2	2	0	0	0	2	0	0
genome	ROUTE_BY_BIOTYPE	TYPE_ONLY	pseudogene	9	9	5	0	0	9	0	0
genome	ROUTE_BY_BIOTYPE	TYPE_ONLY	rRNA	876	876	0	0	0	876	0	0
genome	ROUTE_BY_BIOTYPE	TYPE_ONLY	transcribed_pseudogene	1	1	1	0	0	1	0	0
genome	ROUTE_BY_BIOTYPE	UNRESOLVED	pseudogene	4	4	4	0	0	4	0	0
genome	ROUTE_BY_BIOTYPE	UNSUPPORTED_FAIL_CLOSED	C_region	1	1	1	0	0	1	0	0
genome	ROUTE_BY_BIOTYPE	UNSUPPORTED_FAIL_CLOSED	C_region_pseudogene	3	3	3	0	0	3	0	0
genome	ROUTE_BY_BIOTYPE	UNSUPPORTED_FAIL_CLOSED	J_segment	65	65	65	0	0	65	0	0
genome	ROUTE_BY_BIOTYPE	UNSUPPORTED_FAIL_CLOSED	J_segment_pseudogene	6	6	6	0	0	6	0	0
genome	ROUTE_BY_BIOTYPE	UNSUPPORTED_FAIL_CLOSED	RNase_MRP_RNA	1	1	1	0	0	1	0	0
genome	ROUTE_BY_BIOTYPE	UNSUPPORTED_FAIL_CLOSED	V_segment	27	27	27	0	0	27	0	0
genome	ROUTE_BY_BIOTYPE	UNSUPPORTED_FAIL_CLOSED	V_segment_pseudogene	198	198	198	0	0	198	0	0
genome	ROUTE_BY_BIOTYPE	UNSUPPORTED_FAIL_CLOSED	Y_RNA	7	7	7	0	0	7	0	0
genome	ROUTE_BY_BIOTYPE	UNSUPPORTED_FAIL_CLOSED	antisense_RNA	16	16	16	0	0	16	0	0
genome	ROUTE_BY_BIOTYPE	UNSUPPORTED_FAIL_CLOSED	lncRNA	18196	18196	18196	0	0	18196	0	0
genome	ROUTE_BY_BIOTYPE	UNSUPPORTED_FAIL_CLOSED	miRNA	1400	1400	1400	0	0	1400	0	0
genome	ROUTE_BY_BIOTYPE	UNSUPPORTED_FAIL_CLOSED	misc_RNA	30	30	30	0	0	30	0	0
genome	ROUTE_BY_BIOTYPE	UNSUPPORTED_FAIL_CLOSED	ncRNA	45	45	45	0	0	45	0	0
genome	ROUTE_BY_BIOTYPE	UNSUPPORTED_FAIL_CLOSED	ncRNA_pseudogene	1	1	1	0	0	1	0	0
genome	ROUTE_BY_BIOTYPE	UNSUPPORTED_FAIL_CLOSED	other	7	7	7	0	0	7	0	0
genome	ROUTE_BY_BIOTYPE	UNSUPPORTED_FAIL_CLOSED	protein_coding	1092	1092	1092	0	0	1092	0	0
genome	ROUTE_BY_BIOTYPE	UNSUPPORTED_FAIL_CLOSED	pseudogene	5101	5101	5101	0	0	5101	0	0
genome	ROUTE_BY_BIOTYPE	UNSUPPORTED_FAIL_CLOSED	rRNA	65	65	65	0	0	65	0	0
genome	ROUTE_BY_BIOTYPE	UNSUPPORTED_FAIL_CLOSED	scRNA	1	1	1	0	0	1	0	0
genome	ROUTE_BY_BIOTYPE	UNSUPPORTED_FAIL_CLOSED	snRNA	191	191	191	0	0	191	0	0
genome	ROUTE_BY_BIOTYPE	UNSUPPORTED_FAIL_CLOSED	snoRNA	1156	1156	1156	0	0	1156	0	0
genome	ROUTE_BY_BIOTYPE	UNSUPPORTED_FAIL_CLOSED	tRNA	523	523	523	0	0	523	0	0
genome	ROUTE_BY_BIOTYPE	UNSUPPORTED_FAIL_CLOSED	telomerase_RNA	1	1	1	0	0	1	0	0
genome	ROUTE_BY_BIOTYPE	UNSUPPORTED_FAIL_CLOSED	transcribed_pseudogene	270	270	270	0	0	270	0	0
genome	ROUTE_BY_BIOTYPE	UNSUPPORTED_FAIL_CLOSED	vault_RNA	4	4	4	0	0	4	0	0
genome	TOTAL	ALL	ALL	61312	61312	60430	31966	31966	29346	626048	2929709
phr_midpoint	BIOTYPE	ALL	lncRNA	104	104	104	1	1	103	25	134
phr_midpoint	BIOTYPE	ALL	miRNA	51	51	51	2	2	49	2	42
phr_midpoint	BIOTYPE	ALL	misc_RNA	1	1	1	0	0	1	0	0
phr_midpoint	BIOTYPE	ALL	protein_coding	24	24	24	17	17	7	257	1221
phr_midpoint	BIOTYPE	ALL	pseudogene	204	204	204	150	150	54	2762	12731
phr_midpoint	BIOTYPE	ALL	transcribed_pseudogene	18	18	18	17	17	1	587	2635
phr_midpoint	ROUTE	AMBIGUOUS_FAIL_CLOSED	ALL	8	8	8	0	0	8	0	0
phr_midpoint	ROUTE	EXACT_SELF	ALL	20	20	20	20	20	0	262	1311
phr_midpoint	ROUTE	EXPLICIT_RELATED_FUNCTIONAL_GENE	ALL	167	167	167	167	167	0	3371	15452
phr_midpoint	ROUTE	TYPE_ONLY	ALL	5	5	5	0	0	5	0	0
phr_midpoint	ROUTE	UNRESOLVED	ALL	2	2	2	0	0	2	0	0
phr_midpoint	ROUTE	UNSUPPORTED_FAIL_CLOSED	ALL	200	200	200	0	0	200	0	0
phr_midpoint	ROUTE_BY_BIOTYPE	AMBIGUOUS_FAIL_CLOSED	pseudogene	8	8	8	0	0	8	0	0
phr_midpoint	ROUTE_BY_BIOTYPE	EXACT_SELF	miRNA	2	2	2	2	2	0	2	42
phr_midpoint	ROUTE_BY_BIOTYPE	EXACT_SELF	protein_coding	17	17	17	17	17	0	257	1221
phr_midpoint	ROUTE_BY_BIOTYPE	EXACT_SELF	transcribed_pseudogene	1	1	1	1	1	0	3	48
phr_midpoint	ROUTE_BY_BIOTYPE	EXPLICIT_RELATED_FUNCTIONAL_GENE	lncRNA	1	1	1	1	1	0	25	134
phr_midpoint	ROUTE_BY_BIOTYPE	EXPLICIT_RELATED_FUNCTIONAL_GENE	pseudogene	150	150	150	150	150	0	2762	12731
phr_midpoint	ROUTE_BY_BIOTYPE	EXPLICIT_RELATED_FUNCTIONAL_GENE	transcribed_pseudogene	16	16	16	16	16	0	584	2587
phr_midpoint	ROUTE_BY_BIOTYPE	TYPE_ONLY	lncRNA	1	1	1	0	0	1	0	0
phr_midpoint	ROUTE_BY_BIOTYPE	TYPE_ONLY	pseudogene	4	4	4	0	0	4	0	0
phr_midpoint	ROUTE_BY_BIOTYPE	UNRESOLVED	pseudogene	2	2	2	0	0	2	0	0
phr_midpoint	ROUTE_BY_BIOTYPE	UNSUPPORTED_FAIL_CLOSED	lncRNA	102	102	102	0	0	102	0	0
phr_midpoint	ROUTE_BY_BIOTYPE	UNSUPPORTED_FAIL_CLOSED	miRNA	49	49	49	0	0	49	0	0
phr_midpoint	ROUTE_BY_BIOTYPE	UNSUPPORTED_FAIL_CLOSED	misc_RNA	1	1	1	0	0	1	0	0
phr_midpoint	ROUTE_BY_BIOTYPE	UNSUPPORTED_FAIL_CLOSED	protein_coding	7	7	7	0	0	7	0	0
phr_midpoint	ROUTE_BY_BIOTYPE	UNSUPPORTED_FAIL_CLOSED	pseudogene	40	40	40	0	0	40	0	0
phr_midpoint	ROUTE_BY_BIOTYPE	UNSUPPORTED_FAIL_CLOSED	transcribed_pseudogene	1	1	1	0	0	1	0	0
phr_midpoint	TOTAL	ALL	ALL	402	402	402	187	187	215	3633	16763
phr_any_overlap	BIOTYPE	ALL	lncRNA	108	108	108	1	1	107	25	134
phr_any_overlap	BIOTYPE	ALL	miRNA	51	51	51	2	2	49	2	42
phr_any_overlap	BIOTYPE	ALL	misc_RNA	1	1	1	0	0	1	0	0
phr_any_overlap	BIOTYPE	ALL	protein_coding	27	27	27	20	20	7	290	1394
phr_any_overlap	BIOTYPE	ALL	pseudogene	204	204	204	150	150	54	2762	12731
phr_any_overlap	BIOTYPE	ALL	transcribed_pseudogene	21	21	21	20	20	1	752	3278
phr_any_overlap	ROUTE	AMBIGUOUS_FAIL_CLOSED	ALL	8	8	8	0	0	8	0	0
phr_any_overlap	ROUTE	EXACT_SELF	ALL	23	23	23	23	23	0	295	1484
phr_any_overlap	ROUTE	EXPLICIT_RELATED_FUNCTIONAL_GENE	ALL	170	170	170	170	170	0	3536	16095
phr_any_overlap	ROUTE	TYPE_ONLY	ALL	5	5	5	0	0	5	0	0
phr_any_overlap	ROUTE	UNRESOLVED	ALL	2	2	2	0	0	2	0	0
phr_any_overlap	ROUTE	UNSUPPORTED_FAIL_CLOSED	ALL	204	204	204	0	0	204	0	0
phr_any_overlap	ROUTE_BY_BIOTYPE	AMBIGUOUS_FAIL_CLOSED	pseudogene	8	8	8	0	0	8	0	0
phr_any_overlap	ROUTE_BY_BIOTYPE	EXACT_SELF	miRNA	2	2	2	2	2	0	2	42
phr_any_overlap	ROUTE_BY_BIOTYPE	EXACT_SELF	protein_coding	20	20	20	20	20	0	290	1394
phr_any_overlap	ROUTE_BY_BIOTYPE	EXACT_SELF	transcribed_pseudogene	1	1	1	1	1	0	3	48
phr_any_overlap	ROUTE_BY_BIOTYPE	EXPLICIT_RELATED_FUNCTIONAL_GENE	lncRNA	1	1	1	1	1	0	25	134
phr_any_overlap	ROUTE_BY_BIOTYPE	EXPLICIT_RELATED_FUNCTIONAL_GENE	pseudogene	150	150	150	150	150	0	2762	12731
phr_any_overlap	ROUTE_BY_BIOTYPE	EXPLICIT_RELATED_FUNCTIONAL_GENE	transcribed_pseudogene	19	19	19	19	19	0	749	3230
phr_any_overlap	ROUTE_BY_BIOTYPE	TYPE_ONLY	lncRNA	1	1	1	0	0	1	0	0
phr_any_overlap	ROUTE_BY_BIOTYPE	TYPE_ONLY	pseudogene	4	4	4	0	0	4	0	0
phr_any_overlap	ROUTE_BY_BIOTYPE	UNRESOLVED	pseudogene	2	2	2	0	0	2	0	0
phr_any_overlap	ROUTE_BY_BIOTYPE	UNSUPPORTED_FAIL_CLOSED	lncRNA	106	106	106	0	0	106	0	0
