layer	metric	value
interchrom	source	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027mat_vs_PAN010_joint.sweepga_f32.10to10.query_2000bp.predepth_class_winners.impg_similarity.tsv.gz
interchrom	merge_rule	same query_seq/donor_seq with query-adjacent and donor-adjacent endpoints in a consistent donor direction
interchrom	end_to_end_merge_gap_bp	0
interchrom	raw_segments_2kb	1036
interchrom	end_to_end_runs	660
interchrom	drawn_runs	25
interchrom	drawn_bp	366000
interchrom	absorbed_fragments	376
interchrom	multi_window_runs	177
interchrom	max_absorbed_query_endpoint_gap_bp	0
interchrom	max_absorbed_donor_endpoint_gap_bp	0
interchrom	merged_windows	1036
interchrom	all_multi_window_runs_with_first_window_only_query_span	0
interchrom	all_query_span_shorter_than_bp_runs	0
interchrom	all_query_span_longer_than_bp_runs	0
interchrom	all_max_query_span_bp	34000
interchrom	all_max_donor_span_bp	34041
interchrom	all_max_windows_per_run	17
interchrom	drawn_multi_window_runs_with_first_window_only_query_span	0
interchrom	drawn_query_span_shorter_than_bp_runs	0
interchrom	drawn_query_span_longer_than_bp_runs	0
interchrom	drawn_max_query_span_bp	34000
interchrom	drawn_max_donor_span_bp	34041
interchrom	drawn_max_windows_per_run	17
homolog	source	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027mat_vs_PAN010_joint.sweepga_f32.10to10.query_2000bp.predepth_class_winners.impg_similarity.tsv.gz
homolog	merge_rule	same query_seq/donor_seq with query-adjacent and donor-adjacent endpoints in a consistent donor direction
homolog	end_to_end_merge_gap_bp	0
homolog	raw_segments_2kb	169893
homolog	end_to_end_runs	69769
homolog	drawn_runs	4255
homolog	drawn_bp	99316447
homolog	absorbed_fragments	100124
homolog	multi_window_runs	37879
homolog	max_absorbed_query_endpoint_gap_bp	0
homolog	max_absorbed_donor_endpoint_gap_bp	0
homolog	merged_windows	169893
homolog	all_multi_window_runs_with_first_window_only_query_span	0
homolog	all_query_span_shorter_than_bp_runs	0
homolog	all_query_span_longer_than_bp_runs	0
homolog	all_max_query_span_bp	2902000
homolog	all_max_donor_span_bp	2901999
homolog	all_max_windows_per_run	1451
homolog	drawn_multi_window_runs_with_first_window_only_query_span	0
homolog	drawn_query_span_shorter_than_bp_runs	0
homolog	drawn_query_span_longer_than_bp_runs	0
homolog	drawn_max_query_span_bp	2902000
homolog	drawn_max_donor_span_bp	2901999
homolog	drawn_max_windows_per_run	1451
