metric	value
source	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027pat_vs_PAN011_joint.sweepga_f32.10to10.query_2000bp.predepth_class_winners.impg_similarity.tsv.gz
homolog_layer_definition	grouped same_chrom father-child donor intervals drawn to child intervals from the 10:10 IMPG class-winner table
homolog_min_identity	0.95
homolog_min_bp	10000
end_to_end_merge_gap_bp	0
homolog_display_merge_max_query_gap_bp	5000000
homolog_display_merge_max_donor_gap_bp	10000000
homolog_segments_2kb	174123
homolog_end_to_end_runs	66592
drawn_homolog_runs	94
drawn_homolog_bp	347828487
all_multi_window_runs_with_first_window_only_query_span	0
all_query_span_shorter_than_bp_runs	0
all_query_span_longer_than_bp_runs	0
all_max_query_span_bp	1444000
all_max_donor_span_bp	1444064
all_max_windows_per_run	722
drawn_multi_window_runs_with_first_window_only_query_span	0
drawn_query_span_shorter_than_bp_runs	0
drawn_query_span_longer_than_bp_runs	92
drawn_max_query_span_bp	244276000
drawn_max_donor_span_bp	244436900
drawn_max_windows_per_run	15465
drawn_interchrom_runs	52
drawn_interchrom_bp	940000
