JobID|State|ExitCode|Elapsed|AllocCPUS|NodeList
1705844_1|COMPLETED|0:0|00:01:56|4|tux05
1705844_1.batch|COMPLETED|0:0|00:01:56|4|tux05
1705844_2|COMPLETED|0:0|00:02:13|4|tux05
1705844_2.batch|COMPLETED|0:0|00:02:13|4|tux05
1705844_3|COMPLETED|0:0|00:02:59|4|tux05
1705844_3.batch|COMPLETED|0:0|00:02:59|4|tux05
1705844_4|COMPLETED|0:0|00:06:04|4|tux05
1705844_4.batch|COMPLETED|0:0|00:06:04|4|tux05
1705844_5|COMPLETED|0:0|00:07:32|4|tux05
1705844_5.batch|COMPLETED|0:0|00:07:32|4|tux05
1705844_6|COMPLETED|0:0|00:12:14|4|tux05
1705844_6.batch|COMPLETED|0:0|00:12:14|4|tux05
1705844_7|COMPLETED|0:0|00:02:07|4|tux05
1705844_7.batch|COMPLETED|0:0|00:02:07|4|tux05
1705844_8|COMPLETED|0:0|00:02:20|4|tux05
1705844_8.batch|COMPLETED|0:0|00:02:20|4|tux05
1705844_9|COMPLETED|0:0|00:03:36|4|tux05
1705844_9.batch|COMPLETED|0:0|00:03:36|4|tux05
1705844_10|COMPLETED|0:0|00:05:49|4|tux05
1705844_10.batch|COMPLETED|0:0|00:05:49|4|tux05
1705844_11|COMPLETED|0:0|00:07:42|4|tux05
1705844_11.batch|COMPLETED|0:0|00:07:42|4|tux05
1705844_12|COMPLETED|0:0|00:12:43|4|tux05
1705844_12.batch|COMPLETED|0:0|00:12:43|4|tux05
1705844_13|COMPLETED|0:0|00:01:53|4|tux05
1705844_13.batch|COMPLETED|0:0|00:01:53|4|tux05
1705844_14|COMPLETED|0:0|00:02:28|4|tux05
1705844_14.batch|COMPLETED|0:0|00:02:28|4|tux05
1705844_15|COMPLETED|0:0|00:03:38|4|tux05
1705844_15.batch|COMPLETED|0:0|00:03:38|4|tux05
1705844_16|COMPLETED|0:0|00:06:01|4|tux05
1705844_16.batch|COMPLETED|0:0|00:06:01|4|tux05
1705844_17|COMPLETED|0:0|00:07:40|4|tux05
1705844_17.batch|COMPLETED|0:0|00:07:40|4|tux05
1705844_18|COMPLETED|0:0|00:12:43|4|tux05
1705844_18.batch|COMPLETED|0:0|00:12:43|4|tux05
