JobID|State|ExitCode|Elapsed|AllocCPUS|NodeList
1705919_1|COMPLETED|0:0|00:01:40|4|tux05
1705919_1.batch|COMPLETED|0:0|00:01:40|4|tux05
1705919_2|COMPLETED|0:0|00:03:28|4|tux05
1705919_2.batch|COMPLETED|0:0|00:03:28|4|tux05
1705919_3|COMPLETED|0:0|00:01:36|4|tux05
1705919_3.batch|COMPLETED|0:0|00:01:36|4|tux05
1705919_4|COMPLETED|0:0|00:03:40|4|tux05
1705919_4.batch|COMPLETED|0:0|00:03:40|4|tux05
1705919_5|COMPLETED|0:0|00:01:38|4|tux05
1705919_5.batch|COMPLETED|0:0|00:01:38|4|tux05
1705919_6|COMPLETED|0:0|00:03:27|4|tux05
1705919_6.batch|COMPLETED|0:0|00:03:27|4|tux05
