scaffold_jump	min_aln_length	scoring	num_mappings	scaffold_mass	overlap	include
0	default	ani	1:1	10k	default	yes
0	default	ani	4:many	10k	default	yes
0	default	log-length-ani	1:1	10k	default	yes
0	default	log-length-ani	4:many	10k	default	yes
0	1000	ani	1:1	10k	default	yes
0	1000	ani	4:many	10k	default	yes
0	1000	log-length-ani	1:1	10k	default	yes
0	1000	log-length-ani	4:many	10k	default	yes
0	5000	ani	1:1	10k	default	yes
0	5000	ani	4:many	10k	default	yes
0	5000	log-length-ani	1:1	10k	default	yes
0	5000	log-length-ani	4:many	10k	default	yes
0	10000	ani	1:1	10k	default	yes
0	10000	ani	4:many	10k	default	yes
0	10000	log-length-ani	1:1	10k	default	yes
0	10000	log-length-ani	4:many	10k	default	yes
10k	default	ani	1:1	10k	default	yes
10k	default	ani	4:many	10k	default	yes
10k	default	log-length-ani	1:1	10k	default	yes
10k	default	log-length-ani	4:many	10k	default	yes
10k	1000	ani	1:1	10k	default	yes
10k	1000	ani	4:many	10k	default	yes
10k	1000	log-length-ani	1:1	10k	default	yes
10k	1000	log-length-ani	4:many	10k	default	yes
10k	5000	ani	1:1	10k	default	yes
10k	5000	ani	4:many	10k	default	yes
10k	5000	log-length-ani	1:1	10k	default	yes
10k	5000	log-length-ani	4:many	10k	default	yes
10k	10000	ani	1:1	10k	default	yes
10k	10000	ani	4:many	10k	default	yes
10k	10000	log-length-ani	1:1	10k	default	yes
10k	10000	log-length-ani	4:many	10k	default	yes
20k	default	ani	1:1	10k	default	yes
20k	default	ani	4:many	10k	default	yes
20k	default	log-length-ani	1:1	10k	default	yes
20k	default	log-length-ani	4:many	10k	default	yes
20k	1000	ani	1:1	10k	default	yes
20k	1000	ani	4:many	10k	default	yes
20k	1000	log-length-ani	1:1	10k	default	yes
20k	1000	log-length-ani	4:many	10k	default	yes
20k	5000	ani	1:1	10k	default	yes
20k	5000	ani	4:many	10k	default	yes
20k	5000	log-length-ani	1:1	10k	default	yes
20k	5000	log-length-ani	4:many	10k	default	yes
20k	10000	ani	1:1	10k	default	yes
20k	10000	ani	4:many	10k	default	yes
20k	10000	log-length-ani	1:1	10k	default	yes
20k	10000	log-length-ani	4:many	10k	default	yes
50k	default	ani	1:1	10k	default	yes
50k	default	ani	4:many	10k	default	yes
50k	default	log-length-ani	1:1	10k	default	yes
50k	default	log-length-ani	4:many	10k	default	yes
50k	1000	ani	1:1	10k	default	yes
50k	1000	ani	4:many	10k	default	yes
50k	1000	log-length-ani	1:1	10k	default	yes
50k	1000	log-length-ani	4:many	10k	default	yes
50k	5000	ani	1:1	10k	default	yes
50k	5000	ani	4:many	10k	default	yes
50k	5000	log-length-ani	1:1	10k	default	yes
50k	5000	log-length-ani	4:many	10k	default	yes
50k	10000	ani	1:1	10k	default	yes
50k	10000	ani	4:many	10k	default	yes
50k	10000	log-length-ani	1:1	10k	default	yes
50k	10000	log-length-ani	4:many	10k	default	yes
