task_index	comparison_id	source_paf	output_paf	cell_id	scaffold_jump	min_aln_length	scoring	num_mappings	scaffold_mass	overlap	command
1	PAN027pat_vs_PAN011_joint	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j0.ldefault.ani.1to1.m10k.paf.gz	j0.ldefault.ani.1to1.m10k	0	default	ani	1:1	10k	default	/home/erikg/.cargo/bin/sweepga --num-mappings 1:1 --scaffold-jump 0 --scaffold-mass 10k --scoring ani --threads ${THREADS} --output-file ${WORK}/filtered.paf ${WORK}/input.paf
2	PAN027pat_vs_PAN011_joint	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j0.ldefault.ani.4tomany.m10k.paf.gz	j0.ldefault.ani.4tomany.m10k	0	default	ani	4:many	10k	default	/home/erikg/.cargo/bin/sweepga --num-mappings 4:many --scaffold-jump 0 --scaffold-mass 10k --scoring ani --threads ${THREADS} --output-file ${WORK}/filtered.paf ${WORK}/input.paf
3	PAN027pat_vs_PAN011_joint	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j0.ldefault.log_length_ani.1to1.m10k.paf.gz	j0.ldefault.log_length_ani.1to1.m10k	0	default	log-length-ani	1:1	10k	default	/home/erikg/.cargo/bin/sweepga --num-mappings 1:1 --scaffold-jump 0 --scaffold-mass 10k --scoring log-length-ani --threads ${THREADS} --output-file ${WORK}/filtered.paf ${WORK}/input.paf
4	PAN027pat_vs_PAN011_joint	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j0.ldefault.log_length_ani.4tomany.m10k.paf.gz	j0.ldefault.log_length_ani.4tomany.m10k	0	default	log-length-ani	4:many	10k	default	/home/erikg/.cargo/bin/sweepga --num-mappings 4:many --scaffold-jump 0 --scaffold-mass 10k --scoring log-length-ani --threads ${THREADS} --output-file ${WORK}/filtered.paf ${WORK}/input.paf
5	PAN027pat_vs_PAN011_joint	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j0.l1000.ani.1to1.m10k.paf.gz	j0.l1000.ani.1to1.m10k	0	1000	ani	1:1	10k	default	/home/erikg/.cargo/bin/sweepga --num-mappings 1:1 --scaffold-jump 0 --scaffold-mass 10k --scoring ani --min-aln-length 1000 --threads ${THREADS} --output-file ${WORK}/filtered.paf ${WORK}/input.paf
6	PAN027pat_vs_PAN011_joint	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j0.l1000.ani.4tomany.m10k.paf.gz	j0.l1000.ani.4tomany.m10k	0	1000	ani	4:many	10k	default	/home/erikg/.cargo/bin/sweepga --num-mappings 4:many --scaffold-jump 0 --scaffold-mass 10k --scoring ani --min-aln-length 1000 --threads ${THREADS} --output-file ${WORK}/filtered.paf ${WORK}/input.paf
7	PAN027pat_vs_PAN011_joint	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j0.l1000.log_length_ani.1to1.m10k.paf.gz	j0.l1000.log_length_ani.1to1.m10k	0	1000	log-length-ani	1:1	10k	default	/home/erikg/.cargo/bin/sweepga --num-mappings 1:1 --scaffold-jump 0 --scaffold-mass 10k --scoring log-length-ani --min-aln-length 1000 --threads ${THREADS} --output-file ${WORK}/filtered.paf ${WORK}/input.paf
8	PAN027pat_vs_PAN011_joint	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j0.l1000.log_length_ani.4tomany.m10k.paf.gz	j0.l1000.log_length_ani.4tomany.m10k	0	1000	log-length-ani	4:many	10k	default	/home/erikg/.cargo/bin/sweepga --num-mappings 4:many --scaffold-jump 0 --scaffold-mass 10k --scoring log-length-ani --min-aln-length 1000 --threads ${THREADS} --output-file ${WORK}/filtered.paf ${WORK}/input.paf
9	PAN027pat_vs_PAN011_joint	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j0.l5000.ani.1to1.m10k.paf.gz	j0.l5000.ani.1to1.m10k	0	5000	ani	1:1	10k	default	/home/erikg/.cargo/bin/sweepga --num-mappings 1:1 --scaffold-jump 0 --scaffold-mass 10k --scoring ani --min-aln-length 5000 --threads ${THREADS} --output-file ${WORK}/filtered.paf ${WORK}/input.paf
10	PAN027pat_vs_PAN011_joint	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j0.l5000.ani.4tomany.m10k.paf.gz	j0.l5000.ani.4tomany.m10k	0	5000	ani	4:many	10k	default	/home/erikg/.cargo/bin/sweepga --num-mappings 4:many --scaffold-jump 0 --scaffold-mass 10k --scoring ani --min-aln-length 5000 --threads ${THREADS} --output-file ${WORK}/filtered.paf ${WORK}/input.paf
