comparison_id	cell_id	source_kind	scaffold_jump	min_aln_length	scoring	num_mappings	scaffold_mass	overlap	source_paf	source_paf_sha256	filtered_paf	filtered_paf_sha256	paf_path	command
PAN027pat_vs_PAN011_joint	raw_many_many_unfiltered	raw_baseline	0	raw	raw	many:many	10k	default	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	04d42a5de5f3b23f59ab58071635449656ef19e2ff7eb0ecbe3202ad20f1fbce	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	04d42a5de5f3b23f59ab58071635449656ef19e2ff7eb0ecbe3202ad20f1fbce	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	raw many:many f16 source PAF; no final paf-filter applied
PAN028mat_vs_PAN027_joint	raw_many_many_unfiltered	raw_baseline	0	raw	raw	many:many	10k	default	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN028mat_vs_PAN027_joint.sweepga_frequency16_many_many_j0.paf.gz	da279bfada4166f9d6dcb00ac58bdeb16f827ac32a49d44f756b08f266225f1b	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN028mat_vs_PAN027_joint.sweepga_frequency16_many_many_j0.paf.gz	da279bfada4166f9d6dcb00ac58bdeb16f827ac32a49d44f756b08f266225f1b	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN028mat_vs_PAN027_joint.sweepga_frequency16_many_many_j0.paf.gz	raw many:many f16 source PAF; no final paf-filter applied
PAN027pat_vs_PAN011_joint	j0.ldefault.ani.1to1.m10k	filtered	0	default	ani	1:1	10k	default	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	04d42a5de5f3b23f59ab58071635449656ef19e2ff7eb0ecbe3202ad20f1fbce	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j0.ldefault.ani.1to1.m10k.paf.gz	6c100f7d1c84ecf8bc0c1a53c0febd61899de9d4488cd531da47000ec0f0d5ab	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j0.ldefault.ani.1to1.m10k.paf.gz	/home/erikg/.cargo/bin/sweepga --num-mappings 1:1 --scaffold-jump 0 --scaffold-mass 10k --scoring ani --threads ${THREADS} --output-file ${WORK}/filtered.paf ${WORK}/input.paf
PAN027pat_vs_PAN011_joint	j0.ldefault.ani.4tomany.m10k	filtered	0	default	ani	4:many	10k	default	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	04d42a5de5f3b23f59ab58071635449656ef19e2ff7eb0ecbe3202ad20f1fbce	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j0.ldefault.ani.4tomany.m10k.paf.gz	993c5a38ba252fde22788b8e533a396d6f5ebf2eb0b0fb376aac08f8f4d3e8d3	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j0.ldefault.ani.4tomany.m10k.paf.gz	/home/erikg/.cargo/bin/sweepga --num-mappings 4:many --scaffold-jump 0 --scaffold-mass 10k --scoring ani --threads ${THREADS} --output-file ${WORK}/filtered.paf ${WORK}/input.paf
PAN027pat_vs_PAN011_joint	j0.ldefault.log_length_ani.1to1.m10k	filtered	0	default	log-length-ani	1:1	10k	default	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	04d42a5de5f3b23f59ab58071635449656ef19e2ff7eb0ecbe3202ad20f1fbce	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j0.ldefault.log_length_ani.1to1.m10k.paf.gz	93f0366bed243921959b428b6ff933c66d7edb84c1acdf6f2cdf570046444093	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j0.ldefault.log_length_ani.1to1.m10k.paf.gz	/home/erikg/.cargo/bin/sweepga --num-mappings 1:1 --scaffold-jump 0 --scaffold-mass 10k --scoring log-length-ani --threads ${THREADS} --output-file ${WORK}/filtered.paf ${WORK}/input.paf
PAN027pat_vs_PAN011_joint	j0.ldefault.log_length_ani.4tomany.m10k	filtered	0	default	log-length-ani	4:many	10k	default	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	04d42a5de5f3b23f59ab58071635449656ef19e2ff7eb0ecbe3202ad20f1fbce	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j0.ldefault.log_length_ani.4tomany.m10k.paf.gz	b3db00a02014c228d6eab55a5b21c5debd08cf46299f005b3296546da08aa9b0	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j0.ldefault.log_length_ani.4tomany.m10k.paf.gz	/home/erikg/.cargo/bin/sweepga --num-mappings 4:many --scaffold-jump 0 --scaffold-mass 10k --scoring log-length-ani --threads ${THREADS} --output-file ${WORK}/filtered.paf ${WORK}/input.paf
PAN027pat_vs_PAN011_joint	j0.l1000.ani.1to1.m10k	filtered	0	1000	ani	1:1	10k	default	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	04d42a5de5f3b23f59ab58071635449656ef19e2ff7eb0ecbe3202ad20f1fbce	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j0.l1000.ani.1to1.m10k.paf.gz	ee5ca1ab42fc4659e9436481d7fe6f6f38d7d0b1d709f768e5fbe78be622221b	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j0.l1000.ani.1to1.m10k.paf.gz	/home/erikg/.cargo/bin/sweepga --num-mappings 1:1 --scaffold-jump 0 --scaffold-mass 10k --scoring ani --min-aln-length 1000 --threads ${THREADS} --output-file ${WORK}/filtered.paf ${WORK}/input.paf
PAN027pat_vs_PAN011_joint	j0.l1000.ani.4tomany.m10k	filtered	0	1000	ani	4:many	10k	default	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	04d42a5de5f3b23f59ab58071635449656ef19e2ff7eb0ecbe3202ad20f1fbce	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j0.l1000.ani.4tomany.m10k.paf.gz	d43b76cf4f5e6f15344181efd3e67129f3809465f30526e8f459f0c1e2a73cb1	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j0.l1000.ani.4tomany.m10k.paf.gz	/home/erikg/.cargo/bin/sweepga --num-mappings 4:many --scaffold-jump 0 --scaffold-mass 10k --scoring ani --min-aln-length 1000 --threads ${THREADS} --output-file ${WORK}/filtered.paf ${WORK}/input.paf
PAN027pat_vs_PAN011_joint	j0.l1000.log_length_ani.1to1.m10k	filtered	0	1000	log-length-ani	1:1	10k	default	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	04d42a5de5f3b23f59ab58071635449656ef19e2ff7eb0ecbe3202ad20f1fbce	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j0.l1000.log_length_ani.1to1.m10k.paf.gz	c354651c61fcfdebaca5b213b6d051168da58bd698ff78704c5a0995cefea9b9	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j0.l1000.log_length_ani.1to1.m10k.paf.gz	/home/erikg/.cargo/bin/sweepga --num-mappings 1:1 --scaffold-jump 0 --scaffold-mass 10k --scoring log-length-ani --min-aln-length 1000 --threads ${THREADS} --output-file ${WORK}/filtered.paf ${WORK}/input.paf
PAN027pat_vs_PAN011_joint	j0.l1000.log_length_ani.4tomany.m10k	filtered	0	1000	log-length-ani	4:many	10k	default	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	04d42a5de5f3b23f59ab58071635449656ef19e2ff7eb0ecbe3202ad20f1fbce	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j0.l1000.log_length_ani.4tomany.m10k.paf.gz	e51ea27ec0558f6068743c5532ac9ec9bc8ebb899c29da8d21b257ad9d04566e	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_scaffold_jump_sensitivity/filtered_paf/PAN027pat_vs_PAN011_joint.j0.l1000.log_length_ani.4tomany.m10k.paf.gz	/home/erikg/.cargo/bin/sweepga --num-mappings 4:many --scaffold-jump 0 --scaffold-mass 10k --scoring log-length-ani --min-aln-length 1000 --threads ${THREADS} --output-file ${WORK}/filtered.paf ${WORK}/input.paf
