source_bed	filtered_bed	total_windows	kept_windows	excluded_centromere_windows
/moosefs/erikg/phrs/.wg-worktrees/agent-2837/paper_prep/_brainstorming/fig5_raw_manymany_impg_similarity_2kb_sharded/bed_shards/PAN027mat_vs_PAN010_joint/PAN027mat_vs_PAN010_joint.full_genome_2kb.shard_0000.bed	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_mappingfiltered_impg_similarity_2kb_topn_depthcapped_4to4/bed_shards_no_centromere/PAN027mat_vs_PAN010_joint/PAN027mat_vs_PAN010_joint.full_genome_2kb.shard_0000.bed	20000	20000	0
/moosefs/erikg/phrs/.wg-worktrees/agent-2837/paper_prep/_brainstorming/fig5_raw_manymany_impg_similarity_2kb_sharded/bed_shards/PAN027mat_vs_PAN010_joint/PAN027mat_vs_PAN010_joint.full_genome_2kb.shard_0001.bed	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_mappingfiltered_impg_similarity_2kb_topn_depthcapped_4to4/bed_shards_no_centromere/PAN027mat_vs_PAN010_joint/PAN027mat_vs_PAN010_joint.full_genome_2kb.shard_0001.bed	20000	20000	0
/moosefs/erikg/phrs/.wg-worktrees/agent-2837/paper_prep/_brainstorming/fig5_raw_manymany_impg_similarity_2kb_sharded/bed_shards/PAN027mat_vs_PAN010_joint/PAN027mat_vs_PAN010_joint.full_genome_2kb.shard_0002.bed	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_mappingfiltered_impg_similarity_2kb_topn_depthcapped_4to4/bed_shards_no_centromere/PAN027mat_vs_PAN010_joint/PAN027mat_vs_PAN010_joint.full_genome_2kb.shard_0002.bed	20000	20000	0
/moosefs/erikg/phrs/.wg-worktrees/agent-2837/paper_prep/_brainstorming/fig5_raw_manymany_impg_similarity_2kb_sharded/bed_shards/PAN027mat_vs_PAN010_joint/PAN027mat_vs_PAN010_joint.full_genome_2kb.shard_0003.bed	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_mappingfiltered_impg_similarity_2kb_topn_depthcapped_4to4/bed_shards_no_centromere/PAN027mat_vs_PAN010_joint/PAN027mat_vs_PAN010_joint.full_genome_2kb.shard_0003.bed	20000	17396	2604
/moosefs/erikg/phrs/.wg-worktrees/agent-2837/paper_prep/_brainstorming/fig5_raw_manymany_impg_similarity_2kb_sharded/bed_shards/PAN027mat_vs_PAN010_joint/PAN027mat_vs_PAN010_joint.full_genome_2kb.shard_0004.bed	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_mappingfiltered_impg_similarity_2kb_topn_depthcapped_4to4/bed_shards_no_centromere/PAN027mat_vs_PAN010_joint/PAN027mat_vs_PAN010_joint.full_genome_2kb.shard_0004.bed	20000	20000	0
/moosefs/erikg/phrs/.wg-worktrees/agent-2837/paper_prep/_brainstorming/fig5_raw_manymany_impg_similarity_2kb_sharded/bed_shards/PAN027mat_vs_PAN010_joint/PAN027mat_vs_PAN010_joint.full_genome_2kb.shard_0005.bed	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_mappingfiltered_impg_similarity_2kb_topn_depthcapped_4to4/bed_shards_no_centromere/PAN027mat_vs_PAN010_joint/PAN027mat_vs_PAN010_joint.full_genome_2kb.shard_0005.bed	20000	20000	0
/moosefs/erikg/phrs/.wg-worktrees/agent-2837/paper_prep/_brainstorming/fig5_raw_manymany_impg_similarity_2kb_sharded/bed_shards/PAN027mat_vs_PAN010_joint/PAN027mat_vs_PAN010_joint.full_genome_2kb.shard_0006.bed	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_mappingfiltered_impg_similarity_2kb_topn_depthcapped_4to4/bed_shards_no_centromere/PAN027mat_vs_PAN010_joint/PAN027mat_vs_PAN010_joint.full_genome_2kb.shard_0006.bed	20000	20000	0
/moosefs/erikg/phrs/.wg-worktrees/agent-2837/paper_prep/_brainstorming/fig5_raw_manymany_impg_similarity_2kb_sharded/bed_shards/PAN027mat_vs_PAN010_joint/PAN027mat_vs_PAN010_joint.full_genome_2kb.shard_0007.bed	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_mappingfiltered_impg_similarity_2kb_topn_depthcapped_4to4/bed_shards_no_centromere/PAN027mat_vs_PAN010_joint/PAN027mat_vs_PAN010_joint.full_genome_2kb.shard_0007.bed	20000	20000	0
/moosefs/erikg/phrs/.wg-worktrees/agent-2837/paper_prep/_brainstorming/fig5_raw_manymany_impg_similarity_2kb_sharded/bed_shards/PAN027mat_vs_PAN010_joint/PAN027mat_vs_PAN010_joint.full_genome_2kb.shard_0008.bed	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_mappingfiltered_impg_similarity_2kb_topn_depthcapped_4to4/bed_shards_no_centromere/PAN027mat_vs_PAN010_joint/PAN027mat_vs_PAN010_joint.full_genome_2kb.shard_0008.bed	20000	18798	1202
/moosefs/erikg/phrs/.wg-worktrees/agent-2837/paper_prep/_brainstorming/fig5_raw_manymany_impg_similarity_2kb_sharded/bed_shards/PAN027mat_vs_PAN010_joint/PAN027mat_vs_PAN010_joint.full_genome_2kb.shard_0009.bed	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_mappingfiltered_impg_similarity_2kb_topn_depthcapped_4to4/bed_shards_no_centromere/PAN027mat_vs_PAN010_joint/PAN027mat_vs_PAN010_joint.full_genome_2kb.shard_0009.bed	20000	20000	0
