pair	transmission	stage	rows	nb_values	interchromosomal_rows	path	command_or_filter
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	native_n4	9810	1,2,3,4	3106	/moosefs/erikg/phrs/pedigree_native_untangle_agent2556_slurm/PAN027_vs_PAN010.e50000.m1000.j0.8.n4.paf.gz	existing native odgi untangle -e 50000 -m 1000 -j 0.8 -n 4 PAF
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	native_nb1_prefilter	3295	1	248	/moosefs/erikg/phrs/pedigree_native_untangle_agent2556_sweepga_1to1_noscaffold/PAN027_vs_PAN010.e50000.m1000.j0.8.n4.native_nb1.paf	filter /moosefs/erikg/phrs/pedigree_native_untangle_agent2556_slurm/PAN027_vs_PAN010.e50000.m1000.j0.8.n4.paf.gz to rows whose optional tag list contains nb:i:1
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	plain_sweepga_n4_1to1_noscaffold	3551	1,2,3,4	299	/moosefs/erikg/phrs/pedigree_native_untangle_agent2556_sweepga_1to1_noscaffold/PAN027_vs_PAN010.e50000.m1000.j0.8.n4.sweepga_1to1_noscaffold.paf	materialize uncompressed native PAF from /moosefs/erikg/phrs/pedigree_native_untangle_agent2556_slurm/PAN027_vs_PAN010.e50000.m1000.j0.8.n4.paf.gz to /moosefs/erikg/phrs/pedigree_native_untangle_agent2556_sweepga_1to1_noscaffold/PAN027_vs_PAN010.e50000.m1000.j0.8.n4.native.paf; /moosefs/erikg/sweepga/target/release/sweepga --num-mappings 1:1 --scaffold-jump 0 --output-file /moosefs/erikg/phrs/pedigree_native_untangle_agent2556_sweepga_1to1_noscaffold/PAN027_vs_PAN010.e50000.m1000.j0.8.n4.sweepga_1to1_noscaffold.paf /moosefs/erikg/phrs/pedigree_native_untangle_agent2556_sweepga_1to1_noscaffold/PAN027_vs_PAN010.e50000.m1000.j0.8.n4.native.paf
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	conservative_nb1_sweepga_1to1_noscaffold	2737	1	103	/moosefs/erikg/phrs/pedigree_native_untangle_agent2556_sweepga_1to1_noscaffold/PAN027_vs_PAN010.e50000.m1000.j0.8.n4.native_nb1.sweepga_1to1_noscaffold.paf	/moosefs/erikg/sweepga/target/release/sweepga --num-mappings 1:1 --scaffold-jump 0 --output-file /moosefs/erikg/phrs/pedigree_native_untangle_agent2556_sweepga_1to1_noscaffold/PAN027_vs_PAN010.e50000.m1000.j0.8.n4.native_nb1.sweepga_1to1_noscaffold.paf /moosefs/erikg/phrs/pedigree_native_untangle_agent2556_sweepga_1to1_noscaffold/PAN027_vs_PAN010.e50000.m1000.j0.8.n4.native_nb1.paf
PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	native_n4	9938	1,2,3,4	2232	/moosefs/erikg/phrs/pedigree_native_untangle_agent2556_slurm/PAN027_vs_PAN011.e50000.m1000.j0.8.n4.paf.gz	existing native odgi untangle -e 50000 -m 1000 -j 0.8 -n 4 PAF
PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	native_nb1_prefilter	3331	1	148	/moosefs/erikg/phrs/pedigree_native_untangle_agent2556_sweepga_1to1_noscaffold/PAN027_vs_PAN011.e50000.m1000.j0.8.n4.native_nb1.paf	filter /moosefs/erikg/phrs/pedigree_native_untangle_agent2556_slurm/PAN027_vs_PAN011.e50000.m1000.j0.8.n4.paf.gz to rows whose optional tag list contains nb:i:1
PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	plain_sweepga_n4_1to1_noscaffold	3622	1,2,3,4	366	/moosefs/erikg/phrs/pedigree_native_untangle_agent2556_sweepga_1to1_noscaffold/PAN027_vs_PAN011.e50000.m1000.j0.8.n4.sweepga_1to1_noscaffold.paf	materialize uncompressed native PAF from /moosefs/erikg/phrs/pedigree_native_untangle_agent2556_slurm/PAN027_vs_PAN011.e50000.m1000.j0.8.n4.paf.gz to /moosefs/erikg/phrs/pedigree_native_untangle_agent2556_sweepga_1to1_noscaffold/PAN027_vs_PAN011.e50000.m1000.j0.8.n4.native.paf; /moosefs/erikg/sweepga/target/release/sweepga --num-mappings 1:1 --scaffold-jump 0 --output-file /moosefs/erikg/phrs/pedigree_native_untangle_agent2556_sweepga_1to1_noscaffold/PAN027_vs_PAN011.e50000.m1000.j0.8.n4.sweepga_1to1_noscaffold.paf /moosefs/erikg/phrs/pedigree_native_untangle_agent2556_sweepga_1to1_noscaffold/PAN027_vs_PAN011.e50000.m1000.j0.8.n4.native.paf
PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	conservative_nb1_sweepga_1to1_noscaffold	2835	1	109	/moosefs/erikg/phrs/pedigree_native_untangle_agent2556_sweepga_1to1_noscaffold/PAN027_vs_PAN011.e50000.m1000.j0.8.n4.native_nb1.sweepga_1to1_noscaffold.paf	/moosefs/erikg/sweepga/target/release/sweepga --num-mappings 1:1 --scaffold-jump 0 --output-file /moosefs/erikg/phrs/pedigree_native_untangle_agent2556_sweepga_1to1_noscaffold/PAN027_vs_PAN011.e50000.m1000.j0.8.n4.native_nb1.sweepga_1to1_noscaffold.paf /moosefs/erikg/phrs/pedigree_native_untangle_agent2556_sweepga_1to1_noscaffold/PAN027_vs_PAN011.e50000.m1000.j0.8.n4.native_nb1.paf
PAN028_vs_PAN027	PAN028 maternal hap1 <- PAN027 mother	native_n4	8742	1,2,3,4	3764	/moosefs/erikg/phrs/pedigree_native_untangle_agent2556_slurm/PAN028_vs_PAN027.e50000.m1000.j0.8.n4.paf.gz	existing native odgi untangle -e 50000 -m 1000 -j 0.8 -n 4 PAF
PAN028_vs_PAN027	PAN028 maternal hap1 <- PAN027 mother	native_nb1_prefilter	2948	1	768	/moosefs/erikg/phrs/pedigree_native_untangle_agent2556_sweepga_1to1_noscaffold/PAN028_vs_PAN027.e50000.m1000.j0.8.n4.native_nb1.paf	filter /moosefs/erikg/phrs/pedigree_native_untangle_agent2556_slurm/PAN028_vs_PAN027.e50000.m1000.j0.8.n4.paf.gz to rows whose optional tag list contains nb:i:1
