method_id	evidence_layer	comparison_id	bin_target_support_tsv	bytes
sweepga_fastga_f32	filtered_one_to_one	PAN027mat_vs_PAN010_joint	paper_prep/_brainstorming/fig5_whole_genome_existing_paf_impg_like_scan/summaries/tmp_worker_bin_support/sweepga_fastga_f32.filtered_one_to_one.PAN027mat_vs_PAN010_joint.bin_target_support.tsv	643492863
sweepga_fastga_f32	filtered_one_to_one	PAN027pat_vs_PAN011_joint	paper_prep/_brainstorming/fig5_whole_genome_existing_paf_impg_like_scan/summaries/tmp_worker_bin_support/sweepga_fastga_f32.filtered_one_to_one.PAN027pat_vs_PAN011_joint.bin_target_support.tsv	645424158
sweepga_fastga_f32	filtered_one_to_one	PAN028mat_vs_PAN027_joint	paper_prep/_brainstorming/fig5_whole_genome_existing_paf_impg_like_scan/summaries/tmp_worker_bin_support/sweepga_fastga_f32.filtered_one_to_one.PAN028mat_vs_PAN027_joint.bin_target_support.tsv	629868005
sweepga_fastga_f32	raw_many_many	PAN027mat_vs_PAN010_joint	paper_prep/_brainstorming/fig5_whole_genome_existing_paf_impg_like_scan/summaries/tmp_worker_bin_support/sweepga_fastga_f32.raw_many_many.PAN027mat_vs_PAN010_joint.bin_target_support.tsv	943691991
sweepga_fastga_f32	raw_many_many	PAN027pat_vs_PAN011_joint	paper_prep/_brainstorming/fig5_whole_genome_existing_paf_impg_like_scan/summaries/tmp_worker_bin_support/sweepga_fastga_f32.raw_many_many.PAN027pat_vs_PAN011_joint.bin_target_support.tsv	959903274
sweepga_fastga_f32	raw_many_many	PAN028mat_vs_PAN027_joint	paper_prep/_brainstorming/fig5_whole_genome_existing_paf_impg_like_scan/summaries/tmp_worker_bin_support/sweepga_fastga_f32.raw_many_many.PAN028mat_vs_PAN027_joint.bin_target_support.tsv	956938984
wfmash_p95_updated_bin	filtered_one_to_one	PAN027mat_vs_PAN010_joint	paper_prep/_brainstorming/fig5_whole_genome_existing_paf_impg_like_scan/summaries/tmp_worker_bin_support/wfmash_p95_updated_bin.filtered_one_to_one.PAN027mat_vs_PAN010_joint.bin_target_support.tsv	643023747
wfmash_p95_updated_bin	filtered_one_to_one	PAN027pat_vs_PAN011_joint	paper_prep/_brainstorming/fig5_whole_genome_existing_paf_impg_like_scan/summaries/tmp_worker_bin_support/wfmash_p95_updated_bin.filtered_one_to_one.PAN027pat_vs_PAN011_joint.bin_target_support.tsv	643754020
wfmash_p95_updated_bin	filtered_one_to_one	PAN028mat_vs_PAN027_joint	paper_prep/_brainstorming/fig5_whole_genome_existing_paf_impg_like_scan/summaries/tmp_worker_bin_support/wfmash_p95_updated_bin.filtered_one_to_one.PAN028mat_vs_PAN027_joint.bin_target_support.tsv	633433569
wfmash_p95_updated_bin	raw_many_many	PAN027mat_vs_PAN010_joint	paper_prep/_brainstorming/fig5_whole_genome_existing_paf_impg_like_scan/summaries/tmp_worker_bin_support/wfmash_p95_updated_bin.raw_many_many.PAN027mat_vs_PAN010_joint.bin_target_support.tsv	624587252
wfmash_p95_updated_bin	raw_many_many	PAN027pat_vs_PAN011_joint	paper_prep/_brainstorming/fig5_whole_genome_existing_paf_impg_like_scan/summaries/tmp_worker_bin_support/wfmash_p95_updated_bin.raw_many_many.PAN027pat_vs_PAN011_joint.bin_target_support.tsv	627501052
wfmash_p95_updated_bin	raw_many_many	PAN028mat_vs_PAN027_joint	paper_prep/_brainstorming/fig5_whole_genome_existing_paf_impg_like_scan/summaries/tmp_worker_bin_support/wfmash_p95_updated_bin.raw_many_many.PAN028mat_vs_PAN027_joint.bin_target_support.tsv	633832872
