dataset	res	n	pct_zero	rho	lo	hi	p
HG002_porec	5000	2830	60.530035335689	0.382511060119212	0.263442433258516	0.49104539287628	0
HG002_porec	10000	2830	59.5406360424028	0.379383050092874	0.261654362399831	0.495153467496936	0
HG002_porec	20000	2830	58.3038869257951	0.375999242604956	0.258050357328034	0.49125459290887	0
HG002_porec	50000	2830	56.0070671378092	0.381375540199347	0.265871128928338	0.487400059230419	0
HG002_porec	1e+05	2685	51.0614525139665	0.374865308690494	0.256721843429823	0.481900069487083	0
HG002_hic	5000	2830	9.29328621908127	0.700149941995468	0.590468463259233	0.795744287914705	0
HG002_hic	10000	2140	11.6355140186916	0.666929884508685	0.531029707939235	0.780033337561992	0
HG002_hic	20000	2413	11.8524658101948	0.616337877140272	0.476722171939429	0.741460176841942	0
HG002_hic	50000	2544	10.8883647798742	0.662052599547202	0.536065415222674	0.76764809207542	0
HG002_hic	1e+05	2272	7.21830985915493	0.647236144980467	0.498242309407593	0.771851681760597	0
CHM13_hic	5000	688	11.9186046511628	0.780621519744371	0.635175724713764	0.882249170762926	0
CHM13_hic	10000	688	10.9011627906977	0.730135270049544	0.542517061824943	0.859625730212995	0
CHM13_hic	20000	688	12.3546511627907	0.741888855072552	0.554025282356354	0.869239655297897	0
CHM13_hic	50000	652	10.5828220858896	0.716250691703662	0.542124584209777	0.841094906367764	0
CHM13_hic	1e+05	617	4.53808752025932	0.75856683226815	0.607336353829441	0.859528878585037	0
HG002_cifi	5000	2757	92.2742110990207	0.183873615881787	0.0930137739309631	0.278799090014371	0
HG002_cifi	10000	2757	91.3311570547697	0.191360458793724	0.0975335012999421	0.286967336773508	0
HG002_cifi	20000	2757	90.4243743199129	0.195922136380123	0.10020293883354	0.293103653881198	0
HG002_cifi	50000	2757	89.5175915850562	0.191381230765451	0.093590822944061	0.291195209512732	0
HG002_cifi	1e+05	2613	87.4091083046307	0.214080047764239	0.112973149547652	0.314829256235641	0
