window	res	metric	n_pairs	rho_lepto	rho_zygo	rho_pachy	rho_diplo	zygo_gap	gap_lo	gap_hi	gap_p
1Mb	5000	raw	1135	0.888401933137512	0.888945970245045	0.891837197482657	0.880687714853726	0.00197035508708043	-0.0126527030368732	0.0193203013769742	0.8485
1Mb	5000	density	1135	0.7670711347137	0.756250044324853	0.756247455102392	0.738136659493489	0.00243162788832563	-0.0319308075971283	0.0331877211172878	0.8715
1Mb	10000	raw	1135	0.858523553059881	0.875357548832679	0.874092808025954	0.824068837878794	0.0231291491778026	0.00325227719788681	0.0525954505642321	0.015
1Mb	10000	density	1135	0.718088223168151	0.722907164354586	0.718734000742574	0.601264193014438	0.0435450253795319	-0.00503793934578742	0.0980901554237618	0.0865
1Mb	20000	raw	1135	0.80551012414517	0.87473103988101	0.868622202928572	0.661522857675853	0.0961793116311456	0.0396466234970082	0.16756269818707	0
1Mb	20000	density	1135	0.418706373593304	0.614169591841909	0.576069833765146	0.245188854651606	0.200847904505223	0.0884254324284077	0.308676360209792	0.001
1Mb	50000	raw	999	0.752376858710706	0.799760769300033	0.791538625307381	0.726197885629004	0.0430563127510029	-0.0545157352177281	0.137212618230749	0.399
1Mb	50000	density	999	0.389392885760492	0.407636673687813	0.450311539199087	0.415773979875096	-0.0108561279237452	-0.19970380490129	0.165222623496082	0.903
1Mb	1e+05	raw	607	0.852702701316943	0.831744590296648	0.857583911266696	0.801257722037878	-0.00543685457719068	-0.0926274670738312	0.0702042860832958	0.964
1Mb	1e+05	density	607	0.649720200599518	0.593490806971402	0.650491829021132	0.652718309048484	-0.0574859725849757	-0.189802665203427	0.0671650298025224	0.393
2Mb	5000	raw	1135	0.907069415091168	0.902851653141147	0.902483099167468	0.892708572382911	0.00209795759396492	-0.00966638404015822	0.0162900641778613	0.781
2Mb	5000	density	1135	0.672018090293327	0.636648380374733	0.642953128773604	0.651449830407871	-0.0188253027835344	-0.0516068651490397	0.00697694172073939	0.164
2Mb	10000	raw	1135	0.888904108007284	0.896528235599308	0.892009752337367	0.846337605441684	0.0207777470038623	0.0021857709948096	0.047923779622903	0.02
2Mb	10000	density	1135	0.58473428295234	0.576846308149351	0.610134974317781	0.491950480653111	0.0145730621749399	-0.0417492050557708	0.0642611819710762	0.595
2Mb	20000	raw	1135	0.842093025425321	0.890386534386489	0.875746477113469	0.718300999455884	0.0783397003882641	0.0294943625995322	0.1408190701518	5e-04
2Mb	20000	density	1135	0.271637899631092	0.419108260858101	0.411540928184286	0.158748025516055	0.13846597641429	0.0567527059531893	0.206107713293483	5e-04
2Mb	50000	raw	1135	0.726041207529062	0.842430894279604	0.800267813668386	0.644948841993989	0.118678273215792	0.0263934399245332	0.221532165323466	0.0105
2Mb	50000	density	1135	0.275920016604516	0.202417826676547	0.313192002512404	0.309434255715215	-0.0970975982674981	-0.300029141830237	0.0779842679592792	0.3395
2Mb	1e+05	raw	912	0.654533780416787	0.827785575612851	0.719510247287096	0.619915801363467	0.163132299257068	0.0329052650904411	0.298385174320293	0.01
2Mb	1e+05	density	912	0.468154485034011	0.393660225172521	0.441225310538824	0.460849070781129	-0.0630827302788002	-0.214552851040307	0.0656940199220731	0.418
4Mb	5000	raw	1135	0.92957610995574	0.933465933921389	0.927223163270907	0.914235749442977	0.00978759303151455	-0.00419702450085337	0.0349154915223025	0.221
4Mb	5000	density	1135	0.620918987507304	0.558983732042785	0.569341819101456	0.580807390411242	-0.0313723336305488	-0.066336887465956	0.00159659136230549	0.0605
4Mb	10000	raw	1135	0.913286143095676	0.925869494068014	0.913494936724338	0.892075679124346	0.0195839077532273	0.00410976333844287	0.0496232868241819	0.0045
4Mb	10000	density	1135	0.533774694910822	0.49169158145277	0.51593479771887	0.436653300774905	-0.00376268301542892	-0.0655772913597893	0.0509360470357425	0.874
4Mb	20000	raw	1135	0.895691893509159	0.913683279888469	0.895050431680512	0.840456972238635	0.0366168474123677	0.0116470834263475	0.07894368735626	0
4Mb	20000	density	1135	0.238617641385268	0.358526094258744	0.301041541256383	0.107260084034737	0.142886338699947	0.0477271559349593	0.226507102891642	0.0055
4Mb	50000	raw	1135	0.840073201730278	0.885819803510891	0.863305038941216	0.747556112958585	0.0688416856341983	0.0116709819266806	0.140536776297908	0.017
4Mb	50000	density	1135	0.218707926767722	0.140541393036866	0.228536024916964	0.285601117317531	-0.103740296630539	-0.316050852854819	0.0728000395434736	0.327
4Mb	1e+05	raw	1043	0.716339612770788	0.862648185548998	0.735593759146641	0.615403450062228	0.173535911555779	0.0682982800042725	0.292669773382438	0
4Mb	1e+05	density	1043	0.451049151771484	0.269485718677237	0.378622729578401	0.419507663296829	-0.146907462871667	-0.324402978572627	-0.0011348731980747	0.049
