window	filter	stage	n_pairs	rho	gap	gap_lo	gap_hi	gap_p
1Mb	all	leptotene	999	0.389392885760492	-0.0351811784935069	-0.125887171541473	0.0540982925665006	0.4528
1Mb	all	zygotene	999	0.407636673687813	-0.0108561279237452	-0.206287243883833	0.164723122958276	0.9416
1Mb	all	pachytene	999	0.450311539199087	0.0460436927579531	-0.0320878571618389	0.118550877633959	0.2292
1Mb	all	diplotene	999	0.415773979875096	-6.38634070099231e-06	-0.102807547635626	0.10273842033263	0.9932
1Mb	nonsat	leptotene	159	0.384459452732526	0.103574068541843	-0.0202260970730839	0.226132666947252	0.1112
1Mb	nonsat	zygotene	159	0.151289982784752	-0.20731855805519	-0.435041145576805	-0.00475264215755779	0.0428
1Mb	nonsat	pachytene	159	0.378057222095593	0.0950377610259318	-0.0125633007553771	0.200946284951338	0.0848
1Mb	nonsat	diplotene	159	0.313308947691705	0.00870672848741483	-0.237016531868106	0.201431837040394	0.8424
1Mb	sat	leptotene	339	0.135021823569455	-0.0248577181304526	-0.131072278899855	0.0988795652200689	0.7272
1Mb	sat	zygotene	339	0.246177564076895	0.123349935879468	-0.0713717836742991	0.269700783547608	0.2136
1Mb	sat	pachytene	339	0.102320660159126	-0.0684592693442251	-0.160349317842949	0.0146403493048888	0.1088
1Mb	sat	diplotene	339	0.131140400863702	-0.03003294840479	-0.107851252760823	0.0835858477938723	0.6356
1Mb	sat-minus-nonsat	leptotene	NA	NA	-0.128431786672296	-0.296362015564222	0.051471466496447	0.184
1Mb	sat-minus-nonsat	zygotene	NA	NA	0.330668493934657	0.0400996196378228	0.596833132444974	0.0224
1Mb	sat-minus-nonsat	pachytene	NA	NA	-0.163497030370157	-0.293082927842744	-0.0249084899379294	0.022
1Mb	sat-minus-nonsat	diplotene	NA	NA	-0.0387396768922048	-0.244493293830288	0.228935882902244	0.7448
2Mb	all	leptotene	1135	0.275920016604516	0.000905321636461121	-0.0864039176271587	0.0871441299425196	0.9484
2Mb	all	zygotene	1135	0.202417826676547	-0.0970975982674981	-0.299390358508446	0.0846177104606889	0.3288
2Mb	all	pachytene	1135	0.313192002512404	0.0506013028469777	-0.0342151397710281	0.128457895463622	0.246
2Mb	all	diplotene	1135	0.309434255715215	0.0455909737840592	-0.0540137928021892	0.152612958509016	0.3936
2Mb	nonsat	leptotene	310	0.340948792138023	0.0872272115658099	-0.0301923247565045	0.198329355536295	0.1512
2Mb	nonsat	zygotene	310	0.0602597606781281	-0.287024830380717	-0.537293358485104	-0.0267082475452303	0.0284
2Mb	nonsat	pachytene	310	0.34707445322821	0.0953947596860595	-0.0197810893465791	0.198431902254306	0.1044
2Mb	nonsat	diplotene	310	0.353830527810301	0.104402859128848	-0.034811969184647	0.225366095603236	0.1332
2Mb	sat	leptotene	245	0.31388062685647	0.0148255482613843	-0.112342118892487	0.138271237055918	0.744
2Mb	sat	zygotene	245	0.251879656300745	-0.0678424124795827	-0.293135472002017	0.159762389221765	0.5252
2Mb	sat	pachytene	245	0.240325910452146	-0.0832474069443818	-0.276730631813035	0.146793279015719	0.528
2Mb	sat	diplotene	245	0.404959669032367	0.13626427116258	-0.112645280426595	0.360517599782622	0.3488
2Mb	sat-minus-nonsat	leptotene	NA	NA	-0.0724016633044255	-0.235191651244588	0.0998385884662825	0.4276
2Mb	sat-minus-nonsat	zygotene	NA	NA	0.219182417901134	-0.124417410715178	0.551547353431111	0.2312
2Mb	sat-minus-nonsat	pachytene	NA	NA	-0.178642166630441	-0.39411648628492	0.0808605288818657	0.1952
2Mb	sat-minus-nonsat	diplotene	NA	NA	0.0318614120337326	-0.247332826967533	0.294932888019272	0.8732
4Mb	all	leptotene	1135	0.218707926767722	0.000481748343934774	-0.0832252033782502	0.0894382919320982	0.9468
4Mb	all	zygotene	1135	0.140541393036866	-0.103740296630539	-0.306088722337737	0.0728540012125669	0.296
4Mb	all	pachytene	1135	0.228536024916964	0.0135858792095907	-0.0779784280408341	0.0996287179113221	0.7472
4Mb	all	diplotene	1135	0.285601117317531	0.0896726690770139	-0.031026146159723	0.209367088320173	0.1568
4Mb	nonsat	leptotene	442	0.232166127385653	0.027445621954108	-0.071143683566777	0.137125991045635	0.5652
4Mb	nonsat	zygotene	442	0.0684337578539532	-0.190864204088158	-0.444926512226401	0.062125681720998	0.152
4Mb	nonsat	pachytene	442	0.248078650008382	0.0486623187844135	-0.0575783351960758	0.153091900495316	0.3456
4Mb	nonsat	diplotene	442	0.297649108432299	0.114756263349637	-0.0417062781968278	0.247284028546605	0.1744
4Mb	sat	leptotene	148	0.29244790606248	-0.0708628091178427	-0.173418459942753	0.0762109216704163	0.3484
4Mb	sat	zygotene	148	0.506402306977571	0.214409725435612	-0.10536116882956	0.389591017768194	0.216
4Mb	sat	pachytene	148	0.286106679203515	-0.0793177782631282	-0.193247225996354	0.0651740149696762	0.2812
4Mb	sat	diplotene	148	0.29742315935988	-0.0642291380546415	-0.211490196378417	0.186532104403542	0.6924
4Mb	sat-minus-nonsat	leptotene	NA	NA	-0.0983084310719506	-0.242832666606623	0.0809104945762695	0.2908
4Mb	sat-minus-nonsat	zygotene	NA	NA	0.40527392952377	-0.0293560048849571	0.680441933164354	0.0724
4Mb	sat-minus-nonsat	pachytene	NA	NA	-0.127980097047542	-0.285546778998132	0.0534982726305132	0.16
4Mb	sat-minus-nonsat	diplotene	NA	NA	-0.178985401404278	-0.363114895224021	0.132112854391502	0.2712
