window	filter	stage	n_pairs	rho	lo	hi	p
1Mb	all	leptotene	980	0.0894730387498134	-0.212109385267214	0.388767564404802	0.5544
1Mb	all	zygotene	980	-0.0587242744248814	-0.357302971511148	0.25408132934844	0.69
1Mb	all	pachytene	980	0.118152998383258	-0.172536271435379	0.38639487342206	0.4156
1Mb	all	diplotene	980	0.0382560432615283	-0.277263497052102	0.349052997513809	0.8124
1Mb	nonsat	leptotene	155	0.199297687323891	-0.0606659686977789	0.488930391557414	0.1072
1Mb	nonsat	zygotene	155	-0.218008963930529	-0.526863503601509	0.0727773779507798	0.1116
1Mb	nonsat	pachytene	155	0.233602761833477	-0.0508551364782129	0.514912307821362	0.1032
1Mb	nonsat	diplotene	155	0.182837555766856	-0.108178705048632	0.487571795965966	0.192
1Mb	sat	leptotene	339	0.298012006813512	0.00810292750561486	0.590677762587479	0.0432
1Mb	sat	zygotene	339	-0.204133079110054	-0.513020410332085	0.0829129520937883	0.1696
1Mb	sat	pachytene	339	-0.0989690404097964	-0.365146491385613	0.117091248287517	0.3124
1Mb	sat	diplotene	339	0.238691017067664	-0.0752180980072019	0.575188735434604	0.1516
2Mb	all	leptotene	1116	0.0464478101017014	-0.225724709649519	0.33090710978945	0.7236
2Mb	all	zygotene	1116	0.0371755634439255	-0.280179197644992	0.341043085154158	0.8408
2Mb	all	pachytene	1116	0.0500321218268205	-0.221490932487172	0.311312729215788	0.7388
2Mb	all	diplotene	1116	-0.0152577333261207	-0.30155805341083	0.293295469798884	0.9444
2Mb	nonsat	leptotene	302	0.144286990336354	-0.174484731452871	0.424732327089783	0.314
2Mb	nonsat	zygotene	302	-0.137370817311324	-0.444336570290116	0.236644494377781	0.3984
2Mb	nonsat	pachytene	302	0.166936138360968	-0.173336232260792	0.461171993986061	0.3008
2Mb	nonsat	diplotene	302	0.134434960644734	-0.1969938085033	0.431512281585028	0.4044
2Mb	sat	leptotene	245	0.440774876889147	0.0915090595302071	0.729070493351235	0.0116
2Mb	sat	zygotene	245	-0.313810802209728	-0.605358019889466	-0.00307836615276374	0.0484
2Mb	sat	pachytene	245	-0.301653216264515	-0.608136874883907	0.0813309450844787	0.116
2Mb	sat	diplotene	245	0.598483865576571	0.269314800584258	0.78629439221998	0.0016
4Mb	all	leptotene	1119	0.0193033406268575	-0.268912199062258	0.317288072400161	0.882
4Mb	all	zygotene	1119	0.145297447309604	-0.180217108604878	0.463485449182588	0.4024
4Mb	all	pachytene	1119	0.0131061298104462	-0.280451742067791	0.287463752156888	0.932
4Mb	all	diplotene	1119	-0.122290729211838	-0.451891890006189	0.201248443847065	0.466
4Mb	nonsat	leptotene	435	0.10692659896674	-0.205906432470519	0.414989924444021	0.4516
4Mb	nonsat	zygotene	435	-0.0491775138166186	-0.378547585154307	0.288753937827284	0.7084
4Mb	nonsat	pachytene	435	0.189349642626709	-0.134457682393368	0.501146514646982	0.2428
4Mb	nonsat	diplotene	435	-0.00594580920516379	-0.358463100752821	0.334224177885235	0.9932
4Mb	sat	leptotene	148	0.256414337910023	-0.20069605311212	0.743795102841337	0.2896
4Mb	sat	zygotene	148	-0.299577621725273	-0.736257831794253	0.185268020998648	0.2384
4Mb	sat	pachytene	148	0.131063127228036	-0.266738272973466	0.58309762551241	0.6428
4Mb	sat	diplotene	148	0.372540599769747	-0.0946518203361656	0.753661982627476	0.1204
