window	res	stage	pair_norm	pair_raw	pair_sumsize	arm_norm	arm_raw	pair_n	arm_n
1Mb	5000	leptotene	0.2771153383854	0.414628031824875	0.414283445711041	0.0609035828443299	0.383850961309098	422	136
1Mb	5000	zygotene	0.261786685387369	0.411579291013272	0.41166312220408	0.0795047946185773	0.368326892800916	422	136
1Mb	5000	pachytene	0.174237221990822	0.410418588297118	0.411211870879847	-0.0376699584943466	0.346118982872954	422	136
1Mb	5000	diplotene	0.199663461680483	0.424796036716784	0.425160103602578	-0.00048661800486618	0.439034397213873	422	136
1Mb	10000	leptotene	0.265123007103057	0.406110782838813	0.406137449141413	0.0561185057964792	0.416082247984352	422	136
1Mb	10000	zygotene	0.281350330466546	0.421596399761728	0.421634243556435	0.0793616716759696	0.39429893611946	422	136
1Mb	10000	pachytene	0.188276631113459	0.420466514988099	0.420621722449937	-0.036257812127284	0.350851581508516	422	136
1Mb	10000	diplotene	0.119936645974734	0.415091738068885	0.415051978132674	-0.122580029578741	0.43464529364057	422	136
1Mb	20000	leptotene	0.272065986164979	0.434603327970532	0.434546003403866	0.0144888125566528	0.420127856495396	422	136
1Mb	20000	zygotene	0.309273621893066	0.407923293023305	0.407883533087093	0.0296646152378226	0.347206717236773	422	136
1Mb	20000	pachytene	0.0565642576855837	0.396388121168166	0.396454707085436	-0.22943561852965	0.38736224416774	422	136
1Mb	20000	diplotene	0.051784921738793	0.39424188300503	0.394242681397324	-0.297853155860884	0.486632317160441	422	136
1Mb	50000	leptotene	0.109170221714819	0.387097922911334	0.386927033433563	-0.275659887004498	0.582663735823772	394	136
1Mb	50000	zygotene	0.221461487431988	0.388091228455085	0.388221526077369	-0.00017174753112924	0.343208816373265	422	136
1Mb	50000	pachytene	0.0630676419507566	0.378880974958346	0.379079135925569	-0.119727112256095	0.397256810266686	422	136
1Mb	50000	diplotene	0.131140400863702	0.439848574922455	0.439652671038568	-0.438803649181008	0.651005598175409	339	105
1Mb	1e+05	leptotene	0.370381952712802	0.610811617238224	0.610919205510815	0.0735626692148431	0.511307533046664	203	91
1Mb	1e+05	zygotene	0.161639389993159	0.388540244280897	0.388225997074212	-0.0696817899909355	0.36102285196317	422	136
1Mb	1e+05	pachytene	0.187617051174255	0.454248396125361	0.454315584171264	-0.290006250434058	0.663296062226543	315	120
1Mb	1e+05	diplotene	0.3140155882981	0.581775571215033	0.582157804825966	-0.0870101596516691	0.573833713456355	224	105
2Mb	5000	leptotene	0.276930044308807	0.312863426058148	0.312650450024072	0.227524362430023	0.502560646900269	245	105
2Mb	5000	zygotene	0.276160556185689	0.287955838072934	0.287448285991726	0.202280738129795	0.480095376321791	245	105
2Mb	5000	pachytene	0.193367550938808	0.271200907392145	0.2710474993676	0.0553908355795148	0.471656645241551	245	105
2Mb	5000	diplotene	0.308282401325184	0.323930835828934	0.324151971864316	0.224870412606262	0.512813601492847	245	105
2Mb	10000	leptotene	0.231652645064423	0.303587136573942	0.303472896555664	0.229317851959361	0.495500725689405	245	105
2Mb	10000	zygotene	0.269918971187035	0.29500199920032	0.29427331108373	0.184325108853411	0.474797843665768	245	105
2Mb	10000	pachytene	0.207852369256379	0.283012509282002	0.28245599719296	0.0185050798258345	0.456365332780427	245	105
2Mb	10000	diplotene	0.325861492137839	0.309449281511885	0.308981713437074	0.126031515654157	0.515135807588638	245	105
2Mb	20000	leptotene	0.334476005516161	0.31959787513566	0.319560339129654	0.233765291312461	0.497491188057226	245	105
2Mb	20000	zygotene	0.240970550555288	0.292357342777175	0.292200670752107	0.139653742483931	0.457713041675306	245	105
2Mb	20000	pachytene	0.224526515924243	0.288104350096696	0.287130045940807	-0.00237404105328634	0.487476674269127	245	105
2Mb	20000	diplotene	0.276944732311157	0.320229459236714	0.320113587218174	0.128084179970972	0.565477918308107	245	105
2Mb	50000	leptotene	0.31388062685647	0.340671652450642	0.340424403402304	0.158925979680697	0.555784781256479	245	105
2Mb	50000	zygotene	0.251879656300745	0.285945213751234	0.285659613705538	0.140140991084387	0.460615799295045	245	105
2Mb	50000	pachytene	0.240325910452146	0.299419823907172	0.299261519881843	-0.0145863570391872	0.481422351233672	245	105
2Mb	50000	diplotene	0.404959669032367	0.480526485436298	0.480178051958937	0.233713456354966	0.656769645448891	245	105
2Mb	1e+05	leptotene	0.366882957032072	0.461995183286566	0.461648077862584	0.36577856106158	0.66043956043956	224	105
2Mb	1e+05	zygotene	0.301840896294543	0.305208528833365	0.305211792833887	0.0853307070288202	0.444049346879536	245	105
2Mb	1e+05	pachytene	0.280376256550315	0.387572002845598	0.387628590805176	1.0366991499067e-05	0.539933651254406	224	105
2Mb	1e+05	diplotene	0.482342697223963	0.553483612169315	0.553236241717173	0.5107467104172	0.725800139438835	204	105
4Mb	5000	leptotene	0.388676856557969	0.587849868770291	0.586417262352066	0.507226950264925	0.708342290620771	148	78
4Mb	5000	zygotene	0.327459770412791	0.604378519047743	0.604311886191081	0.474525474525474	0.742890021371034	148	78
4Mb	5000	pachytene	0.345206321237002	0.433328274171994	0.433183902982561	0.35669393897242	0.571112431871925	148	78
