window	res	stage	n_pairs	share	share_lo	share_hi	share_p	rho	rho_lo	rho_hi	rho_p
1Mb	10000	leptotene	1091	0.191539779612032	0.166879477142497	0.214947018188151	0	0.125223539226691	-0.059382792808505	0.314709591585014	0.1765
1Mb	10000	zygotene	1091	0.372071774834186	0.331761434946693	0.41605340654482	0	0.204669006870223	-0.0270569852863601	0.39991116275963	0.0835
1Mb	10000	pachytene	1091	0.26844003696527	0.249842069267726	0.288138015095777	0.0535	0.23838680328457	0.0534593507849235	0.372061220190879	0.016
1Mb	10000	diplotene	1091	0.167948408588512	0.132550022503762	0.200801429752096	0	-0.236545902541492	-0.447117295255847	0.0134082938595408	0.0625
1Mb	20000	leptotene	1123	0.187327572984486	0.162155482472386	0.211782973934277	0	-0.15149381302762	-0.380002681019018	0.123094630711152	0.285
1Mb	20000	zygotene	1123	0.383394344082157	0.338612643571013	0.431051720410978	0	0.308183011445439	0.0211077364339425	0.51268391454524	0.0365
1Mb	20000	pachytene	1123	0.26250574920504	0.243791216646393	0.282733071931767	0.1935	0.246653701941422	0.0412249934789093	0.410946835876214	0.0205
1Mb	20000	diplotene	1123	0.166772333728316	0.133513587059227	0.198633580259335	0	-0.33925222206702	-0.550492100754217	-0.0427532301203288	0.027
1Mb	50000	leptotene	980	0.194455120934673	0.163000577926762	0.223667156120206	0	0.0894730387498134	-0.215021812282789	0.390397888358088	0.564
1Mb	50000	zygotene	980	0.399467312851149	0.329759993681141	0.481394754507738	0	-0.0587242744248814	-0.36611048936809	0.262614504855968	0.6965
1Mb	50000	pachytene	980	0.227861981725798	0.192119473750852	0.26220608792704	0.2165	0.118152998383258	-0.161939443042338	0.370520687474471	0.4345
1Mb	50000	diplotene	980	0.178215584488379	0.139896129955643	0.214467718264471	0	0.0382560432615283	-0.284629651118744	0.361830000368126	0.8025
2Mb	10000	leptotene	1105	0.200215869259485	0.178203682479573	0.222290165833543	0	0.157996460339037	-0.0235984138737333	0.353542532491011	0.084
2Mb	10000	zygotene	1105	0.366228396351174	0.330380901574062	0.403920483468597	0	0.202239017616464	-0.0385466632250491	0.39705822543152	0.104
2Mb	10000	pachytene	1105	0.26424659294379	0.246783249155486	0.282035493052098	0.112	0.215665971741748	0.0369014098702456	0.345299919820153	0.021
2Mb	10000	diplotene	1105	0.16930914144555	0.13806271282883	0.198490861665028	0	-0.259767595082612	-0.463596656914951	-0.000362684414299154	0.05
2Mb	20000	leptotene	1128	0.195042361823867	0.171047669325644	0.217151681835996	0	-0.140011151484207	-0.382665414612817	0.146484414994641	0.3345
2Mb	20000	zygotene	1128	0.378200440400503	0.335561545015115	0.42514904917515	0	0.32353684801036	0.0346278730546579	0.542221778716225	0.031
2Mb	20000	pachytene	1128	0.257337346701933	0.240623879303772	0.274458589377417	0.4085	0.185793566435546	-0.0106156377424896	0.351517038010077	0.0625
2Mb	20000	diplotene	1128	0.169419851073696	0.137667338647622	0.198930778957825	0	-0.345623007817172	-0.562367698008725	-0.0662225966537849	0.022
2Mb	50000	leptotene	1116	0.185502602910671	0.154861078367427	0.21423658217385	0	0.0464478101017014	-0.22115433135862	0.337912208208385	0.731
2Mb	50000	zygotene	1116	0.426558927901294	0.354071044254393	0.507143821409205	0	0.0371755634439255	-0.260324783669605	0.336041905606838	0.823
2Mb	50000	pachytene	1116	0.227094679570845	0.193104694024353	0.259137978097701	0.173	0.0500321218268205	-0.217034019289752	0.324213807255018	0.7285
2Mb	50000	diplotene	1116	0.160843789617191	0.124614416010256	0.196528807479319	0	-0.0152577333261207	-0.307294638214234	0.27466722861358	0.94
4Mb	10000	leptotene	1113	0.215144073095368	0.195589991511393	0.233733452073271	0.001	0.230637839812583	0.0718803943624249	0.387483084669806	0.0055
4Mb	10000	zygotene	1113	0.354468011870639	0.322732081990138	0.386513504014247	0	0.221459938314304	0.00281982157739185	0.410107252490835	0.048
4Mb	10000	pachytene	1113	0.256420414645497	0.241376135544109	0.272803008948188	0.412	0.128554919206734	-0.022220265668508	0.257841408373909	0.088
4Mb	10000	diplotene	1113	0.173967500388496	0.144524748767412	0.20231721827784	0	-0.279142866580595	-0.477327709683146	-0.0558710686162663	0.013
4Mb	20000	leptotene	1132	0.21080744623041	0.192267195255771	0.227888015087273	0	-0.101053848946578	-0.314241466898823	0.13293290297818	0.422
4Mb	20000	zygotene	1132	0.373566420800652	0.334607982773071	0.416587270284942	0	0.357590578037351	0.0899310226598932	0.571087191265856	0.01
4Mb	20000	pachytene	1132	0.244072900988398	0.230614218907817	0.25850340728478	0.4215	0.0477574612711667	-0.133173777502217	0.220220214506943	0.622
4Mb	20000	diplotene	1132	0.171553231980539	0.141629243761449	0.199588045900516	0	-0.385683817441893	-0.590922722075905	-0.129828679853688	0.002
4Mb	50000	leptotene	1119	0.191088821285377	0.16278076188645	0.217421597522853	0	0.0193033406268575	-0.272668927403686	0.308114535950394	0.8885
4Mb	50000	zygotene	1119	0.437150557463046	0.366022305717008	0.518564174317962	0	0.145297447309604	-0.178510340521672	0.461005092050006	0.412
4Mb	50000	pachytene	1119	0.218399947340281	0.185840856266218	0.248417395113284	0.04	0.0131061298104462	-0.278253673479132	0.292601761454923	0.9645
4Mb	50000	diplotene	1119	0.153360673911296	0.119041088195433	0.189994553960973	0	-0.122290729211838	-0.451611754822623	0.198220463595139	0.4815
