window	res	n_pairs	zygo_share	lo	hi	z	p	depth_zygo_vs_diplo
2Mb	10000	1105	0.332193949108126	0.296584473437566	0.370243169463775	4.34215886633823	0	1.32952767628544
2Mb	20000	1128	0.34123245285274	0.300646586575443	0.386389135836077	4.21641167880033	0	1.31422984214196
4Mb	1e+05	1012	0.425832985330571	0.34151366712184	0.512884321499039	4.02160959475937	0	1.88100825604961
2Mb	5000	1028	0.311142965674641	0.281702772995818	0.341904402833502	3.96200466361001	0	1.27520753329751
4Mb	10000	1113	0.312463088575907	0.282524662972591	0.344713186986032	3.94343464806501	0	1.42049673565814
1Mb	10000	1091	0.331395554799007	0.290705885782282	0.374122410018734	3.79486766935546	0	1.4384212539483
1Mb	20000	1123	0.338491647614917	0.29481031539303	0.389637816702234	3.71230451418804	0	1.43547585628425
4Mb	20000	1132	0.324734318053698	0.286154375953128	0.368914270827504	3.62785979483974	0	1.42379897760072
2Mb	50000	1116	0.393295996004171	0.318215596750534	0.474700336675851	3.53284270268903	0	1.3305517389912
4Mb	50000	1119	0.389355826853525	0.316033877310339	0.472275879863083	3.49280202318831	0	1.53678039821183
1Mb	5000	1004	0.307522758995761	0.277202812448549	0.342303560178961	3.42728075886469	0	1.35649088999322
4Mb	5000	1042	0.298278838067404	0.272209570112871	0.328028243664595	3.35389380928487	5e-04	1.33344279465647
2Mb	1e+05	880	0.401574706154863	0.311012681844811	0.49443955081801	3.24773141539865	0	1.59759876619051
1Mb	50000	980	0.372413040664378	0.300209378755615	0.456645495711871	3.00156920000405	0	1.28904800461444
1Mb	1e+05	574	0.346472584291503	0.267335158654328	0.439882673108412	2.19357485689785	0.01	1.40198446258623
