term_id,term_name,p_value,adjusted_p_value,term_size,query_size,intersection_size,effective_domain_size,source
GO:0000353,formation of quadruple SL/U4/U5/U6 snRNP,0.000992837216631119,0.000992837216631119,1126,22,8,21026,GO:BP
GO:0000365,"mRNA trans splicing, via spliceosome",0.000992837216631119,0.000992837216631119,1126,22,8,21026,GO:BP
GO:0045291,"mRNA trans splicing, SL addition",0.000992837216631119,0.000992837216631119,1126,22,8,21026,GO:BP
GO:0000244,spliceosomal tri-snRNP complex assembly,0.0010824618176105332,0.0010824618176105332,1196,22,8,21026,GO:BP
GO:0000387,spliceosomal snRNP assembly,0.0010824618176105332,0.0010824618176105332,1222,22,8,21026,GO:BP
GO:0022618,protein-RNA complex assembly,0.005123807567875005,0.005123807567875005,1582,22,8,21026,GO:BP
GO:0071826,protein-RNA complex organization,0.005123807567875005,0.005123807567875005,1592,22,8,21026,GO:BP
GO:0000375,"RNA splicing, via transesterification reactions",0.005557814233022003,0.005557814233022003,1695,22,8,21026,GO:BP
GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",0.005557814233022003,0.005557814233022003,1691,22,8,21026,GO:BP
GO:0000398,"mRNA splicing, via spliceosome",0.005557814233022003,0.005557814233022003,1691,22,8,21026,GO:BP
GO:0000353,formation of quadruple SL/U4/U5/U6 snRNP,0.000992837216631119,0.000992837216631119,1126,22,8,21026,GO:BP
GO:0000365,"mRNA trans splicing, via spliceosome",0.000992837216631119,0.000992837216631119,1126,22,8,21026,GO:BP
GO:0045291,"mRNA trans splicing, SL addition",0.000992837216631119,0.000992837216631119,1126,22,8,21026,GO:BP
GO:0000244,spliceosomal tri-snRNP complex assembly,0.0010824618176105332,0.0010824618176105332,1196,22,8,21026,GO:BP
GO:0000387,spliceosomal snRNP assembly,0.0010824618176105332,0.0010824618176105332,1222,22,8,21026,GO:BP
GO:0022618,protein-RNA complex assembly,0.005123807567875005,0.005123807567875005,1582,22,8,21026,GO:BP
GO:0071826,protein-RNA complex organization,0.005123807567875005,0.005123807567875005,1592,22,8,21026,GO:BP
GO:0000375,"RNA splicing, via transesterification reactions",0.005557814233022003,0.005557814233022003,1695,22,8,21026,GO:BP
GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",0.005557814233022003,0.005557814233022003,1691,22,8,21026,GO:BP
GO:0000398,"mRNA splicing, via spliceosome",0.005557814233022003,0.005557814233022003,1691,22,8,21026,GO:BP
GO:0022613,ribonucleoprotein complex biogenesis,0.008439356857063953,0.008439356857063953,1849,22,8,21026,GO:BP
GO:0008380,RNA splicing,0.008439356857063953,0.008439356857063953,1837,22,8,21026,GO:BP
GO:0006397,mRNA processing,0.00888756592568893,0.00888756592568893,1885,22,8,21026,GO:BP
GO:0050911,detection of chemical stimulus involved in sensory perception of smell,0.013968310079652359,0.013968310079652359,398,22,4,21026,GO:BP
GO:0016071,mRNA metabolic process,0.01632815739840697,0.01632815739840697,2140,22,8,21026,GO:BP
GO:0007608,sensory perception of smell,0.01632815739840697,0.01632815739840697,426,22,4,21026,GO:BP
GO:0050907,detection of chemical stimulus involved in sensory perception,0.01632815739840697,0.01632815739840697,444,22,4,21026,GO:BP
GO:0150013,negative regulation of neuron projection arborization,0.01632815739840697,0.01632815739840697,1,22,1,21026,GO:BP
GO:0009593,detection of chemical stimulus,0.020792167812836087,0.020792167812836087,481,22,4,21026,GO:BP
GO:0007606,sensory perception of chemical stimulus,0.022942060936888005,0.022942060936888005,501,22,4,21026,GO:BP
GO:0050906,detection of stimulus involved in sensory perception,0.024688803173974778,0.024688803173974778,518,22,4,21026,GO:BP
GO:0035195,miRNA-mediated post-transcriptional gene silencing,0.04088239343781026,0.04088239343781026,603,22,4,21026,GO:BP
GO:0016441,post-transcriptional gene silencing,0.042129475858363234,0.042129475858363234,623,22,4,21026,GO:BP
GO:0035194,regulatory ncRNA-mediated post-transcriptional gene silencing,0.042129475858363234,0.042129475858363234,617,22,4,21026,GO:BP
GO:0051606,detection of stimulus,0.04578297362233565,0.04578297362233565,645,22,4,21026,GO:BP
