n_communities	n_resolutions	min_resolution	max_resolution	best_silhouette
1	86	0.1	0.95	NA
2	2	0.96	0.97	0.10806210839599291
3	4	0.98	1.01	0.15512952381352318
4	2	1.02	1.03	0.1983465672636931
7	1	1.04	1.04	0.26636094980366465
8	2	1.05	1.06	0.28782985671185474
10	1	1.07	1.07	0.30585154608287535
11	1	1.08	1.08	0.3144119585496329
12	1	1.09	1.09	0.3265051570597207
13	3	1.1	1.12	0.338413391006405
15	6	1.1300000000000001	1.1800000000000002	0.34733740233177857
17	9	1.1900000000000002	1.27	0.3319884616821892
18	1	1.28	1.28	0.3254364756534139
19	4	1.29	1.32	0.31798870368490817
20	2	1.33	1.34	0.3059681905449653
22	1	1.35	1.35	0.30330295503500593
23	4	1.36	1.3900000000000001	0.28890928250909215
24	1	1.4000000000000001	1.4000000000000001	0.28583522061759487
25	4	1.4100000000000001	1.4400000000000002	0.2917826003239699
26	7	1.4500000000000002	1.51	0.28618508748184807
28	2	1.52	1.53	0.22976820514302973
29	2	1.54	1.55	0.22866727054193337
30	2	1.56	1.57	0.2105355592277077
31	1	1.58	1.58	0.20696872426726592
32	1	1.59	1.59	0.20609252229941605
33	4	1.6	1.6300000000000001	0.19231034624158339
34	9	1.6400000000000001	1.7200000000000002	0.1873163601141699
35	10	1.7300000000000002	1.82	0.16273214679937298
36	10	1.83	1.9200000000000002	0.1368151174606441
37	1	1.9300000000000002	1.9300000000000002	0.1111670984206889
38	1	1.9400000000000002	1.9400000000000002	0.08544260171996602
39	21	1.9500000000000002	2.15	0.08253216155355948
40	57	2.16	2.72	0.047993006393084105
41	28	2.73	3.0	NA
