community	arms	n_arms	pair_count	mean_similarity	median_similarity	min_similarity	max_similarity	peak_pair	top_pairs
C1	10q, 4q	2	1	0.582989363243337	0.582989363243337	0.582989363243337	0.582989363243337	10q-4q (0.5830)	10q-4q=0.5830
C2	10p, 18p	2	1	0.620230531420502	0.620230531420502	0.620230531420502	0.620230531420502	10p-18p (0.6202)	10p-18p=0.6202
C3	11p, 16q, 19p, 3q, 7p, 9q	6	15	0.38113434551613	0.343354670925196	0.291219210009921	0.534022577437323	19p-3q (0.5340)	19p-3q=0.5340; 3q-9q=0.4885; 11p-19p=0.4578
C4	12q, 7q	2	1	0.342822899542581	0.342822899542581	0.342822899542581	0.342822899542581	12q-7q (0.3428)	12q-7q=0.3428
C5	12p, 20q, 6p, 9p	4	6	0.424966714708351	0.436536537319702	0.244175101661528	0.5414785367179	12p-20q (0.5415)	12p-20q=0.5415; 20q-6p=0.5401; 12p-9p=0.5169
C6	1q, 13q, 17q, 19q, 21q, 22q	6	15	0.500253066247311	0.433832114622447	0.163348123047521	0.816915492571146	21q-22q (0.8169)	21q-22q=0.8169; 19q-21q=0.8131; 19q-22q=0.7968
C7	13p, 14p, 15p, 21p, 22p	5	10	0.442847992594758	0.438296351160362	0.4000275625	0.47938671213777	15p-22p (0.4794)	15p-22p=0.4794; 14p-22p=0.4727; 14p-15p=0.4670
C8	15q	1	0	NA	NA	NA	NA	NA	NA
C9	16p	1	0	NA	NA	NA	NA	NA	NA
C10	17p	1	0	NA	NA	NA	NA	NA	NA
C11	1p, 5q, 6q, 8p	4	6	0.405809174815469	0.398763577317155	0.251959789435904	0.602680592403905	5q-6q (0.6027)	5q-6q=0.6027; 1p-5q=0.4606; 6q-8p=0.4311
C12	2q, 20p	2	1	0.261488725945548	0.261488725945548	0.261488725945548	0.261488725945548	2q-20p (0.2615)	2q-20p=0.2615
C13	4p	1	0	NA	NA	NA	NA	NA	NA
C14	Xq, Yq	2	1	0.984675654425442	0.984675654425442	0.984675654425442	0.984675654425442	Xq-Yq (0.9847)	Xq-Yq=0.9847
C15	Xp, Yp	2	1	0.711415865609626	0.711415865609626	0.711415865609626	0.711415865609626	Xp-Yp (0.7114)	Xp-Yp=0.7114
