group	threshold	pairs_ge_threshold	total_pairs	density
all_pairs	0.05	41997148	122735278	0.342176664153561
all_pairs	0.1	31991222	122735278	0.260652214435038
all_pairs	0.25	15408622	122735278	0.125543545841808
all_pairs	0.5	7182560	122735278	0.0585207457630886
all_pairs	0.75	3137785	122735278	0.0255654694488084
all_pairs	0.9	1866036	122735278	0.015203746065577
same_arm	0.05	3211601	3272568	0.981370287798451
same_arm	0.1	3197479	3272568	0.977055022233304
same_arm	0.25	2996142	3272568	0.915532389242943
same_arm	0.5	2810407	3272568	0.85877726604917
same_arm	0.75	2321163	3272568	0.709278768233387
same_arm	0.9	1736361	3272568	0.530580571587817
different_arm	0.05	38785547	119462710	0.324666559129623
different_arm	0.1	28793743	119462710	0.241027036805042
different_arm	0.25	12412480	119462710	0.103902548334957
different_arm	0.5	4372153	119462710	0.0365984749550718
different_arm	0.75	816622	119462710	0.00683579001346948
different_arm	0.9	129675	119462710	0.00108548516938884
same_sequence_community	0.05	3044049	3078540	0.988796312537761
same_sequence_community	0.1	3034494	3078540	0.985692568555224
same_sequence_community	0.25	2980573	3078540	0.968177447751207
same_sequence_community	0.5	2713456	3078540	0.881410019034997
same_sequence_community	0.75	2245356	3078540	0.729357422674385
same_sequence_community	0.9	1698810	3078540	0.551823266873258
different_sequence_community	0.05	38953099	119656738	0.325540371993092
different_sequence_community	0.1	28956728	119656738	0.241998306856735
different_sequence_community	0.25	12428049	119656738	0.103864180218585
different_sequence_community	0.5	4469104	119656738	0.0373493718339539
different_sequence_community	0.75	892429	119656738	0.00745824276105538
different_sequence_community	0.9	167226	119656738	0.00139754770851266
c6_within	0.05	3618961	3646350	0.992488653036598
c6_within	0.1	3588467	3646350	0.984125769605222
c6_within	0.25	3320816	3646350	0.910723326065792
c6_within	0.5	1932266	3646350	0.529917863068548
c6_within	0.75	985565	3646350	0.270288096315494
c6_within	0.9	397874	3646350	0.109115691033499
c6_to_non_c6	0.05	9093195	35023867	0.259628527027013
c6_to_non_c6	0.1	4082097	35023867	0.11655186447573
c6_to_non_c6	0.25	118929	35023867	0.00339565588231591
c6_to_non_c6	0.5	5357	35023867	0.000152952842129054
c6_to_non_c6	0.75	1697	35023867	4.84526737153267e-05
c6_to_non_c6	0.9	54	35023867	1.54180576348123e-06
non_c6_within	0.05	29284992	84065061	0.348361039076627
non_c6_within	0.1	24320658	84065061	0.289307563816554
non_c6_within	0.25	11968877	84065061	0.142376355380269
non_c6_within	0.5	5244937	84065061	0.0623914018215011
non_c6_within	0.75	2150523	84065061	0.0255816503838616
non_c6_within	0.9	1468108	84065061	0.0174639497376919
c6_background_different_arm_outside_c6	0.05	26680029	81399131	0.327767983174169
c6_background_different_arm_outside_c6	0.1	21728925	81399131	0.266942960361579
c6_background_different_arm_outside_c6	0.25	9578035	81399131	0.117667533821706
c6_background_different_arm_outside_c6	0.5	3038848	81399131	0.0373326835639068
c6_background_different_arm_outside_c6	0.75	349787	81399131	0.00429718346747461
c6_background_different_arm_outside_c6	0.9	49150	81399131	0.000603814799939326
