bin_start	bin_end	bin_midpoint	all_pairs	same_arm	different_arm	same_sequence_community	different_sequence_community	c6_within	c6_to_non_c6	non_c6_within	c6_background_different_arm_outside_c6
0	0.005	0.0025	42147232	9743	42137489	26259	42120973	0	8033293	34113939	34104196
0.005	0.01	0.0075	15209554	461	15209093	60	15209494	0	5509757	9699797	9699336
0.01	0.015	0.0125	6272727	3126	6269601	24	6272703	0	3366712	2906015	2902889
0.015	0.02	0.0175	4687584	11406	4676178	255	4687329	2	2324001	2363581	2352175
0.02	0.025	0.0225	3758656	17299	3741357	669	3757987	2205	1558708	2197743	2180444
0.025	0.03	0.0275	2101612	3884	2097728	1600	2100012	17998	1444340	639274	635390
0.03	0.035	0.0325	1858445	4380	1854065	1606	1856839	6558	1059946	791941	787561
0.035	0.04	0.0375	1793061	3065	1789996	1936	1791125	556	1054459	738046	734981
0.04	0.045	0.0425	1445991	1801	1444190	545	1445446	60	780537	665394	663593
0.045	0.05	0.0475	1463268	5802	1457466	1537	1461731	10	798919	664339	658537
0.05	0.055	0.0525	1496010	1949	1494061	556	1495454	0	723031	772979	771030
0.055	0.06	0.0575	1077976	448	1077528	509	1077467	0	585334	492642	492194
0.06	0.065	0.0625	1277955	405	1277550	401	1277554	2	635310	642643	642238
0.065	0.07	0.0675	1349718	736	1348982	1054	1348664	40	664438	685240	684504
0.07	0.075	0.0725	1152292	567	1151725	562	1151730	1638	871372	279282	278715
0.075	0.08	0.0775	645656	1161	644495	1056	644600	4365	318719	322572	321411
0.08	0.085	0.0825	971371	3081	968290	1694	969677	8141	447096	516134	513056
0.085	0.09	0.0875	652540	1600	650940	1034	651506	4851	281964	365725	364744
0.09	0.095	0.0925	548958	1295	547663	863	548095	3677	211886	333395	332370
0.095	0.1	0.0975	832971	2863	830108	1809	831162	7771	271652	553548	550685
0.1	0.105	0.1025	952343	5259	947084	1239	951104	10296	422519	519528	514269
0.105	0.11	0.1075	941727	22166	919561	1891	939836	18676	543836	379215	357049
0.11	0.115	0.1125	1171424	17098	1154326	1649	1169775	22890	392551	755983	738885
0.115	0.12	0.1175	856983	15585	841398	1559	855424	27082	237101	592800	577215
0.12	0.125	0.1225	731864	19896	711968	1686	730178	5470	204346	522048	502152
0.125	0.13	0.1275	734443	12735	721708	918	733525	581	258527	475335	462600
0.13	0.135	0.1325	793092	6401	786691	960	792132	55	372288	420749	414348
0.135	0.14	0.1375	702463	4065	698398	1283	701180	117	314286	388060	383995
0.14	0.145	0.1425	578493	1778	576715	996	577497	283	160502	417708	415930
0.145	0.15	0.1475	510571	864	509707	1048	509523	292	117496	392783	391920
0.15	0.155	0.1525	453597	1046	452551	1226	452371	840	88998	363759	362713
0.155	0.16	0.1575	402053	1421	400632	1379	400674	639	73103	328311	326898
0.16	0.165	0.1625	458994	3530	455464	2254	456740	3421	71249	384324	381139
0.165	0.17	0.1675	372745	14232	358513	1577	371168	7621	109498	255626	241442
0.17	0.175	0.1725	689363	25473	663890	1599	687764	5209	111083	573071	547642
0.175	0.18	0.1775	436596	4557	432039	1585	435011	9480	49811	377305	372748
0.18	0.185	0.1825	594394	3138	591256	1624	592770	77249	34682	482463	479325
0.185	0.19	0.1875	606228	3330	602898	1692	604536	31314	23657	551257	547927
0.19	0.195	0.1925	509379	1429	507950	2032	507347	10902	36847	461630	460201
0.195	0.2	0.1975	510283	2372	507911	2699	507584	5475	79190	425618	423246
0.2	0.205	0.2025	434637	1823	432814	1966	432671	22747	102278	309612	307789
0.205	0.21	0.2075	412393	1129	411264	2011	410382	546	60216	351631	350502
0.21	0.215	0.2125	471961	1807	470154	2165	469796	394	32498	439069	437262
0.215	0.22	0.2175	484158	3021	481137	2606	481552	164	16404	467590	464569
0.22	0.225	0.2225	496119	2246	493873	2420	493699	231	8710	487178	484932
0.225	0.23	0.2275	331788	1987	329801	2125	329663	764	12026	318998	317011
0.23	0.235	0.2325	299089	2203	296886	2024	297065	31	10091	288967	286764
0.235	0.24	0.2375	259446	6909	252537	2127	257319	342	7813	251291	244382
0.24	0.245	0.2425	183035	4956	178079	2305	180730	1735	5438	175862	170906
0.245	0.25	0.2475	203418	8898	194520	3293	200125	2814	6420	194184	185286
0.25	0.255	0.2525	250728	6009	244719	2652	248076	1342	12626	236760	230751
0.255	0.26	0.2575	239534	8538	230996	2604	236930	1674	13294	224566	216028
0.26	0.265	0.2625	275130	5249	269881	2369	272761	5797	20866	248467	243218
0.265	0.27	0.2675	259418	1695	257723	2219	257199	22017	16902	220499	218804
0.27	0.275	0.2725	419072	2457	416615	2673	416399	62797	19289	336986	334529
0.275	0.28	0.2775	335661	2137	333524	2241	333420	40234	6847	288580	286443
0.28	0.285	0.2825	277371	2980	274391	2928	274443	55320	1304	220747	217767
0.285	0.29	0.2875	258807	3767	255040	2853	255954	36540	766	221501	217734
0.29	0.295	0.2925	318527	3294	315233	2801	315726	51098	499	266930	263636
0.295	0.3	0.2975	255245	3361	251884	3002	252243	78840	615	175790	172429
0.3	0.305	0.3025	233569	2890	230679	2960	230609	65309	1542	166718	163828
0.305	0.31	0.3075	204089	3798	200291	2950	201139	41017	906	162166	158368
0.31	0.315	0.3125	255099	5011	250088	2984	252115	24859	1164	229076	224065
0.315	0.32	0.3175	208900	3600	205300	3598	205302	26531	2266	180103	176503
0.32	0.325	0.3225	204837	2267	202570	3595	201242	46102	1051	157684	155417
0.325	0.33	0.3275	273208	1538	271670	3224	269984	41482	920	230806	229268
0.33	0.335	0.3325	154120	2664	151456	3714	150406	15854	1016	137250	134586
0.335	0.34	0.3375	107418	2954	104464	4017	103401	16893	959	89566	86612
0.34	0.345	0.3425	110823	2681	108142	3626	107197	17308	965	92550	89869
0.345	0.35	0.3475	143015	2815	140200	4218	138797	15326	955	126734	123919
0.35	0.355	0.3525	228920	2760	226160	4189	224731	18072	759	210089	207329
0.355	0.36	0.3575	228112	6030	222082	4054	224058	78865	890	148357	142331
0.36	0.365	0.3625	173758	5235	168523	4729	169029	51564	963	121231	116003
0.365	0.37	0.3675	109181	2500	106681	4858	104323	12057	1297	95827	93383
0.37	0.375	0.3725	105258	2531	102727	4790	100468	8777	1161	95320	92985
0.375	0.38	0.3775	101694	2602	99092	4340	97354	5370	689	95635	93034
0.38	0.385	0.3825	117926	2583	115343	4820	113106	4204	588	113134	110551
0.385	0.39	0.3875	173883	2312	171571	4739	169144	6611	410	166862	164552
0.39	0.395	0.3925	114036	6962	107074	6967	107069	7480	363	106193	99258
0.395	0.4	0.3975	118862	5955	112907	6562	112300	10947	357	107558	102020
0.4	0.405	0.4025	96452	2614	93838	4248	92204	11893	131	84428	81815
0.405	0.41	0.4075	74209	3398	70811	4378	69831	18771	51	55387	51989
0.41	0.415	0.4125	80621	2742	77879	4736	75885	29826	31	50764	48022
0.415	0.42	0.4175	88724	2558	86166	7584	81140	30620	17	58087	55529
0.42	0.425	0.4225	129370	3693	125677	6679	122691	41300	22	88048	84355
0.425	0.43	0.4275	116825	1894	114931	8685	108140	38976	23	77826	75932
0.43	0.435	0.4325	98786	2530	96256	10804	87982	21304	98	77384	74854
0.435	0.44	0.4375	106685	3297	103388	8550	98135	41019	45	65621	62324
0.44	0.445	0.4425	217977	2780	215197	6458	211519	157765	37	60175	57395
0.445	0.45	0.4475	247542	3235	244307	6447	241095	115706	173	131663	128428
0.45	0.455	0.4525	97969	3810	94159	7148	90821	7773	345	89851	86041
0.455	0.46	0.4575	124901	3298	121603	10622	114279	347	48	124506	121208
0.46	0.465	0.4625	112101	3743	108358	13851	98250	279	34	111788	108045
0.465	0.47	0.4675	72206	3924	68282	9250	62956	239	65	71902	67981
0.47	0.475	0.4725	53420	3801	49619	6767	46653	348	14	53058	49322
0.475	0.48	0.4775	39765	4389	35376	7360	32405	215	22	39528	35174
0.48	0.485	0.4825	57745	5509	52236	7469	50276	306	36	57403	51937
0.485	0.49	0.4875	47445	5997	41448	8877	38568	354	92	46999	41070
0.49	0.495	0.4925	55529	6717	48812	7245	48284	507	15	55007	48336
0.495	0.5	0.4975	51589	6631	44958	8683	42906	715	44	50830	44210
0.5	0.505	0.5025	49643	5325	44318	6595	43048	953	59	48631	43320
0.505	0.51	0.5075	76936	5612	71324	6170	70766	1160	257	75519	69920
0.51	0.515	0.5125	88216	10218	77998	7167	81049	1296	239	86681	76528
0.515	0.52	0.5175	131762	11558	120204	7049	124713	1372	199	130191	118686
0.52	0.525	0.5225	164196	27004	137192	7587	156609	1642	137	162417	135476
0.525	0.53	0.5275	85252	8973	76279	8051	77201	1941	92	83219	74352
0.53	0.535	0.5325	86793	5023	81770	7986	78807	3512	55	83226	78321
0.535	0.54	0.5375	87407	4206	83201	9204	78203	3343	187	83877	79746
0.54	0.545	0.5425	80976	4254	76722	8043	72933	3240	50	77686	73499
0.545	0.55	0.5475	167963	4678	163285	11156	156807	5243	16	162704	158102
0.55	0.555	0.5525	117996	6742	111254	8921	109075	10430	10	107556	100930
0.555	0.56	0.5575	91440	12833	78607	8367	83073	9460	11	81969	69376
0.56	0.565	0.5625	54918	9647	45271	7792	47126	6234	14	48670	39429
0.565	0.57	0.5675	59731	7985	51746	9768	49963	12494	13	47224	39638
0.57	0.575	0.5725	57738	6941	50797	8733	49005	18735	11	38992	32591
0.575	0.58	0.5775	79862	9343	70519	12370	67492	31270	32	48560	40055
0.58	0.585	0.5825	94306	8074	86232	11240	83066	46471	44	47791	40736
0.585	0.59	0.5875	89926	7554	82372	10408	79518	34101	167	55658	48823
0.59	0.595	0.5925	73760	8595	65165	8958	64802	3678	448	69634	61448
0.595	0.6	0.5975	123145	14558	108587	15921	107224	808	247	122090	108068
0.6	0.605	0.6025	50039	5954	44085	9109	40930	1389	3	48647	43328
0.605	0.61	0.6075	61151	6208	54943	8421	52730	2736	4	58411	52519
0.61	0.615	0.6125	63719	5455	58264	9243	54476	9431	0	54288	49468
0.615	0.62	0.6175	112368	7439	104929	9457	102911	5383	1	106984	100052
0.62	0.625	0.6225	73692	10664	63028	9284	64408	9871	2	63819	53832
0.625	0.63	0.6275	84838	8367	76471	10776	74062	6626	0	78212	70645
0.63	0.635	0.6325	45796	6076	39720	9127	36669	8086	0	37710	32756
0.635	0.64	0.6375	55084	8272	46812	13595	41489	6022	0	49062	42116
0.64	0.645	0.6425	79591	6187	73404	10807	68784	6384	0	73207	68476
0.645	0.65	0.6475	106847	6486	100361	12338	94509	7214	1	99632	94623
0.65	0.655	0.6525	59478	7191	52287	13112	46366	7501	1	51976	46329
0.655	0.66	0.6575	69171	10913	58258	10179	58992	10598	2	58571	48878
0.66	0.665	0.6625	70292	19087	51205	8834	61458	8985	1	61306	43615
0.665	0.67	0.6675	77100	12751	64349	9547	67553	6434	6	70660	59276
0.67	0.675	0.6725	88458	28830	59628	9669	78789	8458	25	79975	52597
0.675	0.68	0.6775	75036	26684	48352	8256	66780	11717	88	63231	37866
0.68	0.685	0.6825	79747	5989	73758	8130	71617	15129	87	64531	59761
0.685	0.69	0.6875	50009	4935	45074	8362	41647	17607	62	32340	28373
0.69	0.695	0.6925	51474	6267	45207	8804	42670	20180	0	31294	25759
0.695	0.7	0.6975	59906	7760	52146	8675	51231	29325	6	30575	23522
0.7	0.705	0.7025	71240	5786	65454	7938	63302	42990	15	28235	22964
0.705	0.71	0.7075	78955	5143	73812	9380	69575	55208	21	23726	19407
0.71	0.715	0.7125	82010	5182	76828	7837	74173	63804	64	18142	14548
0.715	0.72	0.7175	86537	7506	79031	7309	79228	65190	101	21246	16917
0.72	0.725	0.7225	74810	10091	64719	9761	65049	55872	116	18822	14083
0.725	0.73	0.7275	75052	16176	58876	12728	62324	52942	500	21610	13502
0.73	0.735	0.7325	81670	15434	66236	8625	73045	57610	127	23933	19390
0.735	0.74	0.7375	88525	16942	71583	8114	80411	70405	20	18100	13584
0.74	0.745	0.7425	77615	15004	62611	9089	68526	56099	91	21425	15903
0.745	0.75	0.7475	52599	11342	41257	10108	42491	30122	28	22449	15928
0.75	0.755	0.7525	46961	9242	37719	9034	37927	21185	84	25692	20790
0.755	0.76	0.7575	46548	8909	37639	9657	36891	21861	355	24332	18855
0.76	0.765	0.7625	57570	15948	41622	16432	41138	32336	118	25116	12542
0.765	0.77	0.7675	63329	23838	39491	20673	42656	32999	11	30319	13492
0.77	0.775	0.7725	29611	16242	13369	10148	19463	15708	14	13889	6966
0.775	0.78	0.7775	32788	17310	15478	10182	22606	17446	7	15335	9849
0.78	0.785	0.7825	36258	15751	20507	11066	25192	13563	4	22691	17757
0.785	0.79	0.7875	45236	24974	20262	12760	32476	21131	5	24100	18785
0.79	0.795	0.7925	41347	17192	24155	12294	29053	14201	1	27145	20863
0.795	0.8	0.7975	52318	16763	35555	13648	38670	15913	6	36399	29139
0.8	0.805	0.8025	48605	10149	38456	13896	34709	31339	6	17260	9818
0.805	0.81	0.8075	45870	13157	32713	16593	29277	31284	18	14568	4749
0.81	0.815	0.8125	30880	14618	16262	17766	13114	16764	43	14073	3785
0.815	0.82	0.8175	34289	14479	19810	17737	16552	21162	92	13035	3720
0.82	0.825	0.8225	27517	13114	14403	17183	10334	12733	46	14738	5595
0.825	0.83	0.8275	29242	14024	15218	17912	11330	12315	37	16890	5771
0.83	0.835	0.8325	33023	13510	19513	16265	16758	17613	138	15272	4429
0.835	0.84	0.8375	32381	12151	20230	13979	18402	18262	102	14017	4327
0.84	0.845	0.8425	28416	16380	12036	16734	11682	12514	118	15784	2970
0.845	0.85	0.8475	30954	18698	12256	16871	14083	13635	156	17163	2686
0.85	0.855	0.8525	29273	19816	9457	17628	11645	13309	61	15903	2528
0.855	0.86	0.8575	37001	24298	12703	19363	17638	15319	93	21589	2755
0.86	0.865	0.8625	41330	23889	17441	22190	19140	19837	20	21473	3178
0.865	0.87	0.8675	41527	23307	18220	21382	20145	20730	80	20717	3210
0.87	0.875	0.8725	53611	39673	13938	37008	16603	19116	15	34480	3103
0.875	0.88	0.8775	84082	33154	50928	30550	53532	18369	2	65711	43522
0.88	0.885	0.8825	53262	27862	25400	25035	28227	15712	3	37547	19196
0.885	0.89	0.8875	43770	31575	12195	26422	17348	17958	1	25811	2245
0.89	0.895	0.8925	44299	24413	19886	25733	18566	25764	3	18532	1862
0.895	0.9	0.8975	50451	30366	20085	30405	20046	27613	4	22834	2150
0.9	0.905	0.9025	55805	34426	21379	35488	20317	28147	14	27644	2017
0.905	0.91	0.9075	50863	27561	23302	28829	22034	29663	21	21179	1684
0.91	0.915	0.9125	51084	30057	21027	31444	19640	25414	18	25652	3953
0.915	0.92	0.9175	46660	34372	12288	34902	11758	20207	1	26452	1844
0.92	0.925	0.9225	50321	42361	7960	41471	8850	16507	0	33814	1299
0.925	0.93	0.9275	65680	62378	3302	55948	9732	13817	0	51863	811
0.93	0.935	0.9325	75500	73914	1586	62835	12665	12213	0	63287	528
0.935	0.94	0.9375	66305	65037	1268	54768	11537	12525	0	53780	611
0.94	0.945	0.9425	77238	76437	801	61633	15605	14972	0	62266	473
0.945	0.95	0.9475	90077	89407	670	60534	29543	15709	0	74368	367
0.95	0.955	0.9525	74674	74162	512	69225	5449	17002	0	57672	256
0.955	0.96	0.9575	73857	73279	578	73830	27	22008	0	51849	455
0.96	0.965	0.9625	84760	84339	421	84755	5	24002	0	60758	308
0.965	0.97	0.9675	110262	109716	546	110262	0	27382	0	82880	513
0.97	0.975	0.9725	110394	109954	440	110392	2	28012	0	82382	436
0.975	0.98	0.9775	113020	112321	699	112987	33	25933	0	87087	699
0.98	0.985	0.9825	165110	158174	6936	165087	23	22136	0	142974	6936
0.985	0.99	0.9875	178610	165921	12689	178604	6	19918	0	158692	12689
0.99	0.995	0.9925	163966	160650	3316	163966	0	14243	0	149723	3316
0.995	1	0.9975	161850	151895	9955	161850	0	8064	0	153786	9955
