similarity_midpoint	n_pairs	fraction
0.0025	42147232	0.343399491057494
0.0525	1496010	0.0121889160506892
0.0675	1349718	0.0109969849092614
0.0825	971371	0.00791435857586113
0.1025	952343	0.00775932572540391
0.1125	1171424	0.0095443137383858
0.1325	793092	0.00646180961923596
0.1625	458994	0.00373970717693734
0.1725	689363	0.00561666548716336
0.1875	606228	0.00493931337329109
0.1975	510283	0.00415759028956613
0.2225	496119	0.00404218744670949
0.2525	250728	0.00204283563850322
0.2625	275130	0.00224165378107507
0.2725	419072	0.00341443802327152
0.2925	318527	0.00259523590275324
0.3125	255099	0.00207844887107356
0.3275	273208	0.00222599406178882
0.3525	228920	0.00186515241363612
0.3875	173883	0.00141673203363747
0.4225	129370	0.00105405717172857
0.4475	247542	0.0020168773317155
0.4575	124901	0.00101764547272219
0.5225	164196	0.00133780607072076
0.5475	167963	0.00136849814280781
0.5975	123145	0.00100333825780718
0.9875	178610	0.00145524581775095
