sample	resolution_bp	within_mean	between_mean	bw_ratio	mw_U	mw_p	n_within	n_between	mantel_rho	mantel_p	n_arms	mw_q_BH	mantel_p_floored	mantel_q_BH
chm13	5000	0.187302375305643	0.0139768158888479	0.0746216691915429	31849	3.5274910224933e-25	53	650	0.770756552699575	0	38	8.81872755623324e-25	1e-04	0.000181818181818182
chm13	10000	0.186072083159358	0.0134894547004925	0.0724958546787467	31035.5	1.18738866189892e-22	53	650	0.716552082539621	0	38	2.79385567505628e-22	1e-04	0.000181818181818182
chm13	20000	0.162301059259191	0.0120815641954295	0.0744392196241646	30676	1.3352697815589e-21	53	650	0.720888298911331	0	38	2.96726618124199e-21	1e-04	0.000181818181818182
chm13	50000	0.159602169173117	0.0112629777427383	0.0705690768558513	29353.5	6.03444172120908e-18	53	650	0.656263637928729	0	38	1.27040878341244e-17	1e-04	0.000181818181818182
chm13	1e+05	0.128286886439039	0.00929362094658843	0.0724440447855493	28964	6.4411136724867e-17	53	650	0.663786423060247	0	38	1.28822273449734e-16	1e-04	0.000181818181818182
hg002	5000	0.0947866669324516	0.00277557672433219	0.0292823538811652	638697.5	1.89465739620913e-117	256	2670	0.733621950536827	0	41	7.57862958483651e-116	1e-04	0.000181818181818182
hg002	10000	0.112445513032293	0.00319666331836609	0.028428553813864	630247	3.9562456568329e-111	256	2670	0.705223308244988	0	41	7.9124913136658e-110	1e-04	0.000181818181818182
hg002	20000	0.105148359210151	0.00294189655878684	0.0279785303440362	612459.5	4.20846347255027e-98	256	2670	0.648400461336807	0	41	5.61128463006702e-97	1e-04	0.000181818181818182
hg002	50000	0.0582982368727895	0.00155493077750188	0.0266720034929159	562048	3.99144274799814e-66	256	2670	0.657289242847327	0	41	1.22813623015327e-65	1e-04	0.000181818181818182
hg002	1e+05	0.0397278972952479	0.000821723743112066	0.0206837965021209	522003	2.29403584457295e-45	256	2670	0.492473853153213	0	41	6.11742891886121e-45	1e-04	0.000181818181818182
hg002_porec	5000	0.0524511784311302	0.00306382563382006	0.0584129036841937	575565	1.17134021923951e-93	256	2670	0.489113733560261	0	41	1.17134021923951e-92	1e-04	0.000181818181818182
hg002_porec	10000	0.0508453777621772	0.00279954424394569	0.0550599556372696	575412	2.61018352707456e-92	256	2670	0.478654993261857	0	41	2.08814682165965e-91	1e-04	0.000181818181818182
hg002_porec	20000	0.0331289375032291	0.00180421946398636	0.0544605290710124	573296	2.53537674713944e-89	256	2670	0.47641026033802	0	41	1.69025116475963e-88	1e-04	0.000181818181818182
hg002_porec	50000	0.0274578380817255	0.0015247502903647	0.0555306024395087	570652	3.8558166215409e-85	256	2670	0.486075245411799	0	41	2.20332378373765e-84	1e-04	0.000181818181818182
hg002_porec	1e+05	0.0104587661543249	0.000512169929993555	0.0489703969317417	543049.5	1.00069918273266e-64	256	2670	0.503007459725891	0	41	2.85914052209332e-64	1e-04	0.000181818181818182
hg002_cifi	5000	0.0477731181598885	0.00227490717606411	0.0476189803740753	454749	8.01473550121297e-76	256	2670	0.314240897895847	0	41	3.20589420048519e-75	1e-04	0.000181818181818182
hg002_cifi	10000	0.0437733814094014	0.00196715349100507	0.0449394912539834	460914	3.01413906532482e-76	256	2670	0.311609771213899	0	41	1.33961736236658e-75	1e-04	0.000181818181818182
hg002_cifi	20000	0.0496379023014247	0.00204200198660081	0.0411379589371205	468863	1.77136296549069e-79	256	2670	0.321257389409482	0	41	8.85681482745343e-79	1e-04	0.000181818181818182
hg002_cifi	50000	0.0207020586995702	0.000745023403678743	0.0359878896340976	469361	1.95032768349192e-74	256	2670	0.307624568608799	0	41	7.09210066724334e-74	1e-04	0.000181818181818182
hg002_cifi	1e+05	0.0500467772283899	0.00208199076306949	0.0416008957693372	472287	4.81840528450275e-70	256	2670	0.337922805585722	0	41	1.60613509483425e-69	1e-04	0.000181818181818182
hg00658	5000	0.0751372581720427	0.00418257319917698	0.0556657682344502	291137	1.74368617203682e-13	218	2128	0.321106746669006	0.003	37	3.32130699435585e-13	0.003	0.00461538461538462
hg00658	10000	0.0790840224893572	0.00434927769622339	0.0549956560038242	287766	3.63430223458021e-12	218	2128	0.309232099438261	0.0039	37	6.32052562535689e-12	0.0039	0.00577777777777778
hg00658	20000	0.0632432644962587	0.00332856058062014	0.0526310684170493	289516	1.19557184193024e-12	218	2128	0.286723266387066	0.0066	37	2.17376698532772e-12	0.0066	0.00910344827586207
hg00658	50000	0.0669430062584752	0.00372608695862952	0.0556605860251127	285500.5	7.61876116268913e-12	218	2128	0.275616191956643	0.0093	37	1.26979352711486e-11	0.0093	0.0121290322580645
hg00658	1e+05	0.0269961291087004	0.000860753660366038	0.0318843363394877	282054	3.58540102986417e-10	218	2128	0.296425502449228	0.0051	37	5.73664164778267e-10	0.0051	0.00728571428571429
hg02148	5000	0.0472222022566866	0.00247441918865513	0.0523994873260016	200506.5	6.3448437049725e-06	182	1898	0.169991522945845	0.0601	37	8.18689510319033e-06	0.0601	0.0667777777777778
hg02148	10000	0.0466177856328312	0.00247415325675274	0.0530731613088522	200240	8.06225924697954e-06	182	1898	0.169160804762147	0.0618	37	1.00778240587244e-05	0.0618	0.0668108108108108
