term_id,term_name,p_value,adjusted_p_value,term_size,query_size,intersection_size,effective_domain_size,source
GO:0000353,formation of quadruple SL/U4/U5/U6 snRNP,0.001450986521489675,0.001450986521489675,1126,23,8,21026,GO:BP
GO:0000365,"mRNA trans splicing, via spliceosome",0.001450986521489675,0.001450986521489675,1126,23,8,21026,GO:BP
GO:0045291,"mRNA trans splicing, SL addition",0.001450986521489675,0.001450986521489675,1126,23,8,21026,GO:BP
GO:0000244,spliceosomal tri-snRNP complex assembly,0.001575362425728929,0.001575362425728929,1196,23,8,21026,GO:BP
GO:0000387,spliceosomal snRNP assembly,0.001575362425728929,0.001575362425728929,1222,23,8,21026,GO:BP
GO:0071826,protein-RNA complex organization,0.007337017865072536,0.007337017865072536,1592,23,8,21026,GO:BP
GO:0022618,protein-RNA complex assembly,0.007337017865072536,0.007337017865072536,1582,23,8,21026,GO:BP
GO:0000375,"RNA splicing, via transesterification reactions",0.007922474426133449,0.007922474426133449,1695,23,8,21026,GO:BP
GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",0.007922474426133449,0.007922474426133449,1691,23,8,21026,GO:BP
GO:0000398,"mRNA splicing, via spliceosome",0.007922474426133449,0.007922474426133449,1691,23,8,21026,GO:BP
GO:0000353,formation of quadruple SL/U4/U5/U6 snRNP,0.001450986521489675,0.001450986521489675,1126,23,8,21026,GO:BP
GO:0000365,"mRNA trans splicing, via spliceosome",0.001450986521489675,0.001450986521489675,1126,23,8,21026,GO:BP
GO:0045291,"mRNA trans splicing, SL addition",0.001450986521489675,0.001450986521489675,1126,23,8,21026,GO:BP
GO:0000244,spliceosomal tri-snRNP complex assembly,0.001575362425728929,0.001575362425728929,1196,23,8,21026,GO:BP
GO:0000387,spliceosomal snRNP assembly,0.001575362425728929,0.001575362425728929,1222,23,8,21026,GO:BP
GO:0071826,protein-RNA complex organization,0.007337017865072536,0.007337017865072536,1592,23,8,21026,GO:BP
GO:0022618,protein-RNA complex assembly,0.007337017865072536,0.007337017865072536,1582,23,8,21026,GO:BP
GO:0000375,"RNA splicing, via transesterification reactions",0.007922474426133449,0.007922474426133449,1695,23,8,21026,GO:BP
GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",0.007922474426133449,0.007922474426133449,1691,23,8,21026,GO:BP
GO:0000398,"mRNA splicing, via spliceosome",0.007922474426133449,0.007922474426133449,1691,23,8,21026,GO:BP
GO:0035195,miRNA-mediated post-transcriptional gene silencing,0.009558797141222168,0.009558797141222168,603,23,5,21026,GO:BP
GO:0035194,regulatory ncRNA-mediated post-transcriptional gene silencing,0.009558797141222168,0.009558797141222168,617,23,5,21026,GO:BP
GO:0022613,ribonucleoprotein complex biogenesis,0.009558797141222168,0.009558797141222168,1849,23,8,21026,GO:BP
GO:0008380,RNA splicing,0.009558797141222168,0.009558797141222168,1837,23,8,21026,GO:BP
GO:0016441,post-transcriptional gene silencing,0.009558797141222168,0.009558797141222168,623,23,5,21026,GO:BP
GO:0006397,mRNA processing,0.01020748037579553,0.01020748037579553,1885,23,8,21026,GO:BP
GO:0031047,regulatory ncRNA-mediated gene silencing,0.011774502941933386,0.011774502941933386,680,23,5,21026,GO:BP
GO:0050911,detection of chemical stimulus involved in sensory perception of smell,0.012956437116658935,0.012956437116658935,398,23,4,21026,GO:BP
GO:0007608,sensory perception of smell,0.015150290116999716,0.015150290116999716,426,23,4,21026,GO:BP
GO:0150013,negative regulation of neuron projection arborization,0.015150290116999716,0.015150290116999716,1,23,1,21026,GO:BP
GO:0050907,detection of chemical stimulus involved in sensory perception,0.01666185592432641,0.01666185592432641,444,23,4,21026,GO:BP
GO:0016071,mRNA metabolic process,0.017255014493573338,0.017255014493573338,2140,23,8,21026,GO:BP
GO:0009593,detection of chemical stimulus,0.020419891573176627,0.020419891573176627,481,23,4,21026,GO:BP
GO:0007606,sensory perception of chemical stimulus,0.0227118383468397,0.0227118383468397,501,23,4,21026,GO:BP
GO:0050906,detection of stimulus involved in sensory perception,0.02462083736015082,0.02462083736015082,518,23,4,21026,GO:BP
