pop1	pop2	mean_fst	ci_lo	ci_hi	se	n_arms
AFR	AMR	0.102015	0.021892	0.182137	0.035419	10
AFR	EAS	0.152482	0.065067	0.239896	0.038642	10
AFR	EUR	0.107997	-0.023887	0.239882	0.058301	10
AFR	SAS	0.103408	-0.001001	0.207816	0.046154	10
AMR	EAS	0.007017	-0.022148	0.036181	0.012892	10
AMR	EUR	0.006704	-0.027901	0.041309	0.015297	10
AMR	SAS	0.003681	-0.011911	0.019274	0.006893	10
EAS	EUR	-0.047471	-0.141582	0.046639	0.041602	10
EAS	SAS	0.005316	-0.012299	0.022931	0.007787	10
EUR	SAS	-0.003117	-0.086679	0.080445	0.036939	10
