arm_label	n	median_kb	mean_kb	p25_kb	p75_kb	p90_kb	p95_kb	max_kb	class	chrom	arm
1p	438	295	290.867579908676	290	315	320	320	500	Other signaled arms	1	p
1q	445	15	17.0898876404494	15	20	20	20	40	Other signaled arms	1	q
2p	0	NA	NA	NA	NA	NA	NA	NA	No interchrom PHR	2	p
2q	450	120	124.477777777778	120	120	120	136.499999999999	480	Other signaled arms	2	q
3p	0	NA	NA	NA	NA	NA	NA	NA	No interchrom PHR	3	p
3q	436	250	250.550458715596	250	250	255	265	500	Other signaled arms	3	q
4p	448	60	60.8370535714286	60	60	65	65	105	Other signaled arms	4	p
4q	357	155	162.787114845938	130	185	225	256	500	C1 DUX4/D4Z4	4	q
5p	0	NA	NA	NA	NA	NA	NA	NA	No interchrom PHR	5	p
5q	447	200	192.606263982103	185	200	200	205	255	Other signaled arms	5	q
6p	417	100	120.815347721823	100	150	160	160	190	Other signaled arms	6	p
6q	440	145	141.602272727273	140	145	150	155	270	Other signaled arms	6	q
7p	438	175	184.246575342466	175	180	225	231.5	290	Other signaled arms	7	p
7q	446	40	31.3565022421525	5	45	45	45	45	Other signaled arms	7	q
8p	458	170	128.242358078603	30	170	175	180.75	230	Other signaled arms	8	p
8q	0	NA	NA	NA	NA	NA	NA	NA	No interchrom PHR	8	q
9p	448	40	43.0245535714286	40	40	40	40	145	Other signaled arms	9	p
9q	450	230	260.544444444444	225	305	305	310	330	Other signaled arms	9	q
10p	443	70	70.0677200902934	70	70	70	70	125	C2 10p-18p	10	p
10q	357	135	142.745098039216	110	165	197	231	390	C1 DUX4/D4Z4	10	q
11p	448	215	187.667410714286	180	225	230	295	450	Other signaled arms	11	p
11q	0	NA	NA	NA	NA	NA	NA	NA	No interchrom PHR	11	q
12p	454	70	69.8568281938326	70	70	70	70	75	Other signaled arms	12	p
12q	449	25	24.1982182628062	25	25	25	25	45	Other signaled arms	12	q
13p	76	500	498.75	500	500	500	500	500	C7 acrocentric p	13	p
13q	449	10	10.5345211581292	10	10	10	10	105	Other signaled arms	13	q
14p	229	500	493.602620087336	500	500	500	500	500	C7 acrocentric p	14	p
14q	0	NA	NA	NA	NA	NA	NA	NA	No interchrom PHR	14	q
15p	119	500	497.016806722689	500	500	500	500	500	C7 acrocentric p	15	p
15q	449	125	121.84855233853	120	125	125	125	200	Other signaled arms	15	q
16p	442	25	79.4683257918552	25	200	210	265	410	Other signaled arms	16	p
16q	449	155	147.50556792873	150	160	210	235	280	Other signaled arms	16	q
17p	448	45	45.5357142857143	40	50	60	65	160	Other signaled arms	17	p
17q	451	45	45.0886917960089	45	45	50	50	60	Other signaled arms	17	q
18p	446	100	102.141255605381	100	105	105	105	265	C2 10p-18p	18	p
18q	0	NA	NA	NA	NA	NA	NA	NA	No interchrom PHR	18	q
19p	434	205	194.976958525346	185	210	210	210	275	Other signaled arms	19	p
19q	457	20	20.8424507658643	20	20	25	25	25	Other signaled arms	19	q
20p	453	100	108.631346578366	100	135	135	135	195	Other signaled arms	20	p
20q	409	105	105.59902200489	105	105	105	105	185	Other signaled arms	20	q
21p	116	500	491.077586206897	500	500	500	500	500	C7 acrocentric p	21	p
21q	449	20	20.0668151447661	20	20	20	20	50	Other signaled arms	21	q
22p	223	500	495.538116591928	500	500	500	500	500	C7 acrocentric p	22	p
22q	450	20	22.3777777777778	20	25	25	25	25	Other signaled arms	22	q
Xp	327	500	465.886850152905	500	500	500	500	500	C15 PAR1	X	p
Xq	330	330	331.348484848485	330	330	330	335	500	C14 PAR2	X	q
Yp	92	500	480.326086956522	500	500	500	500	500	C15 PAR1	Y	p
Yq	101	330	330.29702970297	330	330	330	335	335	C14 PAR2	Y	q
