Superpopulation	dimensionality	n_points	n_samples	n_chrom_arms	n_pairs	mean_pairwise_distance	median_pairwise_distance	q25_pairwise_distance	q75_pairwise_distance	iqr_pairwise_distance	min_pairwise_distance	max_pairwise_distance	sd_pairwise_distance	mean_ci_low	mean_ci_high	bootstrap_reps	bootstrap_pair_draws_per_rep	mean_ci_method
AFR	2D displayed MDS	4549	67	41	10344426	0.4215385086949055	0.4445715316324518	0.24105522740926225	0.5828583226087607	0.3418030951994985	0	0.9304952038457895	0.2378411632259216	0.41732504453001334	0.4252511518228923	500	20000	sample-bootstrap over samples; each replicate estimates the pair mean from 20,000 drawn within-population pairs
AMR	2D displayed MDS	2974	44	41	4420851	0.4197453777652334	0.44705065753395223	0.23485036106802554	0.5830405905123208	0.3481902294442953	0	0.9311150840345909	0.2381572943310461	0.4157632175528033	0.423396739503976	500	20000	sample-bootstrap over samples; each replicate estimates the pair mean from 20,000 drawn within-population pairs
EAS	2D displayed MDS	3438	52	41	5908203	0.41727388673991844	0.4421498938694482	0.23082804299160004	0.5813703725016727	0.35054232951007264	0	0.9291805300701235	0.23729257934128814	0.41390031479002326	0.4213665151442467	500	20000	sample-bootstrap over samples; each replicate estimates the pair mean from 20,000 drawn within-population pairs
EUR	2D displayed MDS	2206	33	41	2432115	0.42168035169290413	0.450299475353222	0.23507530247477387	0.5851568606689604	0.35008155819418657	0	0.9305972892409459	0.23949393881896033	0.4166616105069441	0.4262243186907776	500	20000	sample-bootstrap over samples; each replicate estimates the pair mean from 20,000 drawn within-population pairs
SAS	2D displayed MDS	2501	37	41	3126250	0.41816067092113585	0.4424897582829771	0.23216160798540317	0.5825345765740966	0.3503729685886934	0	0.9289585072133234	0.23811039584893381	0.4143860404121994	0.4219009702926732	500	20000	sample-bootstrap over samples; each replicate estimates the pair mean from 20,000 drawn within-population pairs
AFR	5D cached MDS	4549	67	41	10344426	0.5995489851330402	0.6517742626165074	0.49034443934404787	0.7552232045761886	0.26487876523214077	0	0.9689215086122402	0.24174815478625492	0.5957217578617562	0.6034657005683144	500	20000	sample-bootstrap over samples; each replicate estimates the pair mean from 20,000 drawn within-population pairs
AMR	5D cached MDS	2974	44	41	4420851	0.6004165372768331	0.6566916359599108	0.4933391551303275	0.7566557953612021	0.2633166402308746	1.962615573354719e-17	0.9667341296744119	0.24305218903741935	0.5961350177784589	0.6042135743971204	500	20000	sample-bootstrap over samples; each replicate estimates the pair mean from 20,000 drawn within-population pairs
EAS	5D cached MDS	3438	52	41	5908203	0.5961150465885657	0.6546891289987523	0.4852756863443937	0.7516913560617939	0.2664156697174002	0	0.9599605852729464	0.24365322895537664	0.5921101295578168	0.6001099040786129	500	20000	sample-bootstrap over samples; each replicate estimates the pair mean from 20,000 drawn within-population pairs
EUR	5D cached MDS	2206	33	41	2432115	0.6003473974893981	0.6601752137123227	0.49665628893615077	0.757029847927692	0.26037355899154124	1.3877787807814457e-17	0.9611092798739794	0.24386660394146745	0.595142514436086	0.605327526863212	500	20000	sample-bootstrap over samples; each replicate estimates the pair mean from 20,000 drawn within-population pairs
SAS	5D cached MDS	2501	37	41	3126250	0.5983787425123339	0.656243948225754	0.4894269896591827	0.7547886982788202	0.26536170861963754	0	0.9608454863919439	0.24347618202547852	0.5943887499018304	0.6027120475468284	500	20000	sample-bootstrap over samples; each replicate estimates the pair mean from 20,000 drawn within-population pairs
