bin	bin_start_kb	bin_end_kb	count	is_cap_bin
[0,25)	0	25	2192	FALSE
[25,50)	25	50	2706	FALSE
[50,75)	50	75	1598	FALSE
[75,100)	75	100	203	FALSE
[100,125)	100	125	2086	FALSE
[125,150)	125	150	955	FALSE
[150,175)	150	175	821	FALSE
[175,200)	175	200	1026	FALSE
[200,225)	200	225	831	FALSE
[225,250)	225	250	573	FALSE
[250,275)	250	275	455	FALSE
[275,300)	275	300	228	FALSE
[300,325)	300	325	387	FALSE
[325,350)	325	350	447	FALSE
[350,375)	350	375	4	FALSE
[375,400)	375	400	2	FALSE
[400,425)	400	425	4	FALSE
[425,450)	425	450	7	FALSE
[450,475)	450	475	9	FALSE
[475,500]	475	500	1134	TRUE
