Superpopulation	dimensionality	n_points	n_samples	min_nearest_distance	q05_nearest_distance	q25_nearest_distance	median_nearest_distance	mean_nearest_distance	q75_nearest_distance	q95_nearest_distance	q99_nearest_distance	max_nearest_distance	sd_nearest_distance	n_exact_zero	n_le_1e_minus_7
AFR	2D displayed MDS	4549	67	0	7.235599170074038e-7	1.5678421079509e-5	6.528325851313414e-5	4.1095890857738196e-4	2.1045059911685491e-4	0.0012675870624968668	0.00753034587916874	0.060706687511809056	0.0020131821403801017	12	133
AMR	2D displayed MDS	2974	44	0	1.8292057416844536e-7	1.0982687510140971e-5	4.596733605884782e-5	5.023747216819145e-4	1.608999904827042e-4	0.001352753271166751	0.009914300643332926	0.07489777135922765	0.0028480844162007564	12	130
EAS	2D displayed MDS	3438	52	0	8.878314772689464e-8	9.081811786740232e-6	3.8657661528652474e-5	4.328248064610809e-4	1.518838648272227e-4	0.0012712001750571607	0.008088808536332998	0.04801198613865366	0.0023423954412968143	10	173
EUR	2D displayed MDS	2206	33	0	5.013833939250568e-7	1.4465400490011933e-5	5.337111554106392e-5	5.913758261400616e-4	1.8203235859193086e-4	0.0014209012409829983	0.010254672042094959	0.08178267602297856	0.0036919243497492314	12	66
SAS	2D displayed MDS	2501	37	0	1.163969293521112e-6	1.697948862029627e-5	5.886154770928292e-5	5.883131504470303e-4	1.9410164545710607e-4	0.001957351006714711	0.010386876403221649	0.1096137543768169	0.0037336414407703605	6	41
AFR	5D cached MDS sensitivity	4549	67	0	2.2870526332039284e-6	4.7212661185152596e-5	2.034034193641208e-4	0.001300002361299037	6.512839984982495e-4	0.0030369921300966557	0.020340342839567975	0.2386044414086002	0.008067470980311377	2	111
AMR	5D cached MDS sensitivity	2974	44	1.962615573354719e-17	3.5816247312330814e-7	2.8538521587448562e-5	1.3093348206442626e-4	0.0013392842373961488	4.5718610475430007e-4	0.0032066384089342085	0.022895557138224727	0.19259497352137966	0.008814333922428176	0	119
EAS	5D cached MDS sensitivity	3438	52	0	2.7768272972860915e-7	2.1994621705508187e-5	1.1082436240655838e-4	0.0012670372997268828	4.60012069399445e-4	0.002926800338883537	0.025367309440245303	0.15598139542975029	0.008139822324045006	2	145
EUR	5D cached MDS sensitivity	2206	33	1.3877787807814457e-17	1.2918877446777755e-6	3.699871160276494e-5	1.5886290350080004e-4	0.001463321555853342	5.422020920756043e-4	0.00306369778904802	0.02368356676084786	0.261336553660947	0.010114932696575003	0	58
SAS	5D cached MDS sensitivity	2501	37	0	3.4734767744429013e-6	4.5642568102030134e-5	1.8641917917415222e-4	0.0015322042672955328	6.332159596119498e-4	0.0036887506210372257	0.026410423928734002	0.2239657121935081	0.009443720972855578	2	33
