arm_label	chrom	arm	n	median_kb	mean_kb	p25_kb	p75_kb	p90_kb	p95_kb	max_kb	reported_at_500kb_n
1p	1	p	438	295	290.867579908676	290	315	320	320	500	1
1q	1	q	445	15	17.0898876404494	15	20	20	20	40	0
2p	2	p	0	NA	NA	NA	NA	NA	NA	NA	0
2q	2	q	450	120	124.477777777778	120	120	120	136.499999999999	480	0
3p	3	p	0	NA	NA	NA	NA	NA	NA	NA	0
3q	3	q	436	250	250.550458715596	250	250	255	265	500	2
4p	4	p	448	60	60.8370535714286	60	60	65	65	105	0
4q	4	q	357	155	162.787114845938	130	185	225	256	500	1
5p	5	p	0	NA	NA	NA	NA	NA	NA	NA	0
5q	5	q	447	200	192.606263982103	185	200	200	205	255	0
6p	6	p	417	100	120.815347721823	100	150	160	160	190	0
6q	6	q	440	145	141.602272727273	140	145	150	155	270	0
7p	7	p	438	175	184.246575342466	175	180	225	231.5	290	0
7q	7	q	446	40	31.3565022421525	5	45	45	45	45	0
8p	8	p	458	170	128.242358078603	30	170	175	180.75	230	0
8q	8	q	0	NA	NA	NA	NA	NA	NA	NA	0
9p	9	p	448	40	43.0245535714286	40	40	40	40	145	0
9q	9	q	450	230	260.544444444444	225	305	305	310	330	0
10p	10	p	443	70	70.0677200902934	70	70	70	70	125	0
10q	10	q	357	135	142.745098039216	110	165	197	231	390	0
11p	11	p	448	215	187.667410714286	180	225	230	295	450	0
11q	11	q	0	NA	NA	NA	NA	NA	NA	NA	0
12p	12	p	454	70	69.8568281938326	70	70	70	70	75	0
12q	12	q	449	25	24.1982182628062	25	25	25	25	45	0
13p	13	p	76	500	498.75	500	500	500	500	500	71
13q	13	q	449	10	10.5345211581292	10	10	10	10	105	0
14p	14	p	229	500	493.602620087336	500	500	500	500	500	207
14q	14	q	0	NA	NA	NA	NA	NA	NA	NA	0
15p	15	p	119	500	497.016806722689	500	500	500	500	500	116
15q	15	q	449	125	121.84855233853	120	125	125	125	200	0
16p	16	p	442	25	79.4683257918552	25	200	210	265	410	0
16q	16	q	449	155	147.50556792873	150	160	210	235	280	0
17p	17	p	448	45	45.5357142857143	40	50	60	65	160	0
17q	17	q	451	45	45.0886917960089	45	45	50	50	60	0
18p	18	p	446	100	102.141255605381	100	105	105	105	265	0
18q	18	q	0	NA	NA	NA	NA	NA	NA	NA	0
19p	19	p	434	205	194.976958525346	185	210	210	210	275	0
19q	19	q	457	20	20.8424507658643	20	20	25	25	25	0
20p	20	p	453	100	108.631346578366	100	135	135	135	195	0
20q	20	q	409	105	105.59902200489	105	105	105	105	185	0
21p	21	p	116	500	491.077586206897	500	500	500	500	500	110
21q	21	q	449	20	20.0668151447661	20	20	20	20	50	0
22p	22	p	223	500	495.538116591928	500	500	500	500	500	213
22q	22	q	450	20	22.3777777777778	20	25	25	25	25	0
Xp	X	p	327	500	465.886850152905	500	500	500	500	500	281
Xq	X	q	330	330	331.348484848485	330	330	330	335	500	2
Yp	Y	p	92	500	480.326086956522	500	500	500	500	500	83
Yq	Y	q	101	330	330.29702970297	330	330	330	335	335	0
