bin	bin_start_kb	bin_end_kb	count	is_cap_bin
[0,10)	0	10	156	FALSE
[10,20)	10	20	776	FALSE
[20,30)	20	30	2337	FALSE
[30,40)	30	40	257	FALSE
[40,50)	40	50	1372	FALSE
[50,60)	50	60	194	FALSE
[60,70)	60	70	521	FALSE
[70,80)	70	80	893	FALSE
[80,90)	80	90	51	FALSE
[90,100)	90	100	142	FALSE
[100,110)	100	110	1351	FALSE
[110,120)	110	120	173	FALSE
[120,130)	120	130	838	FALSE
[130,140)	130	140	217	FALSE
[140,150)	140	150	462	FALSE
[150,160)	150	160	391	FALSE
[160,170)	160	170	198	FALSE
[170,180)	170	180	632	FALSE
[180,190)	180	190	467	FALSE
[190,200)	190	200	159	FALSE
[200,210)	200	210	456	FALSE
[210,220)	210	220	277	FALSE
[220,230)	220	230	399	FALSE
[230,240)	230	240	190	FALSE
[240,250)	240	250	82	FALSE
[250,260)	250	260	367	FALSE
[260,270)	260	270	76	FALSE
[270,280)	270	280	16	FALSE
[280,290)	280	290	42	FALSE
[290,300)	290	300	182	FALSE
[300,310)	300	310	222	FALSE
[310,320)	310	320	99	FALSE
[320,330)	320	330	74	FALSE
[330,340)	330	340	436	FALSE
[340,350)	340	350	3	FALSE
[350,360)	350	360	3	FALSE
[360,370)	360	370	1	FALSE
[370,380)	370	380	1	FALSE
[380,390)	380	390	0	FALSE
[390,400)	390	400	1	FALSE
[400,410)	400	410	0	FALSE
[410,420)	410	420	2	FALSE
[420,430)	420	430	2	FALSE
[430,440)	430	440	3	FALSE
[440,450)	440	450	4	FALSE
[450,460)	450	460	6	FALSE
[460,470)	460	470	2	FALSE
[470,480)	470	480	2	FALSE
[480,490)	480	490	10	FALSE
[490,500]	490	500	1123	TRUE
