group1	group2	n_group1	n_group2	wilcoxon_w	p_value	p_adj_method	p_adj_bh
AFR	EAS	4549	3438	8800333	7.208133622146158e-22	BH	7.208133622146158e-21
EAS	SAS	3438	2501	3785911	3.602868049183528e-15	BH	1.801434024591764e-14
AFR	AMR	4549	2974	7392812	8.884251360299448e-12	BH	2.961417120099816e-11
EAS	EUR	3438	2206	3445420	6.463822061412363e-9	BH	1.6159555153530907e-8
AMR	SAS	2974	2501	3401715	5.156702780472227e-8	BH	1.0313405560944454e-7
AMR	EUR	2974	2206	3093163	4.371335570317519e-4	BH	7.285559283862533e-4
AFR	EUR	4549	2206	5205694	0.012310233778725825	BH	0.017586048255322607
AMR	EAS	2974	3438	5287515	0.017776358325639886	BH	0.022220447907049856
EUR	SAS	2206	2501	2678877	0.08659978509242919	BH	0.09622198343603243
AFR	SAS	4549	2501	5736786	0.5550091310729852	BH	0.5550091310729852
