group1	group2	n_group1	n_group2	median_group1	median_group2	median_difference_group1_minus_group2	mean_group1	mean_group2	mean_difference_group1_minus_group2	wilcoxon_w	p_value	p_value_talk	p_adj_method	p_adj_bh	p_adj_bh_talk	significance_stars	cliff_delta_group1_vs_group2	cliff_delta_magnitude	shown_on_slide
AFR	EAS	4549	3438	6.528325851313414e-5	3.8657661528652474e-5	2.662559698448166e-5	4.1095890857738196e-4	4.328248064610809e-4	-2.186589788369896e-5	8800333	7.208133622146158e-22	7.2e-22	BH	7.208133622146158e-21	7.2e-21	***	0.12540098885754514	negligible	TRUE
EAS	SAS	3438	2501	3.8657661528652474e-5	5.886154770928292e-5	-2.0203886180630447e-5	4.328248064610809e-4	5.883131504470303e-4	-1.5548834398594938e-4	3785911	3.602868049183528e-15	3.6e-15	BH	1.801434024591764e-14	1.8e-14	***	-0.11939563906839823	negligible	TRUE
AFR	AMR	4549	2974	6.528325851313414e-5	4.596733605884782e-5	1.9315922454286317e-5	4.1095890857738196e-4	5.023747216819145e-4	-9.141581310453256e-5	7392812	8.884251360299448e-12	8.9e-12	BH	2.961417120099816e-11	3.0e-11	***	0.0929058656373114	negligible	TRUE
EAS	EUR	3438	2206	3.8657661528652474e-5	5.337111554106392e-5	-1.4713454012411447e-5	4.328248064610809e-4	5.913758261400616e-4	-1.5855101967898072e-4	3445420	6.463822061412363e-9	6.5e-09	BH	1.6159555153530907e-8	1.6e-08	***	-0.0914249940798193	negligible	TRUE
AMR	SAS	2974	2501	4.596733605884782e-5	5.886154770928292e-5	-1.2894211650435102e-5	5.023747216819145e-4	5.883131504470303e-4	-8.593842876511578e-5	3401715	5.156702780472227e-8	5.2e-08	BH	1.0313405560944454e-7	1.0e-07	***	-0.08531140334720178	negligible	TRUE
AMR	EUR	2974	2206	4.596733605884782e-5	5.337111554106392e-5	-7.403779482216102e-6	5.023747216819145e-4	5.913758261400616e-4	-8.900110445814711e-5	3093163	4.371335570317519e-4	4.4e-04	BH	7.285559283862533e-4	7.3e-04	***	-0.05705506959377771	negligible	FALSE
AFR	EUR	4549	2206	6.528325851313414e-5	5.337111554106392e-5	1.1912142972070215e-5	4.1095890857738196e-4	5.913758261400616e-4	-1.8041691756267967e-4	5205694	0.012310233778725825	0.012	BH	0.017586048255322607	0.018	*	0.03749780520242263	negligible	FALSE
AMR	EAS	2974	3438	4.596733605884782e-5	3.8657661528652474e-5	7.309674530195345e-6	5.023747216819145e-4	4.328248064610809e-4	6.95499152208336e-5	5287515	0.017776358325639886	0.018	BH	0.022220447907049856	0.022	*	0.03427200953933518	negligible	FALSE
EUR	SAS	2206	2501	5.337111554106392e-5	5.886154770928292e-5	-5.490432168219e-6	5.913758261400616e-4	5.883131504470303e-4	3.062675693031331e-6	2678877	0.08659978509242919	0.087	BH	0.09622198343603243	0.096	ns	-0.028900860326766864	negligible	FALSE
AFR	SAS	4549	2501	6.528325851313414e-5	5.886154770928292e-5	6.421710803851215e-6	4.1095890857738196e-4	5.883131504470303e-4	-1.7735424186964834e-4	5736786	0.5550091310729852	0.555	BH	0.5550091310729852	0.555	ns	0.00848401022092804	negligible	FALSE
