page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
--------------------------------------------------------------------------------------------
   2     0 image    2000  1125  icc     3   8  image  no        41  0   178   178  291K 4.4%
   3     1 image    2000  1125  icc     3   8  image  no        42  0   178   178  629K 9.5%
   4     2 image     900   600  icc     3   8  image  no        43  0    85    85 20.3K 1.3%
   4     3 smask     900   600  gray    1   8  image  no        43  0    85    85 18.4K 3.5%
   5     4 image    1650  1600  icc     3   8  image  no        45  0   226   226  286K 3.7%
   6     5 image    4800  2700  icc     3   8  image  no        46  0   426   426  241K 0.6%
   6     6 smask    4800  2700  gray    1   8  image  no        46  0   426   426 12.3K 0.1%
   7     7 image    1600   900  icc     3   8  image  no        48  0   142   142 73.1K 1.7%
   8     8 image    1600   900  icc     3   8  image  no        49  0   142   142 73.4K 1.7%
   9     9 image    1600   900  icc     3   8  image  no        50  0   142   142 77.8K 1.8%
  10    10 image    1600   900  icc     3   8  image  no        51  0   142   142 75.6K 1.8%
  11    11 image    1600   640  icc     3   8  image  no        52  0   142   142 45.1K 1.5%
  11    12 smask    1600   640  gray    1   8  image  no        52  0   142   142 10.1K 1.0%
  12    13 image    1650  1650  icc     3   8  image  no        54  0   233   233  132K 1.7%
  13    14 image    1600  1300  icc     3   8  image  no        55  0   184   184 94.5K 1.6%
  14    15 image    3600  3000  icc     3   8  image  no        56  0   424   424  667K 2.1%
  15    16 image    3600  3000  icc     3   8  image  no        57  0   424   424  474K 1.5%
  16    17 image    2000  1125  icc     3   8  image  no        58  0   178   178  567K 8.6%
  17    18 image    1600  1100  icc     3   8  image  no        59  0   155   155 84.9K 1.6%
  17    19 smask    1600  1100  gray    1   8  image  no        59  0   155   155 9197B 0.5%
  18    20 image    1600  1200  icc     3   8  image  no        61  0   170   170 77.4K 1.4%
  19    21 image    1575  1350  icc     3   8  image  no        62  0   191   191  133K 2.1%
  20    22 image    1600  1170  icc     3   8  image  no        63  0   165   165 63.2K 1.2%
  21    23 image    1400   860  icc     3   8  image  no        64  0   124   124 81.6K 2.3%
  22    24 image    1200   750  icc     3   8  image  no        65  0   107   107 26.4K 1.0%
  22    25 smask    1200   750  gray    1   8  image  no        65  0   107   107 35.9K 4.1%
  23    26 image    2800  1600  icc     3   8  image  no        67  0   249   249  175K 1.3%
  24    27 image    2800  1589  icc     3   8  image  no        68  0   249   249  269K 2.1%
  25    28 image    1067  1040  icc     3   8  image  no        69  0   147   147 38.9K 1.2%
  26    29 image    1067  1040  icc     3   8  image  no        70  0   147   147 41.1K 1.3%
  27    30 image    1066  1040  icc     3   8  image  no        71  0   147   147 54.3K 1.7%
