arm_a	arm_b	mean_jaccard	n_pairs	hic_contact
chr10_p	chr11_p	0.324286425	8	0.006505507308816912
chr10_p	chr11_q	0.0	8	7.762051455282601e-05
chr10_p	chr12_p	0.7544107499999999	8	0.03405893067719487
chr10_p	chr13_p	0.575775	8	0.017381308316457
chr10_p	chr14_p	0.7147375	8	0.034693177893830404
chr10_p	chr15_p	0.74631825	8	0.03182014705979807
chr10_p	chr16_p	0.6559585	8	0.031859897500529484
chr10_p	chr17_p	0.6684637499999999	8	0.03630171391809591
chr10_p	chr17_q	0.0	4	5.6834688595605244e-05
chr10_p	chr18_p	0.24496323499999995	8	0.00011970982044333728
chr10_p	chr19_p	0.49776325	8	0.03155340352691953
chr10_p	chr19_q	0.0	8	2.807324952277594e-05
chr10_p	chr1_p	0.6511659999999999	8	0.03696366623906755
chr10_p	chr2_p	0.56280575	8	0.018740817302106996
chr10_p	chr3_p	0.6044572500000001	8	0.033054023537230824
chr10_p	chr4_p	0.294633075	8	0.0018205720291864843
chr10_p	chr5_p	0.6558620000000001	8	0.014377567099679849
chr10_p	chr6_p	0.6705355000000001	8	0.02654073732195826
chr10_p	chr7_p	0.31146300000000005	8	0.0008458525726556946
chr10_p	chr8_p	0.6279807500000001	8	0.034031377263541635
chr10_p	chr8_q	0.0	8	6.125245582956836e-05
chr10_p	chr9_p	0.6568494999999999	8	0.036725391033805635
chr10_p	chr9_q	0.005321375	4	0.0017643707489341455
chr10_p	chrX_p	0.6263624999999999	4	0.0022555624413054818
chr10_p	chrX_q	0.0	4	9.27935362086989e-05
chr10_q	chr11_p	0.0	4	0.0
chr10_q	chr11_q	0.0	4	0.0006333033516628597
chr10_q	chr12_p	0.0	4	2.5801223683975255e-05
chr10_q	chr13_p	0.0	4	4.5718095447421077e-05
chr10_q	chr14_p	0.0	4	1.9341134690575357e-05
chr10_q	chr15_p	0.0	4	4.469223813119438e-05
chr10_q	chr16_p	0.0	4	5.1944038477709e-05
chr10_q	chr17_p	0.0	4	6.832764012420333e-05
chr10_q	chr17_q	0.155891	2	0.011244416668378845
chr10_q	chr18_p	0.0	4	0.0008271397933349759
chr10_q	chr19_p	0.0	4	8.122295697799692e-05
chr10_q	chr19_q	0.0	4	0.00012708563347947301
chr10_q	chr1_p	0.0	4	3.7869511347883374e-05
chr10_q	chr2_p	0.0	4	6.482889046793886e-05
chr10_q	chr3_p	0.0	4	7.086554011769114e-06
chr10_q	chr4_p	0.0	4	4.1766903318352566e-05
chr10_q	chr5_p	0.0	4	4.266485903832923e-05
chr10_q	chr6_p	0.0	4	2.7306598354290373e-05
chr10_q	chr7_p	0.0	4	0.0010363307330106767
chr10_q	chr8_p	0.0	4	7.54372101902088e-05
