arm_a	arm_b	mean_jaccard	n_pairs	hic_contact
chr10_p	chr11_p	0.324286425	8	0.007991693729963802
chr10_p	chr11_q	0.0	8	0.0007763457505530756
chr10_p	chr12_p	0.7544107499999999	8	0.02357065810459084
chr10_p	chr13_p	0.575775	8	0.013109088634144353
chr10_p	chr14_p	0.7147375	8	0.022659469845079418
chr10_p	chr15_p	0.74631825	8	0.01946632433357837
chr10_p	chr16_p	0.6559585	8	0.02109564798185396
chr10_p	chr17_p	0.6684637499999999	8	0.026384971801094788
chr10_p	chr17_q	0.0	4	0.0007567275991661251
chr10_p	chr18_p	0.24496323499999995	8	0.0006261596101724093
chr10_p	chr19_p	0.49776325	8	0.021412514676029996
chr10_p	chr19_q	0.0	8	0.00040080723627757106
chr10_p	chr1_p	0.6511659999999999	8	0.02726448843375468
chr10_p	chr2_p	0.56280575	8	0.017490593248741214
chr10_p	chr3_p	0.6044572500000001	8	0.02226311747095789
chr10_p	chr4_p	0.294633075	8	0.0021362504247512673
chr10_p	chr5_p	0.6558620000000001	8	0.013455585455624058
chr10_p	chr6_p	0.6705355000000001	8	0.019232787560737326
chr10_p	chr7_p	0.31146300000000005	8	0.0013365114718519315
chr10_p	chr8_p	0.6279807500000001	8	0.02036853123763892
chr10_p	chr8_q	0.0	8	0.0008504916972135891
chr10_p	chr9_p	0.6568494999999999	8	0.03229148601600795
chr10_p	chr9_q	0.005321375	4	0.0022937632180137276
chr10_p	chrX_p	0.6263624999999999	4	0.012870154396188622
chr10_p	chrX_q	0.0	4	0.0008368391677431354
chr10_q	chr11_p	0.0	4	0.003789387119012551
chr10_q	chr11_q	0.0	4	0.01851446093926053
chr10_q	chr12_p	0.0	4	0.001423835848921234
chr10_q	chr13_p	0.0	4	0.0012497543022977672
chr10_q	chr14_p	0.0	4	0.0010114866006746006
chr10_q	chr15_p	0.0	4	0.0014182119996032562
chr10_q	chr16_p	0.0	4	0.0009846688884673463
chr10_q	chr17_p	0.0	4	0.001389910533571891
chr10_q	chr17_q	0.155891	2	0.04601084376244186
chr10_q	chr18_p	0.0	4	0.009015124129661614
chr10_q	chr19_p	0.0	4	0.001284232271794194
chr10_q	chr19_q	0.0	4	0.01169826898309046
chr10_q	chr1_p	0.0	4	0.0015772665993017887
chr10_q	chr2_p	0.0	4	0.0010960914167700395
chr10_q	chr3_p	0.0	4	0.000986964218005227
chr10_q	chr4_p	0.0	4	0.015058622656065642
chr10_q	chr5_p	0.0	4	0.0014498477180304712
chr10_q	chr6_p	0.0	4	0.00163947635972304
chr10_q	chr7_p	0.0	4	0.00578657219125778
chr10_q	chr8_p	0.0	4	0.0013297351227139777
chr10_q	chr8_q	0.1344847	4	0.03224043998134767
chr10_q	chr9_p	0.0	4	0.0009047297379535624
chr10_q	chr9_q	0.0	2	0.008604332842758345
chr10_q	chrX_p	0.0	2	0.0014637414084518296
chr10_q	chrX_q	0.0	2	0.05123826053993768
chr11_p	chr12_p	0.32631815000000003	8	0.009725338851664954
chr11_p	chr13_p	0.220880275	8	0.010283466580403088
chr11_p	chr14_p	0.290433075	8	0.007611390439760696
chr11_p	chr15_p	0.3327506499999999	8	0.0062958465864337365
chr11_p	chr16_p	0.343457626	8	0.00709058729706935
chr11_p	chr17_p	0.30209707875	8	0.013485944398475759
chr11_p	chr17_q	0.0	4	0.003562218507249889
chr11_p	chr18_p	0.18819891925	8	0.002757653209879646
chr11_p	chr19_p	0.185750825	8	0.008791917955268565
chr11_p	chr19_q	0.0	8	0.0016380922413114095
chr11_p	chr1_p	0.263146575	8	0.010994596100945709
chr11_p	chr2_p	0.3110480505	8	0.01383460300180305
chr11_p	chr3_p	0.22851345	8	0.007542935851624428
chr11_p	chr4_p	0.12638885749999998	8	0.0025980925360870404
chr11_p	chr5_p	0.305114225	8	0.010871659538921868
chr11_p	chr6_p	0.289545225	8	0.007035610421300789
chr11_p	chr7_p	0.20825194225000002	8	0.0013674019035530994
chr11_p	chr8_p	0.238495125	8	0.006955918656328014
chr11_p	chr8_q	0.0	8	0.002458689670410301
chr11_p	chr9_p	0.32852800050000003	8	0.01495501435911792
chr11_p	chr9_q	0.002641605	4	0.001564840710336966
chr11_p	chrX_p	0.3965648915	4	0.009387932728711105
chr11_p	chrX_q	0.0	4	0.00523952939000676
chr11_q	chr12_p	0.0	8	0.0011015823212207772
chr11_q	chr13_p	0.0	8	0.0011373720103105725
chr11_q	chr14_p	0.0	8	0.000805952551019587
chr11_q	chr15_p	0.0	8	0.0011964607963279629
chr11_q	chr16_p	0.0	8	0.0006584519543088386
chr11_q	chr17_p	0.0	8	0.0013003726984092002
chr11_q	chr17_q	0.0	4	0.01849981693802532
chr11_q	chr18_p	0.0	8	0.0044296805800277846
chr11_q	chr19_p	0.0	8	0.0010397012185783868
chr11_q	chr19_q	0.0	8	0.01830175220041957
chr11_q	chr1_p	0.0	8	0.0008927023508428077
chr11_q	chr2_p	0.0	8	0.000788326420720329
chr11_q	chr3_p	0.0	8	0.0007831229143602796
chr11_q	chr4_p	0.0	8	0.007955171807149681
chr11_q	chr5_p	0.0	8	0.000999061418913552
chr11_q	chr6_p	0.0	8	0.0010556391320664363
chr11_q	chr7_p	0.02997225	8	0.010203954934315022
chr11_q	chr8_p	0.0	8	0.0008421276622603032
chr11_q	chr8_q	0.0	8	0.012887501715129132
chr11_q	chr9_p	0.0	8	0.0008749859887787835
chr11_q	chr9_q	0.0	4	0.004770703722459739
chr11_q	chrX_p	0.0	4	0.000880743838574995
chr11_q	chrX_q	0.07741529999999999	4	0.021523288189702287
chr12_p	chr13_p	0.57361425	8	0.015386497722994915
chr12_p	chr14_p	0.7097494999999999	8	0.02418935713525877
chr12_p	chr15_p	0.72118025	8	0.020715272513117944
chr12_p	chr16_p	0.64452625	8	0.02242602780047715
chr12_p	chr17_p	0.6708677500000001	8	0.029917090223706422
chr12_p	chr17_q	0.0	4	0.0013302102624002258
chr12_p	chr18_p	0.2523236225	8	0.0010576203766605064
chr12_p	chr19_p	0.4936125	8	0.023250687585409754
chr12_p	chr19_q	0.0	8	0.0007852844630498199
chr12_p	chr1_p	0.6448470000000001	8	0.02903112963171788
chr12_p	chr2_p	0.5528575	8	0.021395852037242608
chr12_p	chr3_p	0.6010617500000001	8	0.02297717407648695
chr12_p	chr4_p	0.28541445	8	0.0024995444476237135
chr12_p	chr5_p	0.64454375	8	0.01597263972973264
chr12_p	chr6_p	0.6480695	8	0.02013160395646102
chr12_p	chr7_p	0.30294325	8	0.0017219212893158779
chr12_p	chr8_p	0.6215955	8	0.02119971200558534
chr12_p	chr8_q	0.0	8	0.0012162859029091152
chr12_p	chr9_p	0.64692025	8	0.03570968473556792
chr12_p	chr9_q	0.005489415	4	0.0012141597781607037
chr12_p	chrX_p	0.6116035	4	0.014463972943005513
chr12_p	chrX_q	0.0	4	0.001458339272594839
chr13_p	chr14_p	0.658062	8	0.0130771319101275
chr13_p	chr15_p	0.5853195	8	0.01137095752160867
chr13_p	chr16_p	0.574334	8	0.0127226101864201
chr13_p	chr17_p	0.5659755	8	0.02181415041432512
chr13_p	chr17_q	0.0	4	0.0014175271641530059
chr13_p	chr18_p	0.24341083250000004	8	0.0010717286248273555
chr13_p	chr19_p	0.63978775	8	0.0148016910713902
chr13_p	chr19_q	0.0	8	0.0008478651865117353
chr13_p	chr1_p	0.6514257500000001	8	0.01997537731772524
chr13_p	chr2_p	0.5615730000000001	8	0.023869991092522816
chr13_p	chr3_p	0.681526	8	0.013014484597575478
chr13_p	chr4_p	0.29006914	8	0.0026621697808764584
chr13_p	chr5_p	0.64775275	8	0.018973220411673576
chr13_p	chr6_p	0.6225499999999999	8	0.013087416400312604
chr13_p	chr7_p	0.2082135	8	0.0016593206610215597
chr13_p	chr8_p	0.678777	8	0.011738780184818706
chr13_p	chr8_q	0.0	8	0.0011728379164368898
chr13_p	chr9_p	0.594139	8	0.026431203895062663
chr13_p	chr9_q	0.002828785	4	0.0010017653807744698
chr13_p	chrX_p	0.4255935	4	0.0154710831237523
chr13_p	chrX_q	0.0	4	0.002813578868687463
chr14_p	chr15_p	0.69757675	8	0.020083915385163482
chr14_p	chr16_p	0.6401752500000001	8	0.021838318741845254
chr14_p	chr17_p	0.66436575	8	0.027495747369783986
chr14_p	chr17_q	0.0	4	0.0009807432100262003
chr14_p	chr18_p	0.24561188499999997	8	0.0007733472918084718
chr14_p	chr19_p	0.5482205	8	0.022338806091995046
chr14_p	chr19_q	0.0	8	0.0004287730622381037
chr14_p	chr1_p	0.6786317500000001	8	0.02954991275961289
chr14_p	chr2_p	0.5638145	8	0.01824815526592843
chr14_p	chr3_p	0.65074075	8	0.023563233185493263
chr14_p	chr4_p	0.29124649999999996	8	0.0027992425111620727
chr14_p	chr5_p	0.6750577499999999	8	0.014194639864190261
chr14_p	chr6_p	0.6502494999999999	8	0.019968084009487415
chr14_p	chr7_p	0.278213	8	0.0014643036680224604
chr14_p	chr8_p	0.66535375	8	0.02154673998022683
chr14_p	chr8_q	0.0	8	0.0007463833303194176
chr14_p	chr9_p	0.6477419999999999	8	0.03318322816884802
chr14_p	chr9_q	0.005626105	4	0.003350183250661668
chr14_p	chrX_p	0.574379	4	0.012862202932128522
chr14_p	chrX_q	0.0	4	0.0013207786189204272
chr15_p	chr16_p	0.670192	8	0.019431484261928575
chr15_p	chr17_p	0.6619287500000001	8	0.023052746278993598
chr15_p	chr17_q	0.0	4	0.0013921464585320087
chr15_p	chr18_p	0.24518503	8	0.0010034748970566168
chr15_p	chr19_p	0.5132415	8	0.020259614094348424
chr15_p	chr19_q	0.0	8	0.0006892353281504531
chr15_p	chr1_p	0.64010975	8	0.02442643552155583
chr15_p	chr2_p	0.57425375	8	0.015056436112207382
chr15_p	chr3_p	0.6144069999999999	8	0.020015403839654347
chr15_p	chr4_p	0.282723875	8	0.0023323381706188634
chr15_p	chr5_p	0.6580462499999999	8	0.011482854255079946
chr15_p	chr6_p	0.6693804999999999	8	0.01798970367184126
chr15_p	chr7_p	0.31925525	8	0.0014074685005729763
chr15_p	chr8_p	0.62335675	8	0.018729368558174225
chr15_p	chr8_q	0.0	8	0.0011946682467293462
chr15_p	chr9_p	0.6725035	8	0.0277335445489688
chr15_p	chr9_q	0.005488605000000001	4	0.001937503843483616
chr15_p	chrX_p	0.6422749999999999	4	0.010783951038139792
chr15_p	chrX_q	0.0	4	0.002168344746418695
chr16_p	chr17_p	0.634244	8	0.026025840782817947
chr16_p	chr17_q	0.0	4	0.0008796357397963498
chr16_p	chr18_p	0.22500097125000001	8	0.0007074409127775683
chr16_p	chr19_p	0.5034704999999999	8	0.02159734054424907
chr16_p	chr19_q	0.0	8	0.0004678850079950651
chr16_p	chr1_p	0.5955134999999999	8	0.027437464568977454
chr16_p	chr2_p	0.58713275	8	0.016452578595864763
chr16_p	chr3_p	0.5730922500000001	8	0.0214152747450431
chr16_p	chr4_p	0.254985675	8	0.0020787734427477104
chr16_p	chr5_p	0.62375475	8	0.01338674118799793
chr16_p	chr6_p	0.61282325	8	0.01931896776218547
chr16_p	chr7_p	0.352844	8	0.001470094443846317
chr16_p	chr8_p	0.5780062499999999	8	0.019816933351203776
chr16_p	chr8_q	0.0	8	0.0008306970335002427
chr16_p	chr9_p	0.66452975	8	0.03142997958889368
chr16_p	chr9_q	0.005502675	4	0.002157804975909461
chr16_p	chrX_p	0.6428265	4	0.013044653607942585
chr16_p	chrX_q	0.0	4	0.0014719016647947068
chr17_p	chr18_p	0.26398295925000004	8	0.0010356665473526337
chr17_p	chr19_p	0.48210875	8	0.028170210094741077
chr17_p	chr19_q	0.0	8	0.0006488342684437434
chr17_p	chr1_p	0.59549025	8	0.03638370179197986
chr17_p	chr2_p	0.5403105	8	0.03201384496120661
chr17_p	chr3_p	0.5588255	8	0.026880056027809268
chr17_p	chr4_p	0.304809525	8	0.0035122614462824017
chr17_p	chr5_p	0.60765225	8	0.024965461250100705
chr17_p	chr6_p	0.6106812500000001	8	0.02389401780469269
chr17_p	chr7_p	0.29516025	8	0.002306115412394137
chr17_p	chr8_p	0.5708635	8	0.024296069102572405
chr17_p	chr8_q	0.0	8	0.0010422224183326881
chr17_p	chr9_p	0.639357	8	0.043891472116215566
chr17_p	chr9_q	0.00673897	4	0.0032256613231539835
chr17_p	chrX_p	0.6088255	4	0.021698307682852323
chr17_p	chrX_q	0.0	4	0.0023653731576071643
chr17_q	chr18_p	0.0	4	0.012127159586715855
chr17_q	chr19_p	0.0	4	0.001122902222589159
chr17_q	chr19_q	0.0	4	0.014621954684400657
chr17_q	chr1_p	0.0	4	0.001403805826529923
chr17_q	chr2_p	0.0	4	0.0008642579624892175
chr17_q	chr3_p	0.0	4	0.0008427274240625171
chr17_q	chr4_p	0.0	4	0.014101235695294478
chr17_q	chr5_p	0.0	4	0.0013064031315693637
chr17_q	chr6_p	0.0	4	0.0013448181673850115
chr17_q	chr7_p	0.0	4	0.008170782123657011
chr17_q	chr8_p	0.0	4	0.0009938546747083462
chr17_q	chr8_q	0.2277511	4	0.03208735558798418
chr17_q	chr9_p	0.0	4	0.0009576960363728146
chr17_q	chr9_q	0.0	2	0.007972588589061084
chr17_q	chrX_p	0.0	2	0.0012739426577513106
chr17_q	chrX_q	0.0	2	0.07485984818480473
chr18_p	chr19_p	0.19884303749999999	8	0.0009500261496902487
chr18_p	chr19_q	0.0	8	0.0033143889367328646
chr18_p	chr1_p	0.23439600499999994	8	0.0009826483025708844
chr18_p	chr2_p	0.21881577200000002	8	0.0008045913399859183
chr18_p	chr3_p	0.2354416225	8	0.0006553535430447713
chr18_p	chr4_p	0.17425229250000002	8	0.0034577743291294523
