arm	leiden_community	superpop	carriers_in_sp	noncarriers_in_sp	carriers_other_sp	noncarriers_other	n_carriers_total	pct_carriers_in_sp	naive_OR	conditional_MLE_OR	OR_CI95_low	OR_CI95_high	p_one_sided	p_two_sided	q_BH
chr16_q	C3	AFR	67	67	18	313	85	50	17.3888888888889	17.23635260021	9.41332131311649	32.9724061254704	6.60779896952363e-27	6.60779896952364e-27	5.2862391756189e-25
chr2_q	C12	SAS	17	57	5	386	22	22.972972972973	23.0245614035088	22.7494947730363	7.68181015295075	81.8118602297892	6.84205817900336e-11	6.84205817900337e-11	2.73682327160134e-09
chr16_p	C9	AFR	19	115	6	325	25	14.1791044776119	8.94927536231884	8.89829572172839	3.31447756648949	27.9373797846682	6.71459127493498e-07	6.71459127493498e-07	1.790557673316e-05
chr9_q	C3	AFR	59	75	79	252	138	44.0298507462687	2.50936708860759	2.5039348210301	1.60193585618074	3.91683276379892	1.84759661466329e-05	2.93937195588372e-05	0.000369519322932658
chr8_p	C11	AFR	9	125	1	330	10	6.71641791044776	23.76	23.6003673714051	3.21393555195188	1038.89185836627	8.48074182795289e-05	8.48074182795289e-05	0.00135691869247246
chr15_q	C8	EUR	64	1	334	66	398	98.4615384615385	12.6467065868263	12.6130981757249	2.10061398888329	513.711800568604	0.000246182947644347	0.000431650162103856	0.00328243930192462
chr6_p	C5	AMR	8	80	5	372	13	9.09090909090909	7.44	7.39284763052258	2.07021011319106	29.5108344598461	0.000696504684817735	0.000696504684817735	0.00796005354077411
chr15_q	C8	EAS	98	6	300	61	398	94.2307692307692	3.32111111111111	3.31455699064137	1.37836847425019	9.67266009456423	0.00199700898184814	0.00391583056178629	0.0199700898184814
chr7_p	C3	AFR	10	124	7	324	17	7.46268656716418	3.73271889400922	3.72033693405346	1.24670974557621	11.7915107002431	0.00824121228888356	0.0109792684969676	0.0732552203456317
chr15_q	C8	AMR	81	7	317	60	398	92.0454545454545	2.19017575484452	2.18711439712027	0.949524795235101	5.88827202809412	0.0349589698241468	0.0632902366386389	0.279671758593175
chr3_q	C3	AFR	128	6	299	32	427	95.5223880597015	2.28316610925307	2.2797471581042	0.910255151113814	6.83641517793671	0.043096100568118	0.0907198789186513	0.313426185949949
chr5_q	C11	EUR	2	63	1	399	3	3.07692307692308	12.6666666666667	12.5455377020491	0.644384299694508	745.099806700642	0.0525950360011244	0.0525950360011244	0.344341079096948
chr19_p	C3	SAS	71	3	350	41	421	95.945945945946	2.77238095238095	2.76797303125306	0.845536671932893	14.3572458184579	0.055955425353254	0.125948979358823	0.344341079096948
chr15_q	C8	SAS	68	6	330	61	398	91.8918918918919	2.09494949494949	2.09224862931512	0.858641529616685	6.16362549201378	0.0605506726645019	0.105219777100282	0.346003843797154
chr19_p	C3	AFR	126	8	295	36	421	94.0298507462687	1.92203389830508	1.91965409985203	0.846460105325397	4.91868317636675	0.0679642939225963	0.116690861346564	0.362476234253847
chr3_q	C3	AMR	84	4	343	34	427	95.4545454545455	2.08163265306122	2.07882902118847	0.712627087805485	8.28567991532874	0.118723190839591	0.199433400402701	0.593615954197954
chr1_p	C11	AFR	3	131	2	329	5	2.23880597014925	3.76717557251908	3.75473785999792	0.425109726720075	45.4303491540477	0.146630151215838	0.146630151215838	0.651689560959281
chr6_q	C11	AFR	3	131	2	329	5	2.23880597014925	3.76717557251908	3.75473785999792	0.425109726720075	45.4303491540477	0.146630151215838	0.146630151215838	0.651689560959281
chr11_p	C3	EAS	66	38	207	154	273	63.4615384615385	1.29214340198322	1.29143673543017	0.806188060116541	2.08927706802651	0.157673530696327	0.309150378166222	0.663888550300324
chr11_p	C3	AFR	83	51	190	141	273	61.9402985074627	1.2077399380805	1.20725063756878	0.785608012971966	1.86583098851248	0.213238939495344	0.405945965304093	0.852022529441885
chrX_q	C14	EAS	1	103	0	361	1	0.961538461538462	Inf	Inf	0.0890038537139861	Inf	0.223655913978495	0.223655913978495	0.852022529441885
chr20_p	C12	EUR	1	64	1	399	2	1.53846153846154	6.234375	6.19399199034341	0.0782088637312718	488.490633411409	0.260289210233593	0.260289210233593	0.946506219031246
chr20_p	C12	SAS	1	73	1	390	2	1.35135135135135	5.34246575342466	5.3131521545369	0.0671466441447164	418.90438440667	0.293242491657397	0.293242491657397	1
chr7_p	C3	AMR	4	84	13	364	17	4.54545454545455	1.33333333333333	1.33243911196353	0.308743694952419	4.45626725887756	0.40599783782789	0.541501491636589	1
chr3_q	C3	SAS	69	5	358	33	427	93.2432432432432	1.27206703910615	1.27144896103149	0.469911674298442	4.3196752423954	0.416870691959322	0.8175316231444	1
chr5_q	C11	AMR	1	87	2	375	3	1.13636363636364	2.1551724137931	2.15082024435828	0.0361191740614271	41.7486684356887	0.467881279175085	0.467881279175085	1
chr6_q	C11	EUR	1	64	4	396	5	1.53846153846154	1.546875	1.54518548191263	0.0309325547585848	15.9352936664096	0.530639188189429	0.530639188189429	1
chr19_p	C3	AMR	80	8	341	36	421	90.9090909090909	1.05571847507331	1.05556951472974	0.459412671487956	2.73213305897071	0.541492482756657	1	1
chr6_p	C5	EUR	2	63	11	389	13	3.07692307692308	1.12265512265512	1.12232729415127	0.118182358655639	5.32472428936133	0.563534104963027	0.700881037059009	1
chr1_p	C11	SAS	1	73	4	387	5	1.35135135135135	1.32534246575342	1.32446133436939	0.0265524783439623	13.6399737677361	0.581361822620414	0.581361822620414	1
chr9_q	C3	EUR	19	46	119	281	138	29.2307692307692	0.975337961271465	0.975389291551084	0.516795786730001	1.78229130799694	0.586054526078956	1	1
chr1_p	C11	AMR	1	87	4	373	5	1.13636363636364	1.07183908045977	1.07168839172648	0.0215200143470157	11.009130941134	0.651465260949201	1	1
chr6_q	C11	AMR	1	87	4	373	5	1.13636363636364	1.07183908045977	1.07168839172648	0.0215200143470157	11.009130941134	0.651465260949201	1	1
chr11_p	C3	SAS	42	32	231	160	273	56.7567567567568	0.909090909090909	0.909279417934039	0.534729317722968	1.55726900443227	0.692999823943494	0.701847904279139	1
chr11_p	C3	AMR	50	38	223	154	273	56.8181818181818	0.908661789001652	0.908851098114864	0.554353489376833	1.49844528981692	0.699653460170938	0.719100049897055	1
chr7_p	C3	EUR	2	63	15	385	17	3.07692307692308	0.814814814814815	0.815150204131356	0.0883848444545955	3.64006239000516	0.714439043119323	1	1
chr16_p	C9	AMR	4	84	21	356	25	4.54545454545455	0.807256235827664	0.807608649272121	0.196373785562325	2.48264028141293	0.730565274983016	1	1
chr3_q	C3	EUR	58	7	369	31	427	89.2307692307692	0.696089818041038	0.696694434780567	0.283452986427874	1.96297422834251	0.856798502838807	0.461265768842233	1
chr19_p	C3	EUR	57	8	364	36	421	87.6923076923077	0.70467032967033	0.705257586761727	0.302231807202999	1.84671098502351	0.857858660564347	0.367209584029205	1
chr9_q	C3	AMR	22	66	116	261	138	25	0.75	0.750447450817454	0.419771561199169	1.30230741088791	0.885267305488562	0.303209498591566	1
chr6_p	C5	SAS	1	73	12	379	13	1.35135135135135	0.432648401826484	0.433233822412456	0.00998947382253559	3.01266678038604	0.898294247090828	0.702441819033487	1
chr2_q	C12	EAS	3	101	19	342	22	2.88461538461538	0.534653465346535	0.535231582439742	0.0994571571297681	1.87266029293643	0.904449532762825	0.43478541919899	1
chr8_p	C11	EAS	1	103	9	352	10	0.961538461538462	0.379719525350593	0.380301235080529	0.00858482812286206	2.80042949126512	0.92268878250872	0.469629582189238	1
chr6_p	C5	AFR	2	132	11	320	13	1.49253731343284	0.440771349862259	0.441411805903765	0.0469262204774811	2.06358255432577	0.927386147136801	0.36447427408361	1
chr9_q	C3	EAS	25	79	113	248	138	24.0384615384615	0.694522235913521	0.695045320465655	0.40227334189281	1.17086887799942	0.941264631934151	0.180359579643114	1
chr7_p	C3	SAS	1	73	16	375	17	1.35135135135135	0.321061643835616	0.321598242469687	0.00755758073667688	2.13397649461237	0.950383748489504	0.494612537806819	1
chr11_p	C3	EUR	32	33	241	159	273	49.2307692307692	0.639758581667295	0.64040824110784	0.365017262489966	1.12199966801143	0.9641133713468	0.103957406132603	1
chr16_p	C9	EUR	1	64	24	376	25	1.53846153846154	0.244791666666667	0.245254652290276	0.00586593643106808	1.55951109120146	0.979210774631118	0.23080376812786	1
chr16_q	C3	SAS	8	66	77	314	85	10.8108108108108	0.494293585202676	0.494930396178082	0.196824713397447	1.09183433843626	0.980691453706423	0.0728743688633708	1
chr16_p	C9	SAS	1	73	24	367	25	1.35135135135135	0.209474885844749	0.209900343045098	0.00502968024530477	1.32976538690456	0.988440601256188	0.153966592576752	1
chr2_q	C12	AFR	2	132	20	311	22	1.49253731343284	0.235606060606061	0.236094526175232	0.0263714682229262	0.994742358454208	0.995179200925123	0.0504278778291364	1
chr9_q	C3	SAS	13	61	125	266	138	17.5675675675676	0.453508196721311	0.454192804386184	0.220477858220043	0.874363671895298	0.996824800755048	0.0124839686036096	1
chr19_p	C3	EAS	87	17	334	27	421	83.6538461538462	0.413702007749207	0.414638926701066	0.207013153429013	0.849851067771071	0.997135208165975	0.0120957979232713	1
chr3_q	C3	EAS	88	16	339	22	427	84.6153846153846	0.35693215339233	0.357904295165792	0.171216935716708	0.76214347227998	0.998862412845851	0.00411465529803483	1
chr16_q	C3	AMR	6	82	79	298	85	6.81818181818182	0.276011114541525	0.276585244933016	0.0951045698330895	0.661346651541241	0.999804043876583	0.00120294459617754	1
chr16_q	C3	EUR	2	63	83	317	85	3.07692307692308	0.12124689233123	0.121560937687131	0.0140876317249567	0.474920811202716	0.999987889868277	0.000196955944502226	1
chr16_q	C3	EAS	2	102	83	278	85	1.92307692307692	0.0656744625561068	0.0658827908782227	0.00769466298991535	0.253823844751295	0.999999998869788	3.2127658436384e-08	1
chr15_q	C8	AFR	87	47	311	20	398	64.9253731343284	0.119039474584388	0.119761571407936	0.0636135038007989	0.218475373941554	0.999999999999997	2.43156708346106e-14	1
chr16_p	C9	EAS	0	104	25	336	25	0	0	0	0	0.525955039671658	1	0.00228482668735117	1
chr2_q	C12	AMR	0	88	22	355	22	0	0	0	0	0.755677433559649	1	0.0120020724305791	1
chr2_q	C12	EUR	0	65	22	378	22	0	0	0	0	1.0960075286144	1	0.0564845942136091	1
chr7_p	C3	EAS	0	104	17	344	17	0	0	0	0	0.819723327502064	1	0.0173113600168204	1
chr6_p	C5	EAS	0	104	13	348	13	0	0	0	0	1.12161033728583	1	0.0826730185564488	1
chr8_p	C11	AMR	0	88	10	367	10	0	0	0	0	1.90249650206765	1	0.220348978968292	1
chr8_p	C11	EUR	0	65	10	390	10	0	0	0	0	2.75155887009909	1	0.370351858826253	1
chr8_p	C11	SAS	0	74	10	381	10	0	0	0	0	2.35527729552753	1	0.375823123341713	1
chr1_p	C11	EAS	0	104	5	356	5	0	0	0	0	3.79500917631189	1	0.591778667369556	1
chr1_p	C11	EUR	0	65	5	395	5	0	0	0	0	6.77478447630361	1	1	1
chr6_q	C11	EAS	0	104	5	356	5	0	0	0	0	3.79500917631189	1	0.591778667369556	1
chr6_q	C11	SAS	0	74	5	386	5	0	0	0	0	5.80434340150451	1	1	1
chr5_q	C11	AFR	0	134	3	328	3	0	0	0	0	5.98674806655108	1	0.560442127922313	1
chr5_q	C11	EAS	0	104	3	358	3	0	0	0	0	8.42896877236242	1	1	1
chr5_q	C11	SAS	0	74	3	388	3	0	0	0	0	12.868384876762	1	1	1
chr20_p	C12	AFR	0	134	2	329	2	0	0	0	0	13.1735711642844	1	1	1
chr20_p	C12	AMR	0	88	2	375	2	0	0	0	0	22.887505223264	1	1	1
chr20_p	C12	EAS	0	104	2	359	2	0	0	0	0	18.5281207739639	1	1	1
chrX_q	C14	AFR	0	134	1	330	1	0	0	0	0	96.1925303666704	1	1	1
chrX_q	C14	AMR	0	88	1	376	1	0	0	0	0	166.647097420313	1	1	1
chrX_q	C14	EUR	0	65	1	399	1	0	0	0	0	239.10708448139	1	1	1
chrX_q	C14	SAS	0	74	1	390	1	0	0	0	0	205.409398727683	1	1	1
