view	view_label	query_arm	n_segments	covered_bp_binned	interchromosomal_bp_binned	rank2plus_present_bp_binned	multi_target_bp_binned	old_n1_target_absent_bp_binned	target_arms	target_hap_arms	added_target_arms_vs_old
old_bed_n1	old BED first-best	chr1p	3	500000	0	0	0	0	chr1p	PAN010#1:chr1p,PAN010#2:chr1p	
old_bed_n1	old BED first-best	chr1q	1	500000	0	0	0	0	chr1q	PAN010#2:chr1q	
old_bed_n1	old BED first-best	chr2p	3	500000	0	0	0	0	chr2p	PAN010#1:chr2p,PAN010#2:chr2p	
old_bed_n1	old BED first-best	chr2q	2	500000	0	0	0	0	chr2q	PAN010#1:chr2q,PAN010#2:chr2q	
old_bed_n1	old BED first-best	chr3p	1	500000	0	0	0	0	chr3p	PAN010#1:chr3p	
old_bed_n1	old BED first-best	chr3q	15	500000	6000	0	4000	0	chr3q,chr9q	PAN010#1:chr3q,PAN010#2:chr3q,PAN010#2:chr9q	
old_bed_n1	old BED first-best	chr4p	1	500000	0	0	0	0	chr4p	PAN010#2:chr4p	
old_bed_n1	old BED first-best	chr4q	3	500000	0	0	0	0	chr4q	PAN010#1:chr4q,PAN010#2:chr4q	
old_bed_n1	old BED first-best	chr5p	1	500000	0	0	0	0	chr5p	PAN010#2:chr5p	
old_bed_n1	old BED first-best	chr5q	4	500000	0	0	0	0	chr5q	PAN010#1:chr5q,PAN010#2:chr5q	
old_bed_n1	old BED first-best	chr6p	1	500000	0	0	0	0	chr6p	PAN010#2:chr6p	
old_bed_n1	old BED first-best	chr6q	9	500000	0	0	0	0	chr6q	PAN010#1:chr6q,PAN010#2:chr6q	
old_bed_n1	old BED first-best	chr7p	3	500000	0	0	0	0	chr7p	PAN010#1:chr7p,PAN010#2:chr7p	
old_bed_n1	old BED first-best	chr7q	1	500000	0	0	0	0	chr7q	PAN010#1:chr7q	
old_bed_n1	old BED first-best	chr8p	2	500000	0	0	0	0	chr8p	PAN010#1:chr8p,PAN010#2:chr8p	
old_bed_n1	old BED first-best	chr8q	1	500000	0	0	0	0	chr8q	PAN010#2:chr8q	
old_bed_n1	old BED first-best	chr9p	3	500000	0	0	0	0	chr9p	PAN010#1:chr9p,PAN010#2:chr9p	
old_bed_n1	old BED first-best	chr9q	8	500000	1000	0	1000	0	chr9q,chr15q	PAN010#1:chr9q,PAN010#2:chr9q,PAN010#1:chr15q	
old_bed_n1	old BED first-best	chr10p	1	500000	0	0	0	0	chr10p	PAN010#2:chr10p	
old_bed_n1	old BED first-best	chr10q	5	500000	0	0	0	0	chr10q	PAN010#1:chr10q,PAN010#2:chr10q	
old_bed_n1	old BED first-best	chr11p	1	500000	0	0	0	0	chr11p	PAN010#2:chr11p	
old_bed_n1	old BED first-best	chr11q	1	500000	0	0	0	0	chr11q	PAN010#2:chr11q	
old_bed_n1	old BED first-best	chr12p	1	500000	0	0	0	0	chr12p	PAN010#1:chr12p	
old_bed_n1	old BED first-best	chr12q	1	500000	0	0	0	0	chr12q	PAN010#1:chr12q	
old_bed_n1	old BED first-best	chr13p	164	500000	299000	0	161000	0	chr13p,chr15p,chr21p,chr22p	PAN010#1:chr13p,PAN010#2:chr13p,PAN010#1:chr15p,PAN010#1:chr21p,PAN010#2:chr22p	
