Name	Sample	Haplotype	Chromosome	Arm	ChromArm	Superpopulation	D1	D2	D3	D4	D5	nearest_same_superpop_name	nearest_same_superpop_distance_d1_d2	nearest_same_superpop_sample	nearest_same_superpop_chromarm
HG01884#1#CM086402.1:248292784-248307783_chr1_qarm	HG01884	1	chr1	q	chr1_q	AFR	0.5109728558133566	0.16967179391475165	0.1786701310677668	-0.05548165035670686	-0.08549428040351831	HG03369#2#JBIREC010000035.1:103671913-103686912_chr1_qarm	4.941794346940243e-4	HG03369	chr1_q
HG01884#1#CM086402.1:8351-298351_chr1_parm	HG01884	1	chr1	p	chr1_p	AFR	-0.28193094676055847	0.28532007732728926	-0.0908291947124791	0.16965610181488933	-0.02857637472492455	HG03041#1#CM088710.1:11049-311049_chr1_parm	0.0013306060121216394	HG03041	chr1_p
HG01884#1#CM086403.1:241901590-242021589_chr2_qarm	HG01884	1	chr2	q	chr2_q	AFR	0.0025891856972006713	0.16080844274853448	0.021960727909779557	-0.0766772120488715	0.22981903336624243	NA19159#1#CM099940.1:241633258-241753257_chr2_qarm	6.956898749840547e-5	NA19159	chr2_q
HG01884#1#CM086404.1:201470764-201715763_chr3_qarm	HG01884	1	chr3	q	chr3_q	AFR	-0.3951960827252137	0.09661086523919978	0.07781223523454314	-0.10409989167048563	-0.12042004778183983	HG02886#1#JAHAOU020000010.1:106390111-106635110_chr3_qarm	9.991057523231656e-5	HG02886	chr3_q
HG01884#1#CM086405.1:183325252-183515251_chr5_qarm	HG01884	1	chr5	q	chr5_q	AFR	-0.24841880070987557	0.3809820305116059	-0.03807646639501827	0.22205819387084952	-0.06230009863300053	HG01891#1#JAGYVO020000057.1:129943233-130133232_chr5_qarm	1.778151520482594e-4	HG01891	chr5_q
HG01884#1#CM086406.1:160645903-160650902_chr7_qarm	HG01884	1	chr7	q	chr7_q	AFR	0.12081154434688338	-0.1220299057469191	-0.10755046909959505	0.08228626248293981	0.059362853066468144	HG02258#1#CM085827.1:161609455-161614454_chr7_qarm	2.618455766672135e-16	HG02258	chr7_q
HG01884#1#CM086406.1:3332-178332_chr7_parm	HG01884	1	chr7	p	chr7_p	AFR	-0.22291592146506922	0.22985575665803684	-0.03202539258111164	-0.3081899552894222	0.27496407069763756	HG03225#1#CM089302.1:3276-178276_chr7_parm	1.9851751637570388e-5	HG03225	chr7_p
HG01884#1#CM086407.1:6781-181781_chr8_parm	HG01884	1	chr8	p	chr8_p	AFR	-0.21058410885486975	0.30705677255466957	-0.05518268552456603	0.31748219220836654	-0.09024839825297994	HG02647#2#CM086574.1:12689-187689_chr8_parm	8.314136036264361e-5	HG02647	chr8_p
HG01884#1#CM086408.1:138317050-138627049_chr9_qarm	HG01884	1	chr9	q	chr9_q	AFR	-0.3104167873607474	0.27237992614310463	-0.19807322236012334	-0.06676204696765507	-0.13326215442368072	HG02615#2#CM086696.1:136815952-137125951_chr9_qarm	5.763733493645262e-5	HG02615	chr9_q
HG01884#1#CM086408.1:5216-45216_chr9_parm	HG01884	1	chr9	p	chr9_p	AFR	-0.11229341902085208	-0.4191218101180991	0.3355930596188788	0.04119895681085439	-0.06784438036395367	HG02486#1#CM088198.1:11286-51286_chr9_parm	8.074765070806244e-6	HG02486	chr9_p
HG01884#1#CM086409.1:134209953-134314952_chr10_qarm	HG01884	1	chr10	q	chr10_q	AFR	0.22097924539532568	-0.021673871587221925	-0.0737987302769602	0.027854697035473185	0.10241873256772248	HG03521#1#CM094413.1:193439461-193544460_chr4_qarm	3.354093998593112e-4	HG03521	chr4_q
HG01884#1#CM086409.1:3572-73572_chr10_parm	HG01884	1	chr10	p	chr10_p	AFR	0.026725723702237133	-0.20572396198206885	-0.405369915233911	-0.266483227874624	-0.3791796077086896	NA19240#1#CM099581.1:11514-81514_chr10_parm	1.667382084008014e-5	NA19240	chr10_p
HG01884#1#CM086410.1:3923-208923_chr11_parm	HG01884	1	chr11	p	chr11_p	AFR	-0.36870719246583067	0.06691620902711067	0.13721667755714098	-0.208762065670278	0.0979044988654562	HG01884#2#CM086426.1:6568-211568_chr11_parm	1.4284230690855376e-5	HG01884	chr11_p
HG01884#1#CM086411.1:133135989-133160988_chr12_qarm	HG01884	1	chr12	q	chr12_q	AFR	0.1141771614660989	-0.19006917307151622	-0.1959928959173625	0.16440538814440894	0.17479078755754973	NA20129#2#CM092126.1:134901643-134926642_chr12_qarm	2.1788280295137396e-6	NA20129	chr12_q
HG01884#1#CM086411.1:1850-71850_chr12_parm	HG01884	1	chr12	p	chr12_p	AFR	-0.11525586071851338	-0.4509257182657469	0.3633881937488958	0.038434196078914434	-0.05042839915424467	HG03225#1#CM089306.1:5868-75868_chr12_parm	1.0178732566852042e-4	HG03225	chr12_p
HG01884#1#CM086412.1:6153-51153_chr17_parm	HG01884	1	chr17	p	chr17_p	AFR	0.026106465906806736	-0.11331625155809108	-0.1474433847562768	-0.02446264322698695	0.11042433394860977	HG03521#1#CM094419.1:6572-46572_chr17_parm	0.0011102633316388538	HG03521	chr17_p
HG01884#1#CM086412.1:83808882-83853881_chr17_qarm	HG01884	1	chr17	q	chr17_q	AFR	0.2584565436890086	0.20329036870965997	0.03083613816132667	0.13966790575295757	-0.03566980979172313	HG02055#1#JAHEPK020000001.1:58993165-59038164_chr17_qarm	2.9309850328401423e-4	HG02055	chr17_q
HG01884#1#CM086413.1:5995-110995_chr18_parm	HG01884	1	chr18	p	chr18_p	AFR	0.03110214470682714	-0.19176374109120628	-0.40248701837335327	-0.277822970867518	-0.35951738275575085	HG03139#2#CM091848.1:11177-116177_chr18_parm	1.9423936919705713e-6	HG03139	chr18_p
HG01884#1#CM086414.1:3261-208261_chr19_parm	HG01884	1	chr19	p	chr19_p	AFR	-0.37658029929080766	0.11890461919196575	0.16955903859952148	-0.004993135986377755	-0.11898291738739	NA20346#1#CM094257.1:4402-209402_chr19_parm	4.6795162587249404e-5	NA20346	chr19_p
HG01884#1#CM086414.1:62120343-62140342_chr19_qarm	HG01884	1	chr19	q	chr19_q	AFR	0.5075661799775921	0.18827519101077522	0.16815548857792456	-0.07208922812827998	-0.06509754393592464	HG02486#1#CM088203.1:61220210-61240209_chr19_qarm	2.9504581591051765e-16	HG02486	chr19_q
