seq_a	seq_b	chr_a	arm_a	chr_b	arm_b	size_a	size_b	jaccard	hic_contact_raw	hic_contact_norm	hic_bins
CHM13#0#chr10:134574995-134754994_chr10_qarm	CHM13#0#chr11:1736-236736_chr11_parm	chr10	chr10_q	chr11	chr11_p	179999	235000	0.006556	0.000549645895522262	2.74822947761131e-05	20
CHM13#0#chr10:134574995-134754994_chr10_qarm	CHM13#0#chr12:133297274-133322273_chr12_qarm	chr10	chr10_q	chr12	chr12_q	179999	24999	0.005799	0.00035381164502606445	8.845291125651611e-05	4
CHM13#0#chr10:134574995-134754994_chr10_qarm	CHM13#0#chr12:2783-72783_chr12_parm	chr10	chr10_q	chr12	chr12_p	179999	70000	0.002715	0.0	0.0	8
CHM13#0#chr10:134574995-134754994_chr10_qarm	CHM13#0#chr13:2544-502544_chr13_parm	chr10	chr10_q	chr13	chr13_p	179999	500000	0.0	4.806727951657237e-05	6.008409939571546e-06	8
CHM13#0#chr10:134574995-134754994_chr10_qarm	CHM13#0#chr14:2075-502075_chr14_parm	chr10	chr10_q	chr14	chr14_p	179999	500000	0.0	0.0002334573691546267	1.1672868457731335e-05	20
CHM13#0#chr10:134574995-134754994_chr10_qarm	CHM13#0#chr15:3258-503258_chr15_parm	chr10	chr10_q	chr15	chr15_p	179999	500000	0.005279	0.00678896560317161	0.00015429467279935477	44
CHM13#0#chr10:134574995-134754994_chr10_qarm	CHM13#0#chr15:99625359-99750358_chr15_qarm	chr10	chr10_q	chr15	chr15_q	179999	124999	0.002435	0.0002283784844883789	1.9031540374031574e-05	12
CHM13#0#chr10:134574995-134754994_chr10_qarm	CHM13#0#chr16:2168-27168_chr16_parm	chr10	chr10_q	chr16	chr16_p	179999	25000	0.003299	0.00038259284985952294	9.564821246488073e-05	4
CHM13#0#chr10:134574995-134754994_chr10_qarm	CHM13#0#chr16:96172817-96327816_chr16_qarm	chr10	chr10_q	chr16	chr16_q	179999	154999	0.059205	0.009379346079663708	0.0005862091299789818	16
CHM13#0#chr10:134574995-134754994_chr10_qarm	CHM13#0#chr17:1679-46679_chr17_parm	chr10	chr10_q	chr17	chr17_p	179999	45000	0.003738	0.00012447958008557708	3.111989502139427e-05	4
CHM13#0#chr10:134574995-134754994_chr10_qarm	CHM13#0#chr17:84229104-84274103_chr17_qarm	chr10	chr10_q	chr17	chr17_q	179999	44999	0.08197	0.007053487106384044	0.0008816858882980055	8
CHM13#0#chr10:134574995-134754994_chr10_qarm	CHM13#0#chr18:2017-267017_chr18_parm	chr10	chr10_q	chr18	chr18_p	179999	265000	0.016773	0.049100603934302656	0.0020458584972626107	24
CHM13#0#chr10:134574995-134754994_chr10_qarm	CHM13#0#chr19:1962-211962_chr19_parm	chr10	chr10_q	chr19	chr19_p	179999	210000	0.02743	0.002289322048473574	0.0001144661024236787	20
CHM13#0#chr10:134574995-134754994_chr10_qarm	CHM13#0#chr19:61684426-61704425_chr19_qarm	chr10	chr10_q	chr19	chr19_q	179999	19999	0.106746	0.0074565897269245705	0.0018641474317311426	4
CHM13#0#chr10:134574995-134754994_chr10_qarm	CHM13#0#chr1:248369277-248384276_chr1_qarm	chr10	chr10_q	chr1	chr1_q	179999	14999	0.078952	0.004452824780846757	0.0011132061952116893	4
CHM13#0#chr10:134574995-134754994_chr10_qarm	CHM13#0#chr1:2706-297706_chr1_parm	chr10	chr10_q	chr1	chr1_p	179999	295000	0.008799	0.0010064849932688775	4.193687471953656e-05	24
CHM13#0#chr10:134574995-134754994_chr10_qarm	CHM13#0#chr20:2698-102698_chr20_parm	chr10	chr10_q	chr20	chr20_p	179999	100000	0.047222	0.003521102747851347	0.0002934252289876123	12
CHM13#0#chr10:134574995-134754994_chr10_qarm	CHM13#0#chr20:66102369-66207368_chr20_qarm	chr10	chr10_q	chr20	chr20_q	179999	104999	0.011069	0.00027630279398787493	3.4537849248484366e-05	8
CHM13#0#chr10:134574995-134754994_chr10_qarm	CHM13#0#chr21:2505-502505_chr21_parm	chr10	chr10_q	chr21	chr21_p	179999	500000	0.005282	0.0033035023314983616	7.507959844314458e-05	44
CHM13#0#chr10:134574995-134754994_chr10_qarm	CHM13#0#chr21:45066333-45086332_chr21_qarm	chr10	chr10_q	chr21	chr21_q	179999	19999	0.102111	0.009501386866442736	0.002375346716610684	4
CHM13#0#chr10:134574995-134754994_chr10_qarm	CHM13#0#chr22:4138-504138_chr22_parm	chr10	chr10_q	chr22	chr22_p	179999	500000	0.005273	0.00408305984957281	0.00010207649623932024	40
CHM13#0#chr10:134574995-134754994_chr10_qarm	CHM13#0#chr22:51297197-51322196_chr22_qarm	chr10	chr10_q	chr22	chr22_q	179999	24999	0.111895	0.0008831656996829607	0.00022079142492074016	4
CHM13#0#chr10:134574995-134754994_chr10_qarm	CHM13#0#chr2:242574127-242694126_chr2_qarm	chr10	chr10_q	chr2	chr2_q	179999	119999	0.061996	0.006139098681823356	0.0005115915568186131	12
CHM13#0#chr10:134574995-134754994_chr10_qarm	CHM13#0#chr3:200846363-201101362_chr3_qarm	chr10	chr10_q	chr3	chr3_q	179999	254999	0.007775	0.00036768990210187295	1.532041258757804e-05	24
CHM13#0#chr10:134574995-134754994_chr10_qarm	CHM13#0#chr4:193392741-193572740_chr4_qarm	chr10	chr10_q	chr4	chr4_q	179999	179999	0.931507	1.081148460103561	0.06757177875647256	16
