seq_a	seq_b	chr_a	arm_a	chr_b	arm_b	size_a	size_b	jaccard	hic_contact_raw	hic_contact_norm	hic_bins
B6#1#chr10_parm:8494-1000000:1-990000	B6#1#chr11_parm:10588-1000000:1-105000	chr10	chr10_p	chr11	chr11_p	989999	104999	0.0253423	0.0030039935343091394	1.0013311781030464e-05	300
B6#1#chr10_parm:8494-1000000:1-990000	B6#1#chr11_qarm:131708645-132696509:940001-985000	chr10	chr10_p	chr11	chr11_q	989999	44999	0.0	0.0016755827912450858	1.1170551941633905e-05	150
B6#1#chr10_parm:8494-1000000:1-990000	B6#1#chr12_parm:8657-1000000:1-990000	chr10	chr10_p	chr12	chr12_p	989999	989999	0.93424	1.9833036258376393	0.0007933214503350557	2500
B6#1#chr10_parm:8494-1000000:1-990000	B6#1#chr13_parm:10860-1000000:1-985000	chr10	chr10_p	chr13	chr13_p	989999	984999	0.728281	1.0427872966969192	0.00041711491867876767	2500
B6#1#chr10_parm:8494-1000000:1-990000	B6#1#chr14_parm:13379-1000000:1-985000	chr10	chr10_p	chr14	chr14_p	989999	984999	0.879147	2.0418871998994623	0.0008167548799597849	2500
B6#1#chr10_parm:8494-1000000:1-990000	B6#1#chr15_parm:17595-1000000:1-980000	chr10	chr10_p	chr15	chr15_p	989999	979999	0.883587	1.8358713323612923	0.0007343485329445169	2500
B6#1#chr10_parm:8494-1000000:1-990000	B6#1#chr16_parm:1696-1000000:1-995000	chr10	chr10_p	chr16	chr16_p	989999	994999	0.812797	1.8254311744500376	0.000730172469780015	2500
B6#1#chr10_parm:8494-1000000:1-990000	B6#1#chr17_parm:8464-1000000:1-850000	chr10	chr10_p	chr17	chr17_p	989999	849999	0.787807	1.6265464206230011	0.0007565332188944192	2150
B6#1#chr10_parm:8494-1000000:1-990000	B6#1#chr18_parm:19167-1000000:1-35000	chr10	chr10_p	chr18	chr18_p	989999	34999	0.00599179	0.001468469387986206	9.789795919908039e-06	150
B6#1#chr10_parm:8494-1000000:1-990000	B6#1#chr19_parm:9560-1000000:1-990000	chr10	chr10_p	chr19	chr19_p	989999	989999	0.764489	1.667341634078664	0.0006669366536314656	2500
B6#1#chr10_parm:8494-1000000:1-990000	B6#1#chr19_qarm:66670322-67659854:945001-985000	chr10	chr10_p	chr19	chr19_q	989999	39999	0.0	0.0	0.0	150
B6#1#chr10_parm:8494-1000000:1-990000	B6#1#chr1_parm:16698-1000000:1-980000	chr10	chr10_p	chr1	chr1_p	989999	979999	0.882796	1.9585725242302754	0.0007834290096921102	2500
B6#1#chr10_parm:8494-1000000:1-990000	B6#1#chr2_parm:9287-1000000:1-990000	chr10	chr10_p	chr2	chr2_p	989999	989999	0.609746	1.1166976451771498	0.0004466790580708599	2500
B6#1#chr10_parm:8494-1000000:1-990000	B6#1#chr3_parm:5869-1000000:1-990000	chr10	chr10_p	chr3	chr3_p	989999	989999	0.893081	1.9197725260226637	0.0007679090104090654	2500
B6#1#chr10_parm:8494-1000000:1-990000	B6#1#chr4_parm:16557-1000000:1-15000	chr10	chr10_p	chr4	chr4_p	989999	14999	0.0104067	0.024208449243947775	0.00024208449243947775	100
B6#1#chr10_parm:8494-1000000:1-990000	B6#1#chr5_parm:26102-1000000:1-970000	chr10	chr10_p	chr5	chr5_p	989999	969999	0.723682	0.9429246482449857	0.0003848672033653003	2450
B6#1#chr10_parm:8494-1000000:1-990000	B6#1#chr6_parm:21150-1000000:1-975000	chr10	chr10_p	chr6	chr6_p	989999	974999	0.689722	1.5233520260311457	0.0006217763371555697	2450
B6#1#chr10_parm:8494-1000000:1-990000	B6#1#chr7_parm:8361-1000000:1-10000	chr10	chr10_p	chr7	chr7_p	989999	9999	0.0	0.0002788632617005309	5.577265234010618e-06	50
B6#1#chr10_parm:8494-1000000:1-990000	B6#1#chr8_parm:5823-1000000:1-990000	chr10	chr10_p	chr8	chr8_p	989999	989999	0.921463	1.9289769350220383	0.0007715907740088153	2500
B6#1#chr10_parm:8494-1000000:1-990000	B6#1#chr8_qarm:132128322-133120042:905001-990000	chr10	chr10_p	chr8	chr8_q	989999	84999	0.0	0.00014855988407595815	5.942395363038326e-07	250
B6#1#chr10_parm:8494-1000000:1-990000	B6#1#chr9_parm:13986-1000000:1-985000	chr10	chr10_p	chr9	chr9_p	989999	984999	0.798117	1.7986207939511156	0.0007194483175804462	2500
B6#1#chr10_parm:8494-1000000:1-990000	B6#1#chr9_qarm:139591383-140585766:965001-990000	chr10	chr10_p	chr9	chr9_q	989999	24999	0.00537255	0.04233920185864226	0.00028226134572428174	150
B6#1#chr10_parm:8494-1000000:1-990000	CAST#2#chr11_parm:12996-1000000:1-985000	chr10	chr10_p	chr11	chr11_p	989999	984999	0.592985	0.6454069593890548	0.0006454069593890548	1000
B6#1#chr10_parm:8494-1000000:1-990000	CAST#2#chr11_qarm:128137265-129126137:945001-985000	chr10	chr10_p	chr11	chr11_q	989999	39999	0.0	0.0024598291075398084	1.6398860716932055e-05	150
B6#1#chr10_parm:8494-1000000:1-990000	CAST#2#chr12_parm:11631-1000000:1-985000	chr10	chr10_p	chr12	chr12_p	989999	984999	0.666231	0.31132677291938576	0.00047896426602982427	650
B6#1#chr10_parm:8494-1000000:1-990000	CAST#2#chr13_parm:10968-1000000:1-985000	chr10	chr10_p	chr13	chr13_p	989999	984999	0.573996	0.20665721688205668	0.0005904491910915905	350
B6#1#chr10_parm:8494-1000000:1-990000	CAST#2#chr14_parm:7628-1000000:1-990000	chr10	chr10_p	chr14	chr14_p	989999	989999	0.693586	0.159302162987789	0.0005310072099592966	300
B6#1#chr10_parm:8494-1000000:1-990000	CAST#2#chr15_parm:11173-1000000:1-985000	chr10	chr10_p	chr15	chr15_p	989999	984999	0.655069	0.0692069185227327	0.0003460345926136635	200
B6#1#chr10_parm:8494-1000000:1-990000	CAST#2#chr16_parm:3490-1000000:1-995000	chr10	chr10_p	chr16	chr16_p	989999	994999	0.578906	0.25328003813590944	0.0006332000953397736	400
B6#1#chr10_parm:8494-1000000:1-990000	CAST#2#chr17_parm:7806-1000000:1-760000	chr10	chr10_p	chr17	chr17_p	989999	759999	0.608378	0.6110538121827505	0.0006110538121827505	1000
B6#1#chr10_parm:8494-1000000:1-990000	CAST#2#chr17_qarm:110525135-111518985:980001-990000	chr10	chr10_p	chr17	chr17_q	989999	9999	0.0	0.000437524978813655	8.7504995762731e-06	50
B6#1#chr10_parm:8494-1000000:1-990000	CAST#2#chr18_parm:13226-1000000:1-630000	chr10	chr10_p	chr18	chr18_p	989999	629999	0.460906	0.03305082778171416	0.00033050827781714155	100
B6#1#chr10_parm:8494-1000000:1-990000	CAST#2#chr19_parm:14156-1000000:1-740000	chr10	chr10_p	chr19	chr19_p	989999	739999	0.391087	0.34684853442420527	0.0005780808907070088	600
B6#1#chr10_parm:8494-1000000:1-990000	CAST#2#chr19_qarm:70075252-71067746:950001-990000	chr10	chr10_p	chr19	chr19_q	989999	39999	0.0	0.0015307182043272148	1.0204788028848099e-05	150
B6#1#chr10_parm:8494-1000000:1-990000	CAST#2#chr1_parm:5322-1000000:1-990000	chr10	chr10_p	chr1	chr1_p	989999	989999	0.566591	0.6801197376790536	0.0005914084675470031	1150
B6#1#chr10_parm:8494-1000000:1-990000	CAST#2#chr2_parm:15760-1000000:1-980000	chr10	chr10_p	chr2	chr2_p	989999	979999	0.571182	0.5257154387926546	0.0006184887515207701	850
B6#1#chr10_parm:8494-1000000:1-990000	CAST#2#chr3_parm:11948-1000000:1-985000	chr10	chr10_p	chr3	chr3_p	989999	984999	0.495049	0.17668888291226098	0.000504825379749317	350
B6#1#chr10_parm:8494-1000000:1-990000	CAST#2#chr4_parm:10930-1000000:1-675000	chr10	chr10_p	chr4	chr4_p	989999	674999	0.54777	0.06994330312092534	0.0004662886874728356	150
B6#1#chr10_parm:8494-1000000:1-990000	CAST#2#chr5_parm:9477-1000000:1-990000	chr10	chr10_p	chr5	chr5_p	989999	989999	0.637143	0.36416004966351145	0.0006069334161058524	600
