event_id	comparison_id	panel_label	source_layer	query_name	window_start	window_end	window_bp	expected_target_chroms	row_count	expected_row_count	row_multiplicity_per_query_bp	query_union_coverage_bp	expected_query_union_coverage_bp	chr3_query_union_coverage_bp	chr9_query_union_coverage_bp	other_query_union_coverage_bp	target_chrom_query_union_bp	target_sample_hap_row_count	status
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	raw_many_many_whole_genome	PAN027#2#chrX	0	500000	500000	chrX,chrY	390	309	4.0310	499994	495522	2111	5368	499994	chr1:6139;chr10:5965;chr11:247;chr12:7212;chr14:12631;chr15:7811;chr16:4686;chr18:231;chr19:273;chr2:4934;chr20:551;chr21:553;chr22:12252;chr3:2111;chr5:4500;chr7:574;chr8:9085;chr9:5368;chrX:489141;chrY:492471	PAN011:h1:chr11:1;PAN011:h1:chr12:6;PAN011:h1:chr14:8;PAN011:h1:chr15:4;PAN011:h1:chr16:3;PAN011:h1:chr18:1;PAN011:h1:chr19:1;PAN011:h1:chr2:1;PAN011:h1:chr20:1;PAN011:h1:chr21:1;PAN011:h1:chr22:1;PAN011:h1:chr3:1;PAN011:h1:chr8:1;PAN011:h1:chr9:1;PAN011:h1:chrX:144;PAN011:h2:chr1:1;PAN011:h2:chr10:2;PAN011:h2:chr11:1;PAN011:h2:chr12:15;PAN011:h2:chr14:1;PAN011:h2:chr15:3;PAN011:h2:chr16:3;PAN011:h2:chr20:1;PAN011:h2:chr21:1;PAN011:h2:chr22:5;PAN011:h2:chr3:2;PAN011:h2:chr5:1;PAN011:h2:chr7:1;PAN011:h2:chr8:13;PAN011:h2:chrY:165	OK
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	PAN027 chr9q -> chr3q	raw_many_many_whole_genome	PAN027#2#chr9	135704825	136204825	500000	chr3	646	39	11.7055	500000	261767	261767	500000	304442	chr1:221851;chr10:92228;chr11:207586;chr12:56774;chr13:12597;chr14:21344;chr15:137174;chr16:200729;chr17:16983;chr18:70829;chr19:194626;chr2:44094;chr20:123597;chr21:12597;chr22:25624;chr3:261767;chr4:28933;chr5:112653;chr6:106329;chr7:190263;chr8:80377;chr9:500000;chrX:21405;chrY:48018	PAN011:h1:chr1:37;PAN011:h1:chr10:15;PAN011:h1:chr11:17;PAN011:h1:chr12:14;PAN011:h1:chr14:17;PAN011:h1:chr15:12;PAN011:h1:chr16:20;PAN011:h1:chr17:7;PAN011:h1:chr18:17;PAN011:h1:chr19:13;PAN011:h1:chr2:7;PAN011:h1:chr20:31;PAN011:h1:chr21:3;PAN011:h1:chr22:18;PAN011:h1:chr3:20;PAN011:h1:chr4:10;PAN011:h1:chr5:9;PAN011:h1:chr6:7;PAN011:h1:chr7:17;PAN011:h1:chr8:10;PAN011:h1:chr9:22;PAN011:h1:chrX:7;PAN011:h2:chr1:47;PAN011:h2:chr10:15;PAN011:h2:chr11:11;PAN011:h2:chr12:14;PAN011:h2:chr13:3;PAN011:h2:chr14:13;PAN011:h2:chr15:14;PAN011:h2:chr16:16;PAN011:h2:chr17:5;PAN011:h2:chr18:18;PAN011:h2:chr19:6;PAN011:h2:chr2:7;PAN011:h2:chr20:24;PAN011:h2:chr21:3;PAN011:h2:chr22:12;PAN011:h2:chr3:19;PAN011:h2:chr4:11;PAN011:h2:chr5:7;PAN011:h2:chr6:9;PAN011:h2:chr7:27;PAN011:h2:chr8:11;PAN011:h2:chr9:5;PAN011:h2:chrY:19	OK
PAN028_chr9q_chr3q_PHR_candidate	PAN028mat_vs_PAN027_joint	PAN028 chr9q -> chr3q	raw_many_many_whole_genome	PAN028#1#chr9	134380985	134880985	500000	chr3	633	36	11.3312	500000	261731	261731	500000	306168	chr1:149410;chr10:92164;chr11:184988;chr12:57531;chr13:9993;chr14:21314;chr15:131836;chr16:293895;chr17:17332;chr18:68373;chr19:137849;chr2:44927;chr20:121289;chr21:20193;chr22:25611;chr3:261731;chr4:21696;chr5:112468;chr6:76549;chr7:112741;chr8:79463;chr9:500000;chrX:21996	PAN027:h1:chr1:39;PAN027:h1:chr10:14;PAN027:h1:chr11:16;PAN027:h1:chr12:15;PAN027:h1:chr13:2;PAN027:h1:chr14:9;PAN027:h1:chr15:13;PAN027:h1:chr16:28;PAN027:h1:chr17:5;PAN027:h1:chr18:17;PAN027:h1:chr19:13;PAN027:h1:chr2:8;PAN027:h1:chr20:17;PAN027:h1:chr21:8;PAN027:h1:chr22:19;PAN027:h1:chr3:18;PAN027:h1:chr4:9;PAN027:h1:chr5:10;PAN027:h1:chr6:9;PAN027:h1:chr7:16;PAN027:h1:chr8:9;PAN027:h1:chr9:20;PAN027:h1:chrX:7;PAN027:h2:chr1:42;PAN027:h2:chr10:15;PAN027:h2:chr11:16;PAN027:h2:chr12:16;PAN027:h2:chr13:2;PAN027:h2:chr14:15;PAN027:h2:chr15:11;PAN027:h2:chr16:15;PAN027:h2:chr17:7;PAN027:h2:chr18:17;PAN027:h2:chr19:9;PAN027:h2:chr2:7;PAN027:h2:chr20:28;PAN027:h2:chr21:2;PAN027:h2:chr22:13;PAN027:h2:chr3:18;PAN027:h2:chr4:11;PAN027:h2:chr5:7;PAN027:h2:chr6:7;PAN027:h2:chr7:17;PAN027:h2:chr8:10;PAN027:h2:chr9:21;PAN027:h2:chrX:6	OK
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	chopped_many_many	PAN027#2#chrX	0	500000	500000	chrX,chrY	476	382	4.0310	499994	495522	2111	5368	499994	chr1:6139;chr10:5965;chr11:247;chr12:7212;chr14:12631;chr15:7811;chr16:4686;chr18:231;chr19:273;chr2:4934;chr20:551;chr21:553;chr22:12252;chr3:2111;chr5:4500;chr7:574;chr8:9085;chr9:5368;chrX:489141;chrY:492471	PAN011:h1:chr11:1;PAN011:h1:chr12:6;PAN011:h1:chr14:15;PAN011:h1:chr15:4;PAN011:h1:chr16:3;PAN011:h1:chr18:1;PAN011:h1:chr19:1;PAN011:h1:chr2:1;PAN011:h1:chr20:1;PAN011:h1:chr21:1;PAN011:h1:chr22:2;PAN011:h1:chr3:1;PAN011:h1:chr8:1;PAN011:h1:chr9:1;PAN011:h1:chrX:182;PAN011:h2:chr1:1;PAN011:h2:chr10:2;PAN011:h2:chr11:1;PAN011:h2:chr12:15;PAN011:h2:chr14:1;PAN011:h2:chr15:3;PAN011:h2:chr16:3;PAN011:h2:chr20:1;PAN011:h2:chr21:1;PAN011:h2:chr22:10;PAN011:h2:chr3:2;PAN011:h2:chr5:1;PAN011:h2:chr7:1;PAN011:h2:chr8:13;PAN011:h2:chrY:200	OK
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	PAN027 chr9q -> chr3q	chopped_many_many	PAN027#2#chr9	135704825	136204825	500000	chr3	1007	79	11.7055	500000	261767	261767	500000	304442	chr1:221851;chr10:92228;chr11:207586;chr12:56774;chr13:12597;chr14:21344;chr15:137174;chr16:200729;chr17:16983;chr18:70829;chr19:194626;chr2:44094;chr20:123597;chr21:12597;chr22:25624;chr3:261767;chr4:28933;chr5:112653;chr6:106329;chr7:190263;chr8:80377;chr9:500000;chrX:21405;chrY:48018	PAN011:h1:chr1:59;PAN011:h1:chr10:19;PAN011:h1:chr11:31;PAN011:h1:chr12:16;PAN011:h1:chr14:17;PAN011:h1:chr15:21;PAN011:h1:chr16:35;PAN011:h1:chr17:7;PAN011:h1:chr18:19;PAN011:h1:chr19:26;PAN011:h1:chr2:9;PAN011:h1:chr20:40;PAN011:h1:chr21:3;PAN011:h1:chr22:18;PAN011:h1:chr3:40;PAN011:h1:chr4:10;PAN011:h1:chr5:17;PAN011:h1:chr6:16;PAN011:h1:chr7:26;PAN011:h1:chr8:14;PAN011:h1:chr9:58;PAN011:h1:chrX:7;PAN011:h2:chr1:61;PAN011:h2:chr10:19;PAN011:h2:chr11:20;PAN011:h2:chr12:16;PAN011:h2:chr13:3;PAN011:h2:chr14:13;PAN011:h2:chr15:23;PAN011:h2:chr16:24;PAN011:h2:chr17:5;PAN011:h2:chr18:20;PAN011:h2:chr19:24;PAN011:h2:chr2:9;PAN011:h2:chr20:31;PAN011:h2:chr21:3;PAN011:h2:chr22:12;PAN011:h2:chr3:39;PAN011:h2:chr4:11;PAN011:h2:chr5:14;PAN011:h2:chr6:18;PAN011:h2:chr7:42;PAN011:h2:chr8:15;PAN011:h2:chr9:58;PAN011:h2:chrY:19	OK
PAN028_chr9q_chr3q_PHR_candidate	PAN028mat_vs_PAN027_joint	PAN028 chr9q -> chr3q	chopped_many_many	PAN028#1#chr9	134380985	134880985	500000	chr3	983	77	11.3312	500000	261731	261731	500000	306168	chr1:149410;chr10:92164;chr11:184988;chr12:57531;chr13:9993;chr14:21314;chr15:131836;chr16:293895;chr17:17332;chr18:68373;chr19:137849;chr2:44927;chr20:121289;chr21:20193;chr22:25611;chr3:261731;chr4:21696;chr5:112468;chr6:76549;chr7:112741;chr8:79463;chr9:500000;chrX:21996	PAN027:h1:chr1:52;PAN027:h1:chr10:18;PAN027:h1:chr11:21;PAN027:h1:chr12:17;PAN027:h1:chr13:2;PAN027:h1:chr14:9;PAN027:h1:chr15:22;PAN027:h1:chr16:66;PAN027:h1:chr17:5;PAN027:h1:chr18:19;PAN027:h1:chr19:24;PAN027:h1:chr2:10;PAN027:h1:chr20:23;PAN027:h1:chr21:8;PAN027:h1:chr22:19;PAN027:h1:chr3:39;PAN027:h1:chr4:9;PAN027:h1:chr5:18;PAN027:h1:chr6:19;PAN027:h1:chr7:25;PAN027:h1:chr8:13;PAN027:h1:chr9:61;PAN027:h1:chrX:7;PAN027:h2:chr1:55;PAN027:h2:chr10:19;PAN027:h2:chr11:28;PAN027:h2:chr12:18;PAN027:h2:chr13:2;PAN027:h2:chr14:15;PAN027:h2:chr15:20;PAN027:h2:chr16:23;PAN027:h2:chr17:7;PAN027:h2:chr18:19;PAN027:h2:chr19:21;PAN027:h2:chr2:9;PAN027:h2:chr20:34;PAN027:h2:chr21:2;PAN027:h2:chr22:13;PAN027:h2:chr3:38;PAN027:h2:chr4:11;PAN027:h2:chr5:14;PAN027:h2:chr6:15;PAN027:h2:chr7:26;PAN027:h2:chr8:14;PAN027:h2:chr9:67;PAN027:h2:chrX:7	OK
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	chopped_four_many	PAN027#2#chrX	0	500000	500000	chrX,chrY	229	211	2.3374	499994	493566	553	0	499994	chr11:247;chr12:6574;chr14:10000;chr15:3764;chr16:4204;chr18:231;chr19:273;chr22:10000;chr3:553;chrX:481081;chrY:490515	PAN011:h1:chr11:1;PAN011:h1:chr12:3;PAN011:h1:chr14:2;PAN011:h1:chr15:3;PAN011:h1:chr16:1;PAN011:h1:chr18:1;PAN011:h1:chr19:1;PAN011:h1:chr3:1;PAN011:h1:chrX:111;PAN011:h2:chr11:1;PAN011:h2:chr15:1;PAN011:h2:chr16:1;PAN011:h2:chr22:1;PAN011:h2:chr3:1;PAN011:h2:chrY:100	OK
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	PAN027 chr9q -> chr3q	chopped_four_many	PAN027#2#chr9	135704825	136204825	500000	chr3	172	27	3.1435	500000	184498	184498	495071	275504	chr1:109962;chr10:29520;chr11:29981;chr15:4545;chr16:75575;chr18:19262;chr19:130000;chr3:184498;chr5:10000;chr6:10000;chr7:49812;chr8:10795;chr9:495071	PAN011:h1:chr1:11;PAN011:h1:chr10:3;PAN011:h1:chr11:3;PAN011:h1:chr16:4;PAN011:h1:chr18:3;PAN011:h1:chr3:11;PAN011:h1:chr6:1;PAN011:h1:chr7:4;PAN011:h1:chr8:3;PAN011:h1:chr9:31;PAN011:h2:chr1:2;PAN011:h2:chr10:2;PAN011:h2:chr15:1;PAN011:h2:chr16:7;PAN011:h2:chr18:2;PAN011:h2:chr19:13;PAN011:h2:chr3:16;PAN011:h2:chr5:1;PAN011:h2:chr7:1;PAN011:h2:chr8:2;PAN011:h2:chr9:51	OK
PAN028_chr9q_chr3q_PHR_candidate	PAN028mat_vs_PAN027_joint	PAN028 chr9q -> chr3q	chopped_four_many	PAN028#1#chr9	134380985	134880985	500000	chr3	171	33	3.0202	500000	202804	202804	487924	298481	chr1:20097;chr10:22079;chr11:20000;chr15:10000;chr16:245312;chr18:20520;chr19:6929;chr2:1079;chr3:202804;chr5:10000;chr6:10000;chr7:6041;chr8:10791;chr9:487924;chrX:7558	PAN027:h1:chr1:2;PAN027:h1:chr10:1;PAN027:h1:chr16:24;PAN027:h1:chr18:1;PAN027:h1:chr2:1;PAN027:h1:chr3:19;PAN027:h1:chr6:1;PAN027:h1:chr8:2;PAN027:h1:chr9:35;PAN027:h1:chrX:1;PAN027:h2:chr1:1;PAN027:h2:chr10:2;PAN027:h2:chr11:2;PAN027:h2:chr15:1;PAN027:h2:chr16:4;PAN027:h2:chr18:4;PAN027:h2:chr19:1;PAN027:h2:chr3:14;PAN027:h2:chr5:1;PAN027:h2:chr7:1;PAN027:h2:chr8:2;PAN027:h2:chr9:51	OK
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	chopped_one_one	PAN027#2#chrX	0	500000	500000	chrX,chrY	51	50	1.0117	499994	493566	0	0	499994	chr14:10000;chrX:345932;chrY:149927	PAN011:h1:chr14:1;PAN011:h1:chrX:35;PAN011:h2:chrY:15	OK
