seq_a	seq_b	chr_a	arm_a	chr_b	arm_b	size_a	size_b	jaccard	hic_contact_raw	hic_contact_norm	hic_bins
B6#1#chr10_parm:8494-1000000:1-990000	B6#1#chr11_parm:10588-1000000:1-105000	chr10	chr10_p	chr11	chr11_p	989999	104999	0.0253423	0.0007783334070863523	1.2972223451439205e-05	60
B6#1#chr10_parm:8494-1000000:1-990000	B6#1#chr11_qarm:131708645-132696509:940001-985000	chr10	chr10_p	chr11	chr11_q	989999	44999	0.0	0.0008505100958592325	2.1262752396480813e-05	40
B6#1#chr10_parm:8494-1000000:1-990000	B6#1#chr12_parm:8657-1000000:1-990000	chr10	chr10_p	chr12	chr12_p	989999	989999	0.93424	1.122229530233417	0.002805573825583543	400
B6#1#chr10_parm:8494-1000000:1-990000	B6#1#chr13_parm:10860-1000000:1-985000	chr10	chr10_p	chr13	chr13_p	989999	984999	0.728281	0.5255415179716066	0.0013138537949290165	400
B6#1#chr10_parm:8494-1000000:1-990000	B6#1#chr14_parm:13379-1000000:1-985000	chr10	chr10_p	chr14	chr14_p	989999	984999	0.879147	1.13085096220897	0.002827127405522425	400
B6#1#chr10_parm:8494-1000000:1-990000	B6#1#chr15_parm:17595-1000000:1-980000	chr10	chr10_p	chr15	chr15_p	989999	979999	0.883587	1.0054830420320262	0.0025137076050800655	400
B6#1#chr10_parm:8494-1000000:1-990000	B6#1#chr16_parm:1696-1000000:1-995000	chr10	chr10_p	chr16	chr16_p	989999	994999	0.812797	0.9991845050805461	0.0024979612627013654	400
B6#1#chr10_parm:8494-1000000:1-990000	B6#1#chr17_parm:8464-1000000:1-850000	chr10	chr10_p	chr17	chr17_p	989999	849999	0.787807	0.8890702306307355	0.002469639529529821	360
B6#1#chr10_parm:8494-1000000:1-990000	B6#1#chr18_parm:19167-1000000:1-35000	chr10	chr10_p	chr18	chr18_p	989999	34999	0.00599179	0.0003896198097287093	9.740495243217732e-06	40
B6#1#chr10_parm:8494-1000000:1-990000	B6#1#chr19_parm:9560-1000000:1-990000	chr10	chr10_p	chr19	chr19_p	989999	989999	0.764489	0.917690873937216	0.00229422718484304	400
B6#1#chr10_parm:8494-1000000:1-990000	B6#1#chr19_qarm:66670322-67659854:945001-985000	chr10	chr10_p	chr19	chr19_q	989999	39999	0.0	0.0	0.0	20
B6#1#chr10_parm:8494-1000000:1-990000	B6#1#chr1_parm:16698-1000000:1-980000	chr10	chr10_p	chr1	chr1_p	989999	979999	0.882796	1.0776093757359895	0.0026940234393399735	400
B6#1#chr10_parm:8494-1000000:1-990000	B6#1#chr2_parm:9287-1000000:1-990000	chr10	chr10_p	chr2	chr2_p	989999	989999	0.609746	0.5316220140764509	0.0013290550351911273	400
B6#1#chr10_parm:8494-1000000:1-990000	B6#1#chr3_parm:5869-1000000:1-990000	chr10	chr10_p	chr3	chr3_p	989999	989999	0.893081	1.0884955390395463	0.0027212388475988656	400
B6#1#chr10_parm:8494-1000000:1-990000	B6#1#chr4_parm:16557-1000000:1-15000	chr10	chr10_p	chr4	chr4_p	989999	14999	0.0104067	0.008665023528796018	0.0004332511764398009	20
B6#1#chr10_parm:8494-1000000:1-990000	B6#1#chr5_parm:26102-1000000:1-970000	chr10	chr10_p	chr5	chr5_p	989999	969999	0.723682	0.44581067263667246	0.0011145266815916811	400
B6#1#chr10_parm:8494-1000000:1-990000	B6#1#chr6_parm:21150-1000000:1-975000	chr10	chr10_p	chr6	chr6_p	989999	974999	0.689722	0.8545035826688329	0.002136258956672082	400
B6#1#chr10_parm:8494-1000000:1-990000	B6#1#chr7_parm:8361-1000000:1-10000	chr10	chr10_p	chr7	chr7_p	989999	9999	0.0	9.26361699378763e-05	4.631808496893815e-06	20
B6#1#chr10_parm:8494-1000000:1-990000	B6#1#chr8_parm:5823-1000000:1-990000	chr10	chr10_p	chr8	chr8_p	989999	989999	0.921463	1.1299911153082647	0.0028249777882706616	400
B6#1#chr10_parm:8494-1000000:1-990000	B6#1#chr8_qarm:132128322-133120042:905001-990000	chr10	chr10_p	chr8	chr8_q	989999	84999	0.0	0.0002746463321108409	4.5774388685140156e-06	60
