gene_name,gene_type,functional_cluster,chromosome,arm,gene_start,gene_end,strand,phr_start,phr_end,phr_interval,leiden_community,sharing_pattern,brief_function
LOC101928626,lncRNA,snRNP,chr1,p,52979,54612,-,2706,297706,2706-297706,C11,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chr11,chr15,chr16,chr17,chr19,chr20",RNA splicing/spliceosome assembly
OR4F29,protein_coding,OR_actual,chr1,p,111940,112877,-,2706,297706,2706-297706,C11,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chr11,chr15,chr16,chr17,chr19,chr20",Olfactory receptor protein-coding
LINC01409,lncRNA,OR,chr1,p,205295,214212,+,2706,297706,2706-297706,C11,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chr11,chr15,chr16,chr17,chr19,chr20",Olfactory receptor activity (lncRNA with OR annotation)
MIR8078_18,miRNA,miRNA/silencing,chr10,q,134619926,134620009,+,134574995,134754994,134574995-134754994,C1,"chr1,chr2,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr16,chr17,chr18,chr19,chr20,chr21,chr22",microRNA
MIR8078_13,miRNA,miRNA/silencing,chr10,q,134623233,134623316,+,134574995,134754994,134574995-134754994,C1,"chr1,chr2,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr16,chr17,chr18,chr19,chr20,chr21,chr22",microRNA
MIR8078_19,miRNA,miRNA/silencing,chr10,q,134672880,134672963,+,134574995,134754994,134574995-134754994,C1,"chr1,chr2,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr16,chr17,chr18,chr19,chr20,chr21,chr22",microRNA
MIR8078_17,miRNA,miRNA/silencing,chr10,q,134692767,134692850,+,134574995,134754994,134574995-134754994,C1,"chr1,chr2,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr16,chr17,chr18,chr19,chr20,chr21,chr22",microRNA
MIR8078_15,miRNA,miRNA/silencing,chr10,q,134699389,134699472,+,134574995,134754994,134574995-134754994,C1,"chr1,chr2,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr16,chr17,chr18,chr19,chr20,chr21,chr22",microRNA
OR4G6P_1,pseudogene,OR_actual,chr11,p,44097,45040,+,1736,236736,1736-236736,C3,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chrY,chr11,chr12,chr15,chr16,chr17,chr19,chr20",Olfactory receptor pseudogene
OR4G11P,pseudogene,OR_actual,chr11,p,54949,55818,+,1736,236736,1736-236736,C3,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chrY,chr11,chr12,chr15,chr16,chr17,chr19,chr20",Olfactory receptor pseudogene
OR4F4_1,pseudogene,OR_actual,chr11,p,59531,60448,+,1736,236736,1736-236736,C3,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chrY,chr11,chr12,chr15,chr16,chr17,chr19,chr20",Olfactory receptor protein-coding
OR4F2P,pseudogene,OR_actual,chr11,p,113128,114065,-,1736,236736,1736-236736,C3,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chrY,chr11,chr12,chr15,chr16,chr17,chr19,chr20",Olfactory receptor pseudogene
LINC01001,lncRNA,OR,chr11,p,153293,165272,-,1736,236736,1736-236736,C3,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chrY,chr11,chr12,chr15,chr16,chr17,chr19,chr20",Olfactory receptor activity (lncRNA with OR annotation)
IL9RP3,pseudogene,miRNA/silencing,chr16,p,21851,30058,-,2168,27168,2168-27168,C9,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chrY,chr11,chr12,chr15,chr16,chr19,chr20",Interleukin-9 receptor family (pseudogene/protein)
LOC101929828_1,lncRNA,snRNP,chr16,q,96309529,96310799,+,96172817,96327816,96172817-96327816,C3,"chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr15,chr16,chr17,chr18,chr19,chr20,chr21,chr22",RNA splicing/spliceosome assembly
LOC101929650,lncRNA,snRNP,chr17,q,84166186,84240296,+,84229104,84274103,84229104-84274103,C6,"chr1,chr2,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr15,chr16,chr17,chr19,chr20,chr21,chr22",RNA splicing/spliceosome assembly
IL9RP4,pseudogene,miRNA/silencing,chr18,p,233505,242351,-,2017,267017,2017-267017,C2,"chr3,chr4,chr9,chr10,chr16,chr18",Interleukin-9 receptor family (pseudogene/protein)
