event_id	event_order	panel_label	pair	transmission	query_name	query_arm	query_sample	query_haplotype	query_haplotype_label	query_source_window_native_0based_half_open	native_query_chrom	native_query_start_0based	native_query_end_0based_exclusive	native_query_interval_0based_half_open	local_query_start_0based	local_query_end_0based_exclusive	segment_length_bp	target_name	target_arm	target_chrom	target_sample	target_haplotype	target_haplotype_label	target_color_key	target_source_window_native_0based_half_open	target_native_interval_0based_half_open_if_recovered	target_native_start_0based_if_recovered	target_native_end_0based_exclusive_if_recovered	strand	identity	jaccard	nb	interchromosomal	event_role	event_role_order	side_fragment_caveat	query_community	target_community	community_status	patch_pattern_annotation	overlaps_phr	has_phr	panel_geometry_source	geometry_source	target_coordinate_source	annotation_source
PAR1_XY_positive_control	1	PAR1 X/Y control	PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	PAN027#2#chrX.paternal:12265-512264_chrX_parm	chrXp	PAN027	2	paternal	chrX:12265-512265	chrX	12265	155863	chrX:12265-155863	0	143598	143598	PAN011#2#chrY.haplotype2:5839-505838_chrY_parm	chrYp	chrY	PAN011	PAN011#2	haplotype2	chrYp	chrY:5839-505839	5839-149448	5839	149448	+	100	1	1	1	PAR positive control	2	no	not_available	not_available	not_available	not_available	not_available	not_available	paper_prep/_brainstorming/fig5_synteny_recombination_schematic/selected_segments.tsv	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv (nb=1 plus sweepGA 1:1 no-scaffold)	/moosefs/erikg/phrs/pedigree_native_untangle_agent2556_sweepga_1to1_noscaffold/<pair>.e50000.m1000.j0.8.n4.native_nb1.sweepga_1to1_noscaffold.paf	not_joined_exactly_to_patches.tsv
PAR1_XY_positive_control	1	PAR1 X/Y control	PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	PAN027#2#chrX.paternal:12265-512264_chrX_parm	chrXp	PAN027	2	paternal	chrX:12265-512265	chrX	155863	201864	chrX:155863-201864	143598	189599	46001	PAN011#1#chrX.haplotype1:3251-503250_chrX_parm	chrXp	chrX	PAN011	PAN011#1	haplotype1	chrXp	chrX:3251-503251	114672-160675	114672	160675	+	100	1	1	0	same-chromosome context	1	no	not_available	not_available	not_available	not_available	not_available	not_available	paper_prep/_brainstorming/fig5_synteny_recombination_schematic/selected_segments.tsv	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv (nb=1 plus sweepGA 1:1 no-scaffold)	/moosefs/erikg/phrs/pedigree_native_untangle_agent2556_sweepga_1to1_noscaffold/<pair>.e50000.m1000.j0.8.n4.native_nb1.sweepga_1to1_noscaffold.paf	not_joined_exactly_to_patches.tsv
PAR1_XY_positive_control	1	PAR1 X/Y control	PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	PAN027#2#chrX.paternal:12265-512264_chrX_parm	chrXp	PAN027	2	paternal	chrX:12265-512265	chrX	201864	207115	chrX:201864-207115	189599	194850	5251	PAN011#2#chrY.haplotype2:5839-505838_chrY_parm	chrYp	chrY	PAN011	PAN011#2	haplotype2	chrYp	chrY:5839-505839	197177-202429	197177	202429	+	100	1	1	1	PAR positive control	2	no	C15	C15	within_community	gene_conversion_like	False	True	paper_prep/_brainstorming/fig5_synteny_recombination_schematic/selected_segments.tsv	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv (nb=1 plus sweepGA 1:1 no-scaffold)	/moosefs/erikg/phrs/pedigree_native_untangle_agent2556_sweepga_1to1_noscaffold/<pair>.e50000.m1000.j0.8.n4.native_nb1.sweepga_1to1_noscaffold.paf	/moosefs/guarracino/HPRCv2/PHR_III/pedigrees/washu/untangle/recombination/patches.tsv
PAR1_XY_positive_control	1	PAR1 X/Y control	PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	PAN027#2#chrX.paternal:12265-512264_chrX_parm	chrXp	PAN027	2	paternal	chrX:12265-512265	chrX	207115	341912	chrX:207115-341912	194850	329647	134797	PAN011#1#chrX.haplotype1:3251-503250_chrX_parm	chrXp	chrX	PAN011	PAN011#1	haplotype1	chrXp	chrX:3251-503251	165928-300734	165928	300734	+	100	1	1	0	same-chromosome context	1	no	C15	C15	same_chr	same_chr	False	True	paper_prep/_brainstorming/fig5_synteny_recombination_schematic/selected_segments.tsv	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv (nb=1 plus sweepGA 1:1 no-scaffold)	/moosefs/erikg/phrs/pedigree_native_untangle_agent2556_sweepga_1to1_noscaffold/<pair>.e50000.m1000.j0.8.n4.native_nb1.sweepga_1to1_noscaffold.paf	/moosefs/guarracino/HPRCv2/PHR_III/pedigrees/washu/untangle/recombination/patches.tsv
PAR1_XY_positive_control	1	PAR1 X/Y control	PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	PAN027#2#chrX.paternal:12265-512264_chrX_parm	chrXp	PAN027	2	paternal	chrX:12265-512265	chrX	341912	343936	chrX:341912-343936	329647	331671	2024	PAN011#2#chrY.haplotype2:5839-505838_chrY_parm	chrYp	chrY	PAN011	PAN011#2	haplotype2	chrYp	chrY:5839-505839	336877-338901	336877	338901	+	100	1	1	1	PAR positive control	2	no	not_available	not_available	not_available	not_available	not_available	not_available	paper_prep/_brainstorming/fig5_synteny_recombination_schematic/selected_segments.tsv	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv (nb=1 plus sweepGA 1:1 no-scaffold)	/moosefs/erikg/phrs/pedigree_native_untangle_agent2556_sweepga_1to1_noscaffold/<pair>.e50000.m1000.j0.8.n4.native_nb1.sweepga_1to1_noscaffold.paf	not_joined_exactly_to_patches.tsv
PAR1_XY_positive_control	1	PAR1 X/Y control	PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	PAN027#2#chrX.paternal:12265-512264_chrX_parm	chrXp	PAN027	2	paternal	chrX:12265-512265	chrX	343936	511940	chrX:343936-511940	331671	499675	168004	PAN011#1#chrX.haplotype1:3251-503250_chrX_parm	chrXp	chrX	PAN011	PAN011#1	haplotype1	chrXp	chrX:3251-503251	302758-470770	302758	470770	+	100	1	1	0	same-chromosome context	1	no	not_available	not_available	not_available	not_available	not_available	not_available	paper_prep/_brainstorming/fig5_synteny_recombination_schematic/selected_segments.tsv	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv (nb=1 plus sweepGA 1:1 no-scaffold)	/moosefs/erikg/phrs/pedigree_native_untangle_agent2556_sweepga_1to1_noscaffold/<pair>.e50000.m1000.j0.8.n4.native_nb1.sweepga_1to1_noscaffold.paf	not_joined_exactly_to_patches.tsv
PAN027_chr9q_chr3q_PHR_candidate	2	PAN027 chr9q -> chr3q	PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	PAN027#2#chr9.paternal:135704825-136204824_chr9_qarm	chr9q	PAN027	2	paternal	chr9:135704825-136204825	chr9	135704825	135753725	chr9:135704825-135753725	0	48900	48900	PAN011#1#chr9.haplotype1:135595959-136095958_chr9_qarm	chr9q	chr9	PAN011	PAN011#1	haplotype1	chr9q_h1_or_maternal	chr9:135595959-136095959	135677282-135726178	135677282	135726178	+	99.9714	0.999428	1	0	same-chromosome context	1	no	not_available	not_available	not_available	not_available	not_available	not_available	paper_prep/_brainstorming/fig5_synteny_recombination_schematic/selected_segments.tsv	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv (nb=1 plus sweepGA 1:1 no-scaffold)	/moosefs/erikg/phrs/pedigree_native_untangle_agent2556_sweepga_1to1_noscaffold/<pair>.e50000.m1000.j0.8.n4.native_nb1.sweepga_1to1_noscaffold.paf	not_joined_exactly_to_patches.tsv
PAN027_chr9q_chr3q_PHR_candidate	2	PAN027 chr9q -> chr3q	PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	PAN027#2#chr9.paternal:135704825-136204824_chr9_qarm	chr9q	PAN027	2	paternal	chr9:135704825-136204825	chr9	135753725	136032742	chr9:135753725-136032742	48900	327917	279017	PAN011#2#chr9.haplotype2:133240004-133740003_chr9_qarm	chr9q	chr9	PAN011	PAN011#2	haplotype2	chr9q_h2_or_paternal	chr9:133240004-133740004	133288296-133567318	133288296	133567318	+	100	1	1	0	same-chromosome context	1	no	not_available	not_available	not_available	not_available	not_available	not_available	paper_prep/_brainstorming/fig5_synteny_recombination_schematic/selected_segments.tsv	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv (nb=1 plus sweepGA 1:1 no-scaffold)	/moosefs/erikg/phrs/pedigree_native_untangle_agent2556_sweepga_1to1_noscaffold/<pair>.e50000.m1000.j0.8.n4.native_nb1.sweepga_1to1_noscaffold.paf	not_joined_exactly_to_patches.tsv
PAN027_chr9q_chr3q_PHR_candidate	2	PAN027 chr9q -> chr3q	PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	PAN027#2#chr9.paternal:135704825-136204824_chr9_qarm	chr9q	PAN027	2	paternal	chr9:135704825-136204825	chr9	136032742	136033949	chr9:136032742-136033949	327917	329124	1207	PAN011#2#chr16.haplotype2:89999497-90499496_chr16_qarm	chr16q	chr16	PAN011	PAN011#2	haplotype2	side_caveat_chr16q	chr16:89999497-90499497	90404391-90405598	90404391	90405598	+	100	1	1	1	side fragment	4	yes	C3	C3	within_community	sandwich_same_hap	True	True	paper_prep/_brainstorming/fig5_synteny_recombination_schematic/selected_segments.tsv	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv (nb=1 plus sweepGA 1:1 no-scaffold)	/moosefs/erikg/phrs/pedigree_native_untangle_agent2556_sweepga_1to1_noscaffold/<pair>.e50000.m1000.j0.8.n4.native_nb1.sweepga_1to1_noscaffold.paf	/moosefs/guarracino/HPRCv2/PHR_III/pedigrees/washu/untangle/recombination/patches.tsv
PAN027_chr9q_chr3q_PHR_candidate	2	PAN027 chr9q -> chr3q	PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	PAN027#2#chr9.paternal:135704825-136204824_chr9_qarm	chr9q	PAN027	2	paternal	chr9:135704825-136204825	chr9	136033949	136151769	chr9:136033949-136151769	329124	446944	117820	PAN011#2#chr9.haplotype2:133240004-133740003_chr9_qarm	chr9q	chr9	PAN011	PAN011#2	haplotype2	chr9q_h2_or_paternal	chr9:133240004-133740004	133568525-133686359	133568525	133686359	+	100	1	1	0	same-chromosome context	1	no	C3	C3	same_chr	same_chr	True	True	paper_prep/_brainstorming/fig5_synteny_recombination_schematic/selected_segments.tsv	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv (nb=1 plus sweepGA 1:1 no-scaffold)	/moosefs/erikg/phrs/pedigree_native_untangle_agent2556_sweepga_1to1_noscaffold/<pair>.e50000.m1000.j0.8.n4.native_nb1.sweepga_1to1_noscaffold.paf	/moosefs/guarracino/HPRCv2/PHR_III/pedigrees/washu/untangle/recombination/patches.tsv
