gene_family,copy_name,chromosome,arm,start,end,strand,phr_interval,phr_line_num,sharing_pattern,gene_biotype,reference_chromosome,is_shared_copy
LOC112268260,LOC112268260_0_shared_on_chr1,chr1,p,20529,37628,-,chr1:2706-297706,1,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chr11,chr15,chr16,chr17,chr19,chr20",protein_coding,chr1,NO
LOC112268260,LOC112268260_0_shared_on_chr2,chr2,p,20529,37628,-,chr1:2706-297706,1,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chr11,chr15,chr16,chr17,chr19,chr20",protein_coding,chr1,YES
LOC112268260,LOC112268260_0_shared_on_chr3,chr3,p,20529,37628,-,chr1:2706-297706,1,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chr11,chr15,chr16,chr17,chr19,chr20",protein_coding,chr1,YES
LOC112268260,LOC112268260_0_shared_on_chr5,chr5,p,20529,37628,-,chr1:2706-297706,1,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chr11,chr15,chr16,chr17,chr19,chr20",protein_coding,chr1,YES
LOC112268260,LOC112268260_0_shared_on_chr6,chr6,p,20529,37628,-,chr1:2706-297706,1,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chr11,chr15,chr16,chr17,chr19,chr20",protein_coding,chr1,YES
LOC112268260,LOC112268260_0_shared_on_chr7,chr7,p,20529,37628,-,chr1:2706-297706,1,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chr11,chr15,chr16,chr17,chr19,chr20",protein_coding,chr1,YES
LOC112268260,LOC112268260_0_shared_on_chr8,chr8,p,20529,37628,-,chr1:2706-297706,1,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chr11,chr15,chr16,chr17,chr19,chr20",protein_coding,chr1,YES
LOC112268260,LOC112268260_0_shared_on_chr9,chr9,p,20529,37628,-,chr1:2706-297706,1,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chr11,chr15,chr16,chr17,chr19,chr20",protein_coding,chr1,YES
LOC112268260,LOC112268260_0_shared_on_chr11,chr11,p,20529,37628,-,chr1:2706-297706,1,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chr11,chr15,chr16,chr17,chr19,chr20",protein_coding,chr1,YES
LOC112268260,LOC112268260_0_shared_on_chr15,chr15,p,20529,37628,-,chr1:2706-297706,1,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chr11,chr15,chr16,chr17,chr19,chr20",protein_coding,chr1,YES
LOC112268260,LOC112268260_0_shared_on_chr16,chr16,p,20529,37628,-,chr1:2706-297706,1,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chr11,chr15,chr16,chr17,chr19,chr20",protein_coding,chr1,YES
LOC112268260,LOC112268260_0_shared_on_chr17,chr17,p,20529,37628,-,chr1:2706-297706,1,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chr11,chr15,chr16,chr17,chr19,chr20",protein_coding,chr1,YES
LOC112268260,LOC112268260_0_shared_on_chr19,chr19,p,20529,37628,-,chr1:2706-297706,1,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chr11,chr15,chr16,chr17,chr19,chr20",protein_coding,chr1,YES
LOC112268260,LOC112268260_0_shared_on_chr20,chr20,p,20529,37628,-,chr1:2706-297706,1,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chr11,chr15,chr16,chr17,chr19,chr20",protein_coding,chr1,YES
LOC101928626,LOC101928626_0_shared_on_chr1,chr1,p,52979,54612,-,chr1:2706-297706,1,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chr11,chr15,chr16,chr17,chr19,chr20",lncRNA,chr1,NO
LOC101928626,LOC101928626_0_shared_on_chr2,chr2,p,52979,54612,-,chr1:2706-297706,1,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chr11,chr15,chr16,chr17,chr19,chr20",lncRNA,chr1,YES
LOC101928626,LOC101928626_0_shared_on_chr3,chr3,p,52979,54612,-,chr1:2706-297706,1,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chr11,chr15,chr16,chr17,chr19,chr20",lncRNA,chr1,YES
LOC101928626,LOC101928626_0_shared_on_chr5,chr5,p,52979,54612,-,chr1:2706-297706,1,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chr11,chr15,chr16,chr17,chr19,chr20",lncRNA,chr1,YES
LOC101928626,LOC101928626_0_shared_on_chr6,chr6,p,52979,54612,-,chr1:2706-297706,1,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chr11,chr15,chr16,chr17,chr19,chr20",lncRNA,chr1,YES
LOC101928626,LOC101928626_0_shared_on_chr7,chr7,p,52979,54612,-,chr1:2706-297706,1,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chr11,chr15,chr16,chr17,chr19,chr20",lncRNA,chr1,YES
LOC101928626,LOC101928626_0_shared_on_chr8,chr8,p,52979,54612,-,chr1:2706-297706,1,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chr11,chr15,chr16,chr17,chr19,chr20",lncRNA,chr1,YES
LOC101928626,LOC101928626_0_shared_on_chr9,chr9,p,52979,54612,-,chr1:2706-297706,1,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chr11,chr15,chr16,chr17,chr19,chr20",lncRNA,chr1,YES
LOC101928626,LOC101928626_0_shared_on_chr11,chr11,p,52979,54612,-,chr1:2706-297706,1,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chr11,chr15,chr16,chr17,chr19,chr20",lncRNA,chr1,YES
LOC101928626,LOC101928626_0_shared_on_chr15,chr15,p,52979,54612,-,chr1:2706-297706,1,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chr11,chr15,chr16,chr17,chr19,chr20",lncRNA,chr1,YES
LOC101928626,LOC101928626_0_shared_on_chr16,chr16,p,52979,54612,-,chr1:2706-297706,1,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chr11,chr15,chr16,chr17,chr19,chr20",lncRNA,chr1,YES
LOC101928626,LOC101928626_0_shared_on_chr17,chr17,p,52979,54612,-,chr1:2706-297706,1,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chr11,chr15,chr16,chr17,chr19,chr20",lncRNA,chr1,YES
