event_id	comparison_id	query_name	window_start	window_end	expected_target_chrom	control_class	note
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	PAN027#2#chr9.paternal:135704825-136204824_chr9_qarm	0	500000	chr3	fig5_candidate	Native PAN027 paternal chr9q 500 kb Fig5 candidate interval; chr3q is the donor/support target.
PAN028_chr9q_chr3q_PHR_candidate	PAN028mat_vs_PAN027_joint	PAN028#1#chr9.haplotype1:134380985-134880984_chr9_qarm	0	500000	chr3	fig5_candidate	Native PAN028 maternal chr9q 500 kb Fig5 candidate interval; chr3q is the donor/support target.
PAN027_PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAN027#2#chrX.paternal:12265-512264_chrX_parm	0	500000	chrY	PAR_positive	PAR1 query expected to recover chrY support in addition to same-chromosome chrX support.
PAN028_PAR1_XY_positive_control	PAN028mat_vs_PAN027_joint	PAN028#1#chrX.haplotype1:9405-509404_chrX_parm	0	500000	chrX	PAR_target_lacks_Y	PAN027 target in this joint-parent comparison has no chrY sequence, so this control is expected to recover same-chromosome chrX support rather than chrY.
PAN027_acro_chr13p_control	PAN027pat_vs_PAN011_joint	PAN027#2#chr13.paternal:13308-513307_chr13_parm	0	500000	chr13	acrocentric_p_control	Acrocentric p-arm control; expected primary support is same acrocentric chromosome with possible cross-acrocentric p-arm sharing.
PAN027_acro_chr14p_control	PAN027pat_vs_PAN011_joint	PAN027#2#chr14.paternal:8756-508755_chr14_parm	0	500000	chr14	acrocentric_p_control	Acrocentric p-arm control; expected primary support is same acrocentric chromosome with possible cross-acrocentric p-arm sharing.
PAN027_acro_chr15p_control	PAN027pat_vs_PAN011_joint	PAN027#2#chr15.paternal:7719-507718_chr15_parm	0	500000	chr15	acrocentric_p_control	Acrocentric p-arm control; expected primary support is same acrocentric chromosome with possible cross-acrocentric p-arm sharing.
PAN027_acro_chr21p_control	PAN027pat_vs_PAN011_joint	PAN027#2#chr21.paternal:11152-511151_chr21_parm	0	500000	chr21	acrocentric_p_control	Acrocentric p-arm control; expected primary support is same acrocentric chromosome with possible cross-acrocentric p-arm sharing.
PAN027_acro_chr22p_control	PAN027pat_vs_PAN011_joint	PAN027#2#chr22.paternal:475-500474_chr22_parm	0	500000	chr22	acrocentric_p_control	Acrocentric p-arm control; expected primary support is same acrocentric chromosome with possible cross-acrocentric p-arm sharing.
PAN028_acro_chr13p_control	PAN028mat_vs_PAN027_joint	PAN028#1#chr13.haplotype1:17216-517215_chr13_parm	0	500000	chr13	acrocentric_p_control	Acrocentric p-arm control; expected primary support is same acrocentric chromosome with possible cross-acrocentric p-arm sharing.
PAN028_acro_chr14p_control	PAN028mat_vs_PAN027_joint	PAN028#1#chr14.haplotype1:14953-514952_chr14_parm	0	500000	chr14	acrocentric_p_control	Acrocentric p-arm control; expected primary support is same acrocentric chromosome with possible cross-acrocentric p-arm sharing.
PAN028_acro_chr15p_control	PAN028mat_vs_PAN027_joint	PAN028#1#chr15.haplotype1:13057-513056_chr15_parm	0	500000	chr15	acrocentric_p_control	Acrocentric p-arm control; expected primary support is same acrocentric chromosome with possible cross-acrocentric p-arm sharing.
PAN028_acro_chr21p_control	PAN028mat_vs_PAN027_joint	PAN028#1#chr21.haplotype1:13185-513184_chr21_parm	0	500000	chr21	acrocentric_p_control	Acrocentric p-arm control; expected primary support is same acrocentric chromosome with possible cross-acrocentric p-arm sharing.
PAN028_acro_chr22p_control	PAN028mat_vs_PAN027_joint	PAN028#1#chr22.haplotype1:18334-518333_chr22_parm	0	500000	chr22	acrocentric_p_control	Acrocentric p-arm control; expected primary support is same acrocentric chromosome with possible cross-acrocentric p-arm sharing.
