schema_version	analysis_layer	assignment	community	community_order	community_arms	community_ontology_eligible_phr_copy_burden	functional_source_id	functional_source_symbol	supported_unique_coordinate_copy_burden	fraction_of_community_eligible_burden	supported_term_contributor_row_burden	supported_exact_term_count	gene_names_json	copy_ids_json	functional_class_ids_json	ontology_redundancy_warning	summary_role
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	midpoint	C1	1	chr10_q|chr4_q	75	NCBIGene:100288687	DUX4	65	0.8666666666666667	4680	72	"[""DUX4"",""DUX4L1"",""DUX4L10"",""DUX4L11"",""DUX4L12"",""DUX4L13"",""DUX4L14"",""DUX4L15"",""DUX4L2"",""DUX4L20"",""DUX4L21"",""DUX4L22"",""DUX4L23"",""DUX4L24"",""DUX4L25"",""DUX4L3"",""DUX4L4"",""DUX4L5"",""DUX4L6"",""DUX4L7"",""DUX4L8""]"	"[""CHM13v2.0|chr10:134618565-134619843|+|DUX4L10"",""CHM13v2.0|chr10:134621872-134623150|+|DUX4L11"",""CHM13v2.0|chr10:134625179-134626703|+|DUX4L23"",""CHM13v2.0|chr10:134628489-134630013|+|DUX4L22"",""CHM13v2.0|chr10:134631799-134633077|+|DUX4L14"",""CHM13v2.0|chr10:134635109-134636387|+|DUX4L15"",""CHM13v2.0|chr10:134638419-134639943|+|DUX4L21"",""CHM13v2.0|chr10:134641729-134643253|+|DUX4L20"",""CHM13v2.0|chr10:134645039-134646563|+|DUX4L25"",""CHM13v2.0|chr10:134648349-134649873|+|DUX4L24"",""CHM13v2.0|chr10:134651659-134652937|+|DUX4L12"",""CHM13v2.0|chr10:134654969-134656247|+|DUX4L13"",""CHM13v2.0|chr10:134658279-134659803|+|DUX4L24_9"",""CHM13v2.0|chr10:134661589-134663113|+|DUX4L24_6"",""CHM13v2.0|chr10:134664899-134666423|+|DUX4L24_11"",""CHM13v2.0|chr10:134668209-134669733|+|DUX4L24_4"",""CHM13v2.0|chr10:134671519-134672797|+|DUX4L10_2"",""CHM13v2.0|chr10:134674825-134676349|+|DUX4L24_15"",""CHM13v2.0|chr10:134678136-134679660|+|DUX4L24_8"",""CHM13v2.0|chr10:134681447-134682978|+|DUX4L25_1"",""CHM13v2.0|chr10:134684778-134686303|+|DUX4L24_16"",""CHM13v2.0|chr10:134688089-134689619|+|DUX4L24_17"",""CHM13v2.0|chr10:134691406-134692684|+|DUX4L10_1"",""CHM13v2.0|chr10:134694717-134696241|+|DUX4L24_7"",""CHM13v2.0|chr10:134701338-134702862|+|DUX4L24_5"",""CHM13v2.0|chr10:134704648-134706172|+|DUX4L24_1"",""CHM13v2.0|chr10:134707958-134709482|+|DUX4L24_14"",""CHM13v2.0|chr10:134711268-134712792|+|DUX4L24_3"",""CHM13v2.0|chr10:134714578-134716102|+|DUX4L24_10"",""CHM13v2.0|chr10:134717888-134719412|+|DUX4L24_13"",""CHM13v2.0|chr10:134721198-134722722|+|DUX4L24_12"",""CHM13v2.0|chr10:134724508-134726032|+|DUX4L24_2"",""CHM13v2.0|chr4:193436060-193437344|+|DUX4L8"",""CHM13v2.0|chr4:193439356-193440640|+|DUX4L5"",""CHM13v2.0|chr4:193442653-193443937|+|DUX4L6_8"",""CHM13v2.0|chr4:193445949-193447233|+|DUX4L2"",""CHM13v2.0|chr4:193449245-193450529|+|DUX4L6_15"",""CHM13v2.0|chr4:193452541-193453825|+|DUX4L6_9"",""CHM13v2.0|chr4:193455846-193457130|+|DUX4L7"",""CHM13v2.0|chr4:193459140-193460424|+|DUX4L1"",""CHM13v2.0|chr4:193462438-193463722|+|DUX4L3"",""CHM13v2.0|chr4:193465734-193467018|+|DUX4L6_14"",""CHM13v2.0|chr4:193469037-193470321|+|DUX4L6_17"",""CHM13v2.0|chr4:193472333-193473617|+|DUX4L6_11"",""CHM13v2.0|chr4:193475628-193476912|+|DUX4L6_16"",""CHM13v2.0|chr4:193478925-193480209|+|DUX4L6_23"",""CHM13v2.0|chr4:193482218-193483502|+|DUX4L6_3"",""CHM13v2.0|chr4:193485517-193486801|+|DUX4L6_24"",""CHM13v2.0|chr4:193488815-193490099|+|DUX4L6_13"",""CHM13v2.0|chr4:193492115-193493399|+|DUX4L6_4"",""CHM13v2.0|chr4:193495415-193496699|+|DUX4L6"",""CHM13v2.0|chr4:193498712-193499996|+|DUX4L6_5"",""CHM13v2.0|chr4:193502010-193503294|+|DUX4L6_18"",""CHM13v2.0|chr4:193505306-193506590|+|DUX4L6_19"",""CHM13v2.0|chr4:193508603-193509887|+|DUX4L4"",""CHM13v2.0|chr4:193511900-193513184|+|DUX4L6_6"",""CHM13v2.0|chr4:193515198-193516482|+|DUX4L6_7"",""CHM13v2.0|chr4:193518496-193519780|+|DUX4L6_22"",""CHM13v2.0|chr4:193521792-193523076|+|DUX4L6_2"",""CHM13v2.0|chr4:193525089-193526373|+|DUX4L6_20"",""CHM13v2.0|chr4:193528385-193529669|+|DUX4L6_1"",""CHM13v2.0|chr4:193531682-193532966|+|DUX4L6_10"",""CHM13v2.0|chr4:193534978-193536262|+|DUX4L6_21"",""CHM13v2.0|chr4:193538284-193539568|+|DUX4L6_12"",""CHM13v2.0|chr4:193541579-193553139|+|DUX4""]"	"[""DUX4_ZGA_TRANSCRIPTION_NUCLEAR_ENVELOPE_CELL_CYCLE""]"	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	midpoint	C1	1	chr10_q|chr4_q	75	NCBIGene:55109	AGGF1	2	0.026666666666666668	16	8	"[""AGGF1P1"",""AGGF1P2""]"	"[""CHM13v2.0|chr10:134593307-134594509|+|AGGF1P2"",""CHM13v2.0|chr4:193409195-193412488|+|AGGF1P1""]"	[]	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	midpoint	C1	1	chr10_q|chr4_q	75	NCBIGene:23277	CLUH	2	0.026666666666666668	6	3	"[""CLUHP4"",""CLUHP5""]"	"[""CHM13v2.0|chr10:134611696-134613616|-|CLUHP5"",""CHM13v2.0|chr4:193429211-193431126|-|CLUHP4""]"	[]	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	midpoint	C1	1	chr10_q|chr4_q	75	NCBIGene:5919	RARRES2	2	0.026666666666666668	36	18	"[""RARRES2P2"",""RARRES2P4""]"	"[""CHM13v2.0|chr10:134588702-134589329|-|RARRES2P2"",""CHM13v2.0|chr4:193406000-193406628|-|RARRES2P4""]"	[]	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	midpoint	C1	1	chr10_q|chr4_q	75	NCBIGene:6147	RPL23A	2	0.026666666666666668	44	22	"[""RPL23AP60"",""RPL23AP84""]"	"[""CHM13v2.0|chr10:134745871-134746398|+|RPL23AP60"",""CHM13v2.0|chr4:193562943-193563471|+|RPL23AP84""]"	"[""RPL23A_RIBOSOMAL_NUCLEOLAR""]"	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	midpoint	C1	1	chr10_q|chr4_q	75	NCBIGene:448831	FRG2	1	0.013333333333333334	1	1	"[""FRG2""]"	"[""CHM13v2.0|chr4:193392577-193395463|-|FRG2""]"	[]	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	midpoint	C1	1	chr10_q|chr4_q	75	NCBIGene:441581	FRG2B	1	0.013333333333333334	1	1	"[""FRG2B""]"	"[""CHM13v2.0|chr10:134575320-134578220|-|FRG2B""]"	[]	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	midpoint	C2	3	chr10_p|chr18_p	3	NCBIGene:3581	IL9R	1	0.33333333333333331	9	9	"[""IL9RP4""]"	"[""CHM13v2.0|chr18:233505-242351|-|IL9RP4""]"	[]	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	midpoint	C2	3	chr10_p|chr18_p	3	NCBIGene:347688	TUBB8	1	0.33333333333333331	19	19	"[""TUBB8""]"	"[""CHM13v2.0|chr10:39416-69557|-|TUBB8""]"	[]	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	midpoint	C2	3	chr10_p|chr18_p	3	NCBIGene:260334	TUBB8B	1	0.33333333333333331	12	12	"[""TUBB8B""]"	"[""CHM13v2.0|chr18:200997-227325|-|TUBB8B""]"	[]	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
