rank	signal_family_or_term	source_path	statistic	copy_count_or_support	community_or_arms	phr_interval_specific	called_reference_interval_dependency	copy_number_aware	source_scope	slide_priority	caveat
1	OR4F pseudogenization gradient	/moosefs/guarracino/HPRCv2/PHR_III/plots/or4f_pseudogene_fraction.csv	5023 OR4F annotations; 3117 pseudogene and 1906 coding; 62.1 percent pseudogene overall; range 11.1 percent chr7p to 99.8 percent chr15q	16 arms with OR4F annotations; per-arm total, n_pseudo, n_coding, pseudo_frac	chr7_p, chr20_p, chr5_q, chr8_p, chr16_p, chr19_p, chr9_q, chr3_q, chrX_q, chr16_q, chr1_p, chr6_p, chr2_q, chr11_p, chr6_q, chr15_q	PHR-sequence annotation signal, not a CHM13-only interval claim	Use source arms for plotted OR4F gradient; do not infer every community arm has a rendered CHM13 interval	Yes for annotation/copy support; not genome-wide copy-weighted ORA	HPRCv2 OR4F arm-level plot table	1	Canonical visual source; do not call it a BH-significant OR-family enrichment result.
2	OR/OR4F community presence	/moosefs/guarracino/HPRCv2/PHR_III/enrichment/community_gene_enrichment.tsv; /moosefs/guarracino/HPRCv2/PHR_III/enrichment/community_enrichment_fisher.tsv	10 OR4F genes detected across 7 communities; OR4F5 and OR4F8P each present on 14 arms; C3 OR Fisher p=0.002454, q=0.07118	OR4F5 total_arms=14; OR4F8P total_arms=14; OR4F17 total_arms=13; OR family row in C3 has units_in_comm=6 and odds_ratio=Inf	C3, C5, C8, C9, C11, C12, C14; OR4F genes span many arms	Broader arm/community signal, not necessarily a called interval claim for every arm	Most named OR4F arms have HPRCv2 support; gate any CHM13 interval render through chm13.phrs.bed	Yes for pangenome copy/support; not genome-wide copy-weighted ORA	HPRCv2 arm-level community enrichment	1	Presence pattern only; no community-family Fisher row survives BH correction.
3	D4Z4/DUX4L C1 block	/moosefs/guarracino/HPRCv2/PHR_III/enrichment/community_specific_genes.tsv; /moosefs/guarracino/HPRCv2/PHR_III/enrichment/community_summary_table.tsv	C1 has 26 community-specific genes; 22 are DUX4L pseudogenes; C1 has 86.4 percent pseudogene content	22 DUX4L pseudogenes specific to C1; C1 arms_in_comm=2 for most DUX4L rows	C1; chr4_q and chr10_q	Yes for C1 HPR/community gene annotations	Both chr4_q and chr10_q have called CHM13 PHR rows	Yes for pangenome support; not genome-wide copy-weighted ORA	HPRCv2 arm-level community-specific genes	1	Good slide signal; frame as D4Z4/DUX4L community signature, not GO enrichment.
4	Subtelomeric duplicon backbone: RPL23A, SEPTIN, DDX11L, FAM138, WASH	/moosefs/guarracino/HPRCv2/PHR_III/enrichment/cross_community_genes.tsv; /moosefs/guarracino/HPRCv2/PHR_III/enrichment/community_gene_families.tsv	RPL23AP45 spans 10 communities and 21 arms; SEPTIN14P22 spans 9 communities and 22 arms; DDX11L16 spans 9 communities and 20 arms; FAM138D spans 9 communities and 17 arms; WASH6P spans 8 communities and 21 arms	Hub-gene support by n_communities/n_arms; family heatmap rows also show RPL, SEPTIN, DDX11L, WASH, FAM138 across many communities	Primarily C3, C5, C8, C9, C11, C12, C14 plus others	Broader arm/community signal	Do not claim every listed arm is rendered from CHM13; use community/arm labels unless checking chm13.phrs.bed	Yes for pangenome support; not genome-wide copy-weighted ORA	HPRCv2 arm-level cross-community genes	1	Best backbone slide after OR4F; report as pervasive duplicated gene-family presence, not significant ORA.
5	C5 DDX11L/WASH/FAM138/IQSEC3 module	/moosefs/guarracino/HPRCv2/PHR_III/enrichment/community_gene_families.tsv; /moosefs/guarracino/HPRCv2/PHR_III/enrichment/community_gene_enrichment.tsv	C5 has DDX11L family 7 unique genes across 4 arms, WASH 8 unique genes across 4 arms, FAM138 6 unique genes across 4 arms; IQSEC3 appears in C5 with samples_in_comm=453	DDX11L n_annotations=1569, WASH n_annotations=1784, FAM138 n_annotations=1569 in C5; IQSEC3 total_arms=1 and samples_in_comm=453	C5; chr6_p, chr9_p, chr12_p, chr20_q; IQSEC3 on chr12_p	Broader arm/community signal with a gene-level IQSEC3 anchor	C5 contains chr6_p, which lacks a called CHM13 PHR row in chm13.phrs.bed; do not render chr6_p as a CHM13 interval	Yes for pangenome support; not genome-wide copy-weighted ORA	HPRCv2 arm-level family and gene tables	2	Good duplicon-module signal; use the arms-without-called-PHR caveat explicitly.
6	GTP binding/GTPase: GTPBP6 and IQSEC3	copy-aware exploratory: ./paper_prep/_brainstorming/improved_copy_weighted_enrichment.csv; canonical gene support: /moosefs/guarracino/HPRCv2/PHR_III/enrichment/community_gene_enrichment.tsv	Exploratory copy-weighted rows show GO:0005525 GTP binding and GO:0003924 GTPase activity fold_enrichment=309.396 with p_value=0; canonical HPRCv2 support places GTPBP6 in C15 and IQSEC3 in C5	Exploratory copy-weighted support: 18 copies in PHRs; gene_copy_summary has GTPBP6=2 and IQSEC3=16; HPRCv2 support: GTPBP6 C15 arms_in_comm=2 samples=390, IQSEC3 C5 samples=453	GTPBP6 in C15 chrX_p/chrY_p; IQSEC3 in C5 chr12_p	Mixed: gene support is HPRCv2 community-specific/broader; GO statistic is parked genome-wide copy-weighted ORA	C15 chrY_p lacks called CHM13 interval; C5 chr6_p caveat applies to module but IQSEC3 anchor is chr12_p	Yes in parked ORA; yes for HPRCv2 support counts, but scopes differ	Parked copy-weighted ORA plus canonical HPRCv2 support	2	Do not present 309x as validated production statistic without reanalysis; use as caveated backup or as motivation for copy-aware reanalysis.
7	C15 PAR1 protein-coding outlier: SHOX/GTPBP6/P2RY8	/moosefs/guarracino/HPRCv2/PHR_III/enrichment/community_summary_table.tsv; /moosefs/guarracino/HPRCv2/PHR_III/enrichment/community_specific_genes.tsv	C15 has 32.1 percent protein-coding content and 10 community-specific genes including SHOX, GTPBP6, P2RY8, PLCXD1, PPP2R3B	10 C15-specific genes; 5 protein-coding genes listed in report/survey	C15; chrX_p and chrY_p	Broader arm/community and PAR signal	chrX_p has called CHM13 row; chrY_p lacks called CHM13 row in chm13.phrs.bed	Yes for pangenome support; not genome-wide copy-weighted ORA	HPRCv2 arm-level community-specific genes	2	Useful biological callout; avoid implying chrY_p has a rendered CHM13 PHR interval unless using a non-CHM13 source.
8	C7 acrocentric MTCO mitochondrial pseudogene signal	/moosefs/guarracino/HPRCv2/PHR_III/enrichment/community_specific_genes.tsv; /moosefs/guarracino/HPRCv2/PHR_III/enrichment/community_enrichment_fisher.tsv	C7 has 48 community-specific genes; 9 are MTCO mitochondrial pseudogenes; Fisher MTCO p=0.002235 and q=0.07118	9 C7-specific MTCO genes; C7 family row MTCO has units_in_comm=5, units_outside=8, odds_ratio=Inf	C7; chr13_p, chr14_p, chr15_p, chr21_p, chr22_p	Broader acrocentric community signal	chr13_p lacks called CHM13 PHR row; other C7 arms have CHM13 called rows	Yes for pangenome support; not genome-wide copy-weighted ORA	HPRCv2 arm-level community-specific genes and Fisher caveat	3	Interesting but secondary for v5; Fisher is not BH-significant.
9	TAR1 repeat context	/moosefs/guarracino/HPRCv2/PHR_III/enrichment/community_tar1_summary.tsv; /moosefs/guarracino/HPRCv2/PHR_III/enrichment/tar1_positional/tar1_positional_overall.tsv	C2 has highest mean TAR1 count per sequence at 2.51; overall TAR1 has 21544 entries, 66.9 percent within 10 kb and 70.3 percent within 25 kb of telomere	Community TAR1 prevalence/count table; positional overall table; C2 n_sequences=889 and n_with_tar1=887	C2 chr10_p/chr18_p; genome-wide/HPRCv2 repeat context all 41 arms	Repeat annotation signal, not gene enrichment	Both C2 arms have called CHM13 rows; other TAR1 arms still need row-by-row interval checks	Repeat-count aware but not gene/GO copy-number-aware	HPRCv2 repeat annotation context	3	Use only as context or cross-reference; TAR1 should not be presented as a gene-enrichment result.
10	C4 minimal-PHR gene non-result	/moosefs/guarracino/HPRCv2/PHR_III/enrichment/community_summary_table.tsv	C4 has N_Genes=0, N_Shared=0, N_Specific=0; chr7_q/chr12_q similarity regions are short telomeric tips	Zero gene annotations in C4 despite community membership	C4; chr7_q and chr12_q	Interval/community caveat and non-result	Both chr7_q and chr12_q have called CHM13 rows, but no gene annotations in this analysis	No; this is a negative gene-content result	HPRCv2 arm-level community summary	3	Use as caveat: community or interval sharing does not imply gene-enrichment content.
