dataset	setting	pair	label	query_name	query_chrarm	start	end	length_bp	n_segments	resolvability	is_interchromosomal	bridge_bp	bridge_reasons	donor_haplotypes	donor_arms	donor_communities	min_score	max_score
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr1.maternal:11374-511373_chr1_parm	chr1p	0	499987	499987	62	unique_donor_arm_multi_haplotype	False	0	shared_donor_arm:1,shared_donor_haplotype:60	PAN010#1:chr1p,PAN010#2:chr1p	chr1p	C3	0.921	1
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr1.maternal:246517480-247017479_chr1_qarm	chr1q	0	500000	500000	166	unique_donor_haplotype	False	0	shared_donor_haplotype:165	PAN010#2:chr1q	chr1q	C4	0.95	1
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr10.maternal:133869212-134369211_chr10_qarm	chr10q	0	500000	500000	97	unique_donor_arm_multi_haplotype	False	0	shared_donor_arm:4,shared_donor_haplotype:92	PAN010#1:chr10q,PAN010#2:chr10q	chr10q	C1	0.991	1
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr10.maternal:9348-509347_chr10_parm	chr10p	0	467784	467784	21	unique_donor_arm_multi_haplotype	False	0	shared_donor_haplotype:20	PAN010#1:chr10p,PAN010#2:chr10p	chr10p	C1	0.999	1
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr10.maternal:9348-509347_chr10_parm	chr10p	468788	500000	31212	4	unique_donor_haplotype	False	0	shared_donor_haplotype:3	PAN010#2:chr10p	chr10p	C1	0.963	1
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr11.maternal:134292564-134792563_chr11_qarm	chr11q	0	499034	499034	26	unique_donor_arm_multi_haplotype	False	0	shared_donor_haplotype:25	PAN010#1:chr11q,PAN010#2:chr11q	chr11q	unknown	0.999	1
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr11.maternal:8352-508351_chr11_parm	chr11p	0	500000	500000	82	unique_donor_arm_multi_haplotype	False	0	shared_donor_haplotype:81	PAN010#1:chr11p,PAN010#2:chr11p	chr11p	C1	0.98	1
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr12.maternal:134349107-134849106_chr12_qarm	chr12q	0	500000	500000	23	unique_donor_haplotype	False	0	shared_donor_haplotype:22	PAN010#1:chr12q	chr12q	C1	0.999	1
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr12.maternal:6907-506906_chr12_parm	chr12p	0	499998	499998	24	unique_donor_arm_multi_haplotype	False	0	shared_donor_haplotype:23	PAN010#1:chr12p,PAN010#2:chr12p	chr12p	C1	0.999	1
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr13.maternal:108927643-109427642_chr13_qarm	chr13q	0	500000	500000	36	unique_donor_arm_multi_haplotype	False	0	shared_donor_haplotype:35	PAN010#1:chr13q,PAN010#2:chr13q	chr13q	C1	0.927	1
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	0	107786	107786	46	same_community_ambiguous	True	0	shared_donor_haplotype:45	PAN010#1:chr13p,PAN010#1:chr15p,PAN010#1:chr21p,PAN010#2:chr22p	chr13p,chr15p,chr21p,chr22p	C2	0.966	1
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	107786	113219	5433	4	unique_donor_haplotype	False	0	shared_donor_haplotype:3	PAN010#1:chr13p	chr13p	C2	1	1
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	114230	118211	3981	3	unique_donor_haplotype	True	0	shared_donor_haplotype:2	PAN010#2:chr22p	chr22p	C2	0.947	0.991
