arm_a	arm_b	mean_jaccard	n_pairs	hic_contact
chr10_p	chr11_p	0.362952375	8	0.004134744933494248
chr10_p	chr11_q	0.0	8	0.0
chr10_p	chr12_p	0.646136	8	0.016794120998636825
chr10_p	chr13_p	0.58077975	8	0.007982049771059372
chr10_p	chr14_p	0.62015875	8	0.013585738863839432
chr10_p	chr15_p	0.623069	8	0.013565338527667153
chr10_p	chr16_p	0.6336697499999999	8	0.013650032313108282
chr10_p	chr17_p	0.6089545	8	0.012296295421924015
chr10_p	chr17_q	0.0	4	0.0
chr10_p	chr18_p	0.1942306725	8	0.0008491926025820945
chr10_p	chr19_p	0.6146557500000001	8	0.013761444379013641
chr10_p	chr19_q	0.0	8	1.8846746175589552e-06
chr10_p	chr1_p	0.59509725	8	0.013744172814392174
chr10_p	chr2_p	0.610986	8	0.008088831621717063
chr10_p	chr3_p	0.5996835	8	0.014282384258515975
chr10_p	chr4_p	0.15559125750000002	8	0.0010049247967156404
chr10_p	chr5_p	0.6357747500000002	8	0.006235755531015091
chr10_p	chr6_p	0.64477125	8	0.013476132275339916
chr10_p	chr7_p	0.21032774999999998	8	0.001182251501469977
chr10_p	chr8_p	0.529187	8	0.014681877964315675
chr10_p	chr8_q	0.0	8	1.4618132748401506e-06
chr10_p	chr9_p	0.57496925	8	0.01665684797870402
chr10_p	chr9_q	0.00179042	4	0.00018700368898638648
chr10_p	chrX_p	0.5260745	4	0.008804348478771366
chr10_p	chrX_q	0.0	4	3.209085236204714e-06
chr10_q	chr11_p	0.0	4	7.434887784124811e-05
chr10_q	chr11_q	0.0	4	0.0
chr10_q	chr12_p	0.0	4	7.228716479515759e-06
chr10_q	chr13_p	0.0	4	2.4797886716365207e-05
chr10_q	chr14_p	0.0	4	2.646398320846796e-06
chr10_q	chr15_p	0.0	4	4.828518636220167e-06
chr10_q	chr16_p	0.0	4	1.1670564883124995e-05
chr10_q	chr17_p	0.0	4	3.9646047509529085e-06
chr10_q	chr17_q	0.160362	2	0.011865029133911971
chr10_q	chr18_p	0.0	4	0.0010119401675761507
chr10_q	chr19_p	0.0	4	4.8232901995926535e-06
chr10_q	chr19_q	0.0	4	0.00011461687647947396
chr10_q	chr1_p	0.0	4	3.691050038149917e-06
chr10_q	chr2_p	0.0	4	1.2294811385653276e-06
