	chr1_p	chr1_q	chr10_p	chr10_q	chr11_p	chr12_p	chr12_q	chr13_p	chr13_q	chr14_p	chr15_p	chr15_q	chr16_p	chr16_q	chr17_p	chr17_q	chr18_p	chr19_p	chr19_q	chr2_q	chr20_p	chr20_q	chr21_p	chr21_q	chr22_p	chr22_q	chr3_q	chr4_p	chr4_q	chr5_q	chr6_p	chr6_q	chr7_p	chr7_q	chr8_p	chr9_p	chr9_q	chrX_p	chrX_q	chrY_p	chrY_q
chr1_p	0.195881222920706	0.990886380077985	0.983483713374976	0.991455522472916	0.734972502889555	0.98047630856617	0.999903199545413	0.99546048140471	0.996676636106619	0.994512737173735	0.996244834407736	0.85650169527921	0.932508439704333	0.816204631535325	0.988453885824364	0.929344994927558	0.978526228842886	0.723840023893694	0.987993473302159	0.86964671028412	0.82300788870745	0.915837051651762	0.995409644544166	0.988111454826047	0.995213208632799	0.987879736189751	0.733943184496879	0.990313618115011	0.993405523457785	0.539405502717253	0.79357656009439	0.677906984864051	0.765766781077334	0.999715741681512	0.748040210564096	0.969549938707803	0.767810777442922	0.999931866986441	0.996081377923066	0.999959450317649	0.996572675188752
chr1_q	0.990886380077985	0.161041823264739	1.0	0.885565506310389	0.986197070977127	0.992209483002524	0.973214359750757	0.99646774529864	0.487396171582293	0.995356513046465	0.996351702237749	0.992691071264483	0.978988963424678	0.940495234048197	0.985756873976726	0.741922007957348	0.991733191741825	0.956758347439548	0.327469055437268	0.88894650772035	0.906576638063348	0.978097661196121	0.995173472355676	0.291463192402593	0.995870807275659	0.322529117353308	0.993403245557159	0.972039753260433	0.936752733345923	0.952628051886484	0.978710924743351	0.942400504586313	0.946117256169514	0.962873720521993	0.921310703792748	0.985933824523475	0.961616015625468	0.999956368882933	0.997480244664624	0.999970592843185	0.997482065813772
chr10_p	0.983483713374976	1.0	0.0268040520868896	1.0	1.0	1.0	1.0	1.0	0.997087066709568	1.0	1.0	1.0	0.942031379028222	0.942649862765011	1.0	1.0	0.379769468579498	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.951351027036262	1.0	1.0	1.0	1.0	1.0	0.990184371898739	1.0	1.0	1.0	0.830419997045398	1.0	0.999965110069088	0.999999179752674	0.999964969514784
chr10_q	0.991455522472916	0.885565506310389	1.0	0.317712107556748	0.988828490858844	0.996570589932008	0.993411017012596	0.994090654798762	0.93335231946498	0.991564584259905	0.993657546948191	0.995704640052903	0.988467375153681	0.956494966710961	0.994401319727891	0.913335970510599	0.9723676423547	0.968655479159406	0.8583807121956	0.931081506560847	0.947406743657286	0.98836397281064	0.990401785738433	0.865155250584866	0.993089995163985	0.858655731048864	0.991095387486187	0.976491800720288	0.417010636756663	0.965737128005565	0.986407160335597	0.964111167659791	0.960979636999092	0.992389039429225	0.964754603121598	0.994484994779162	0.967178334740118	0.999984151894397	0.997880032340209	0.999974691450493	0.997902974290706
chr11_p	0.734972502889555	0.986197070977127	1.0	0.988828490858844	0.505581977598852	0.928436859689663	0.9998153772222	0.9960766298461	0.990857472920975	0.995209087404476	0.996843329963235	0.752457459597717	0.895513709058864	0.697656630443645	0.824746129095584	0.962185111181501	0.989942183120796	0.54215826620618	0.98318811624238	0.894885292852183	0.75318209520853	0.853959499568853	0.996011471732605	0.986128306772988	0.995901271640775	0.983616699156746	0.56984378943623	0.990286784513512	0.992356391093938	0.69453560525028	0.807913169150394	0.817948012819602	0.682288278793624	0.999383492983264	0.846473922240526	0.909593983802017	0.708780789990079	0.999753055571483	0.9888975453125	0.999879300805512	0.989498377298444
chr12_p	0.98047630856617	0.992209483002524	1.0	0.996570589932008	0.928436859689663	0.0237752312387199	1.0	0.999967251767911	0.992140454583362	0.999931250678106	0.999986039684596	0.841204013794727	0.912873545348536	0.974365291067767	0.995977913880585	0.99326278926419	0.998789832416388	0.874227043656997	0.993231592964073	0.992050589848262	0.817117254645973	0.4585214632821	0.99991914782394	0.992048649171433	0.999973871012031	0.992280811536955	0.902624173574344	0.998650783619808	0.998363056583867	0.995262098281248	0.643788996656419	0.993609175415499	0.991400912070283	0.999476621658995	0.990559885847296	0.483137928704177	0.965326019402839	0.998626324670951	0.978334195521292	0.999751526407776	0.978363644218607
chr12_q	0.999903199545413	0.973214359750757	1.0	0.993411017012596	0.9998153772222	1.0	0.134781835477007	0.993213324170672	0.968144413341204	0.992329761352253	0.9921946777339	0.99990146849966	0.999332308553951	0.996305580949499	0.999880344411192	0.986375226430748	1.0	0.996725216610389	0.975549097595922	0.992654901603564	0.994723191723575	0.996973839659989	0.993071835995699	0.975111066641535	0.992356885864952	0.976235401707498	0.999961423331154	0.999995403326837	0.996834174031305	0.99698255314071	0.998869783900274	0.996405654894716	0.996781265048662	0.657177100457419	0.993491618589588	0.999786206843581	0.997592004637466	1.0	0.999970381615712	1.0	1.0
chr13_p	0.99546048140471	0.99646774529864	1.0	0.994090654798762	0.9960766298461	0.999967251767911	0.993213324170672	0.59797691966759	0.99979701708475	0.57554708038382	0.568706915524104	0.999701182979721	0.998140412032627	0.995627521890751	0.999718096363957	0.996476967995099	0.994885044754543	0.992915068790929	0.99475287233675	0.994709996549708	0.992013210845823	0.999263391970145	0.5999724375	0.995768074375806	0.563231645621902	0.994963556081871	0.99737341703887	0.912213711554276	0.98371685839599	0.996107370599317	0.99724919727376	0.996558920185407	0.992351267123288	0.995471551067973	0.995131047316709	0.999609170347744	0.995925715146199	0.999999873893449	0.998817746331738	0.999999572368421	0.999976949713392
chr13_q	0.996676636106619	0.487396171582293	0.997087066709568	0.93335231946498	0.990857472920975	0.992140454583362	0.968144413341204	0.99979701708475	0.0792924446009693	0.999392786308244	0.999964240029196	0.994499849737849	0.981619561937538	0.964809773557671	0.985258997211064	0.836651876952479	0.994299604781927	0.972809106852914	0.59212269953166	0.932343963083395	0.940877730507333	0.977970783926247	0.99917583125336	0.566167885377553	0.999846707880991	0.606830635080426	0.996797241249668	0.999716274419345	0.968857686330657	0.972392240200695	0.985548588186911	0.968258307096578	0.966143079929015	0.948821488824193	0.922804364234933	0.986548271118358	0.976598942286563	0.999952885923868	0.997465608375515	0.999970145758691	0.997439196079296
chr14_p	0.994512737173735	0.995356513046465	1.0	0.991564584259905	0.995209087404476	0.999931250678106	0.992329761352253	0.57554708038382	0.999392786308244	0.534596556587403	0.532997575208249	0.999629857947306	0.99769772635302	0.994596972106865	0.999611111343964	0.9955421988594	0.993812816544931	0.991372441561186	0.993263771052908	0.993493218030083	0.990187231662763	0.998985088798966	0.566417000188225	0.994469592719386	0.527304312550179	0.993524402406599	0.996832465866752	0.898548178240019	0.980203128533509	0.995183768090033	0.996597744672384	0.995804914747916	0.990629878058264	0.994865116141539	0.994017293034076	0.999490336780646	0.994995265929161	0.999999714608122	0.998676490419479	0.999999313935827	0.999961995373773
