event_id	comparison_id	chop_length_bp	source	line_no	query_interval	target_group	target_interval	strand	matches	alignment_length	mapq
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	2000	query_grid_filtered	837764	135704825-135706000	chr9/h2	PAN011#joint#h2_chr9:133238040-133240040	+	2000	2000	255
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	2000	query_grid_filtered	837765	135706000-135708000	chr9/h2	PAN011#joint#h2_chr9:133240040-133242040	+	2000	2000	255
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	2000	query_grid_filtered	837766	135708000-135710000	chr9/h2	PAN011#joint#h2_chr9:133242040-133244040	+	2000	2000	255
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	2000	query_grid_filtered	837767	135710000-135712000	chr9/h2	PAN011#joint#h2_chr9:133244040-133246040	+	2000	2000	255
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	2000	query_grid_filtered	837768	135712000-135714000	chr9/h2	PAN011#joint#h2_chr9:133246040-133248040	+	2000	2000	255
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	2000	query_grid_filtered	837769	135714000-135716000	chr9/h2	PAN011#joint#h2_chr9:133248040-133250040	+	2000	2000	255
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	2000	query_grid_filtered	837770	135716000-135718000	chr9/h2	PAN011#joint#h2_chr9:133250040-133252040	+	2000	2000	255
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	2000	query_grid_filtered	837771	135718000-135720000	chr9/h2	PAN011#joint#h2_chr9:133252040-133254040	+	2000	2000	255
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	2000	row_start_filtered_no_merge_ani	1012102	136037407-136039407	chr3/h1	PAN011#joint#h1_chr3:202381955-202383955	+	2000	2000	
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	2000	row_start_filtered_no_merge_ani	1012104	136041407-136043407	chr3/h2	PAN011#joint#h2_chr3:205412541-205414541	+	2000	2000	
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	2000	row_start_filtered_no_merge_ani	1012103	136051407-136053407	chr3/h1	PAN011#joint#h1_chr3:202395963-202397963	+	2000	2000	
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	2000	row_start_filtered_no_merge_ani	1012105	136061877-136063877	chr3/h2	PAN011#joint#h2_chr3:205432771-205434771	+	2000	2000	
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	2000	row_start_filtered_no_merge_ani	1012106	136070020-136072020	chr3/h1	PAN011#joint#h1_chr3:202414229-202416229	+	2000	2000	
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	2000	row_start_filtered_no_merge_ani	1012132	136075322-136077322	chr3/h2	PAN011#joint#h2_chr3:205446071-205448071	+	2000	2000	
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	2000	row_start_filtered_no_merge_ani	1012126	136079322-136081322	chr3/h1	PAN011#joint#h1_chr3:202423380-202425380	+	2000	2000	
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	2000	row_start_filtered_no_merge_ani	1012127	136085322-136087322	chr3/h1	PAN011#joint#h1_chr3:202429381-202431381	+	2000	2000	
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	5000	query_grid_filtered	335651	135704825-135705000	chr9/h2	PAN011#joint#h2_chr9:133234040-133239040	+	5000	5000	255
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	5000	query_grid_filtered	335652	135705000-135710000	chr9/h2	PAN011#joint#h2_chr9:133239040-133244040	+	5000	5000	255
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	5000	query_grid_filtered	335653	135710000-135715000	chr9/h2	PAN011#joint#h2_chr9:133244040-133249040	+	5000	5000	255
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	5000	query_grid_filtered	335654	135715000-135720000	chr9/h2	PAN011#joint#h2_chr9:133249040-133254040	+	5000	5000	255
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	5000	query_grid_filtered	335655	135720000-135725000	chr9/h2	PAN011#joint#h2_chr9:133254040-133259040	+	5000	5000	255
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	5000	query_grid_filtered	335656	135725000-135730000	chr9/h2	PAN011#joint#h2_chr9:133259040-133264040	+	5000	5000	255
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	5000	query_grid_filtered	335657	135730000-135735000	chr9/h2	PAN011#joint#h2_chr9:133264040-133269040	+	5000	5000	255
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	5000	query_grid_filtered	335658	135735000-135740000	chr9/h2	PAN011#joint#h2_chr9:133269040-133274040	+	5000	5000	255
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	5000	row_start_filtered_no_merge_ani	365568	136098322-136103322	chr3/h2	PAN011#joint#h2_chr3:205469073-205474073	+	5000	5000	
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	5000	row_start_filtered_no_merge_ani	365580	136141103-136146103	chr3/h1	PAN011#joint#h1_chr3:202485422-202490422	+	5000	5000	
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	5000	row_start_filtered_no_merge_ani	365569	136143322-136148322	chr3/h2	PAN011#joint#h2_chr3:205514094-205519094	+	5000	5000	
