path	records	query_bp	aln_bp	matches	mean_identity	query_sequences	target_sequences	gzip_ok
/moosefs/erikg/phrs/.wg-worktrees/agent-2616/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_joint_parent/raw_paf/PAN027mat_vs_PAN010_joint.sweepga_many_many_j0.paf.gz	409	3161574384	3163974197	3146743850	0.994554	23	46	yes
/moosefs/erikg/phrs/.wg-worktrees/agent-2616/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_joint_parent/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_many_many_j0.paf.gz	260	3133400532	3134304368	3126953792	0.997655	23	46	yes
/moosefs/erikg/phrs/.wg-worktrees/agent-2616/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_joint_parent/raw_paf/PAN028mat_vs_PAN027_joint.sweepga_many_many_j0.paf.gz	16477	6622012399	6693742963	6245340626	0.933012	23	46	yes
/moosefs/erikg/phrs/.wg-worktrees/agent-2616/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_joint_parent/chopped_paf/PAN027mat_vs_PAN010_joint.chopped_l500000_o0.paf.gz	6570	3161574384	3163974470	3146743701	0.994554	23	46	yes
/moosefs/erikg/phrs/.wg-worktrees/agent-2616/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_joint_parent/chopped_paf/PAN027pat_vs_PAN011_joint.chopped_l500000_o0.paf.gz	6438	3133400532	3134304485	3126953303	0.997655	23	46	yes
/moosefs/erikg/phrs/.wg-worktrees/agent-2616/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_joint_parent/chopped_paf/PAN028mat_vs_PAN027_joint.chopped_l500000_o0.paf.gz	24918	6622012399	6693742935	6245340485	0.933012	23	46	yes
/moosefs/erikg/phrs/.wg-worktrees/agent-2616/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_joint_parent/filtered_paf/PAN027mat_vs_PAN010_joint.four_many_chopped.paf.gz	6429	3126794007	3128628487	3116609147	0.996158	23	46	yes
/moosefs/erikg/phrs/.wg-worktrees/agent-2616/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_joint_parent/filtered_paf/PAN027mat_vs_PAN010_joint.many_many_chopped.paf.gz	6570	3161574384	3163974470	3146743701	0.994554	23	46	yes
/moosefs/erikg/phrs/.wg-worktrees/agent-2616/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_joint_parent/filtered_paf/PAN027mat_vs_PAN010_joint.one_many_chopped.paf.gz	6120	3020951537	3021545480	3017392663	0.998626	23	45	yes
/moosefs/erikg/phrs/.wg-worktrees/agent-2616/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_joint_parent/filtered_paf/PAN027mat_vs_PAN010_joint.one_one_chopped.paf.gz	6099	3018682024	3019229602	3015377574	0.998724	23	45	yes
/moosefs/erikg/phrs/.wg-worktrees/agent-2616/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_joint_parent/filtered_paf/PAN027mat_vs_PAN010_joint.two_many_chopped.paf.gz	6339	3100758679	3101953794	3094047684	0.997451	23	45	yes
/moosefs/erikg/phrs/.wg-worktrees/agent-2616/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_joint_parent/filtered_paf/PAN027pat_vs_PAN011_joint.four_many_chopped.paf.gz	6421	3128010095	3128803739	3122503500	0.997986	23	46	yes
/moosefs/erikg/phrs/.wg-worktrees/agent-2616/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_joint_parent/filtered_paf/PAN027pat_vs_PAN011_joint.many_many_chopped.paf.gz	6438	3133400532	3134304485	3126953303	0.997655	23	46	yes
/moosefs/erikg/phrs/.wg-worktrees/agent-2616/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_joint_parent/filtered_paf/PAN027pat_vs_PAN011_joint.one_many_chopped.paf.gz	6123	3027521959	3028033880	3024015624	0.998673	23	43	yes
/moosefs/erikg/phrs/.wg-worktrees/agent-2616/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_joint_parent/filtered_paf/PAN027pat_vs_PAN011_joint.one_one_chopped.paf.gz	6110	3025881695	3026378711	3022497235	0.998717	23	43	yes
