schema_version	assignment	collection	relation	term_id	term_name	support_status	community	community_arms	community_contributor_copy_cn	term_phr_copy_cn	community_fraction_of_term_phr_cn	functional_source_count	functional_source_ids	functional_source_symbols	coordinate_copy_count	copy_ids	summary_role
chm13-physical-copy-ontology-v7.0	midpoint	GO_BP	ancestor	GO:0000910	cytokinesis	PRIMARY_SUPPORTED	C11	chr1_p|chr5_q	4	21	0.19047619047619047	1	NCBIGene:346288	SEPTIN14	4	CHM13v2.0|chr1:144134-146717|+|SEPTIN14P22_5|CHM13v2.0|chr1:146340-146717|-|SEPTIN14P13|CHM13v2.0|chr5:181897110-181899694|+|SEPTIN14P5|CHM13v2.0|chr5:181897110-181899694|-|SEPTIN14P22_7	POST_INFERENCE_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7.0	midpoint	GO_BP	ancestor	GO:0000910	cytokinesis	PRIMARY_SUPPORTED	C12	chr2_q	2	21	0.095238095238095233	1	NCBIGene:346288	SEPTIN14	2	CHM13v2.0|chr2:242631950-242634517|+|SEPTIN14P2|CHM13v2.0|chr2:242631950-242634517|-|SEPTIN14P22_16	POST_INFERENCE_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7.0	midpoint	GO_BP	ancestor	GO:0000910	cytokinesis	PRIMARY_SUPPORTED	C3	chr11_p|chr16_q|chr19_p|chr3_q|chr7_p|chr9_q	12	21	0.5714285714285714	1	NCBIGene:346288	SEPTIN14	12	CHM13v2.0|chr11:145023-147605|+|SEPTIN14P22_10|CHM13v2.0|chr11:145023-147605|-|SEPTIN14P11|CHM13v2.0|chr16:96265822-96268407|+|SEPTIN14P16|CHM13v2.0|chr16:96265822-96268407|-|SEPTIN14P22_9|CHM13v2.0|chr19:140030-142614|+|SEPTIN14P22_2|CHM13v2.0|chr19:140030-142614|-|SEPTIN14P19|CHM13v2.0|chr3:200959893-200962477|+|SEPTIN14P3|CHM13v2.0|chr3:200959893-200962477|-|SEPTIN14P22_6|CHM13v2.0|chr7:56811-59390|+|SEPTIN14P22_11|CHM13v2.0|chr7:56811-59390|-|SEPTIN14P18|CHM13v2.0|chr9:150558546-150558923|+|SEPTIN14P13_1|CHM13v2.0|chr9:150558546-150561131|-|SEPTIN14P22_3	POST_INFERENCE_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7.0	midpoint	GO_BP	ancestor	GO:0000910	cytokinesis	PRIMARY_SUPPORTED	C5	chr20_q	1	21	0.047619047619047616	1	NCBIGene:346288	SEPTIN14	1	CHM13v2.0|chr20:66115355-66117943|-|SEPTIN14P22_13	POST_INFERENCE_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7.0	midpoint	GO_BP	ancestor	GO:0000910	cytokinesis	PRIMARY_SUPPORTED	C7	chr21_p	2	21	0.095238095238095233	1	NCBIGene:112574	SNX18	2	CHM13v2.0|chr21:295588-295983|+|SNX18P16_3|CHM13v2.0|chr21:327400-328352|+|SNX18P15_2	POST_INFERENCE_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7.0	midpoint	GO_BP	ancestor	GO:0006260	DNA replication	PRIMARY_SUPPORTED	C12	chr20_p	1	10	0.10000000000000001	1	NCBIGene:1663	DDX11	1	CHM13v2.0|chr20:72708-75239|+|DDX11L9_1	POST_INFERENCE_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7.0	midpoint	GO_BP	ancestor	GO:0006260	DNA replication	PRIMARY_SUPPORTED	C14	chrX_q	1	10	0.10000000000000001	1	NCBIGene:1663	DDX11	1	CHM13v2.0|chrX:154252395-154254921|-|DDX11L16	POST_INFERENCE_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7.0	midpoint	GO_BP	ancestor	GO:0006260	DNA replication	PRIMARY_SUPPORTED	C3	chr11_p|chr19_p|chr3_q	3	10	0.29999999999999999	1	NCBIGene:1663	DDX11	3	CHM13v2.0|chr11:3434-5924|+|DDX11L17|CHM13v2.0|chr19:4460-6999|+|DDX11L1|CHM13v2.0|chr3:201097274-201099490|-|DDX11L8_1	POST_INFERENCE_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7.0	midpoint	GO_BP	ancestor	GO:0006260	DNA replication	PRIMARY_SUPPORTED	C5	chr12_p|chr20_q|chr9_p	3	10	0.29999999999999999	1	NCBIGene:1663	DDX11	3	CHM13v2.0|chr12:5295-7527|+|DDX11L8|CHM13v2.0|chr20:66202741-66205279|-|DDX11L5_1|CHM13v2.0|chr9:5788-8326|+|DDX11L5	POST_INFERENCE_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7.0	midpoint	GO_BP	ancestor	GO:0006260	DNA replication	PRIMARY_SUPPORTED	C8	chr15_q	1	10	0.10000000000000001	1	NCBIGene:1663	DDX11	1	CHM13v2.0|chr15:99745854-99748389|-|DDX11L9	POST_INFERENCE_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7.0	midpoint	GO_BP	ancestor	GO:0006260	DNA replication	PRIMARY_SUPPORTED	C9	chr16_p	1	10	0.10000000000000001	1	NCBIGene:1663	DDX11	1	CHM13v2.0|chr16:4481-7016|+|DDX11L10	POST_INFERENCE_ONLY_NOT_A_HYPOTHESIS_OR_TEST
