event_id	comparison_id	layer	evidence_use	target_chrom	event_role	paf_rows_overlapping_window	query_overlap_bp_sum	query_covered_bp_union	min_query_start	max_query_end	paf_path
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	raw_many_many_unchopped_diagnostic	diagnostic	chrY	PAR1 positive-control donor	1	144096	144096	12265	156361	/moosefs/erikg/phrs/.wg-worktrees/agent-2616/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_joint_parent/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_many_many_j0.paf.gz
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	raw_many_many_unchopped_diagnostic	diagnostic	chrX	same-chromosome context	2	362564	362564	12265	512265	/moosefs/erikg/phrs/.wg-worktrees/agent-2616/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_joint_parent/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_many_many_j0.paf.gz
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	many_many_chopped_primary	primary	chrY	PAR1 positive-control donor	1	144096	144096	12265	156361	/moosefs/erikg/phrs/.wg-worktrees/agent-2616/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_joint_parent/filtered_paf/PAN027pat_vs_PAN011_joint.many_many_chopped.paf.gz
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	many_many_chopped_primary	primary	chrX	same-chromosome context	2	362564	362564	12265	512265	/moosefs/erikg/phrs/.wg-worktrees/agent-2616/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_joint_parent/filtered_paf/PAN027pat_vs_PAN011_joint.many_many_chopped.paf.gz
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	four_many_chopped_primary	primary	chrY	PAR1 positive-control donor	1	144096	144096	12265	156361	/moosefs/erikg/phrs/.wg-worktrees/agent-2616/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_joint_parent/filtered_paf/PAN027pat_vs_PAN011_joint.four_many_chopped.paf.gz
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	four_many_chopped_primary	primary	chrX	same-chromosome context	2	362564	362564	12265	512265	/moosefs/erikg/phrs/.wg-worktrees/agent-2616/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_joint_parent/filtered_paf/PAN027pat_vs_PAN011_joint.four_many_chopped.paf.gz
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	one_one_chopped_diagnostic	diagnostic	chrY	PAR1 positive-control donor	1	144096	144096	12265	156361	/moosefs/erikg/phrs/.wg-worktrees/agent-2616/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_joint_parent/filtered_paf/PAN027pat_vs_PAN011_joint.one_one_chopped.paf.gz
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	one_one_chopped_diagnostic	diagnostic	chrX	same-chromosome context	1	358197	358197	154068	512265	/moosefs/erikg/phrs/.wg-worktrees/agent-2616/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_joint_parent/filtered_paf/PAN027pat_vs_PAN011_joint.one_one_chopped.paf.gz
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	raw_many_many_unchopped_diagnostic	diagnostic	chr9	same-chromosome context	2	530305	500000	135704825	136204825	/moosefs/erikg/phrs/.wg-worktrees/agent-2616/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_joint_parent/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_many_many_j0.paf.gz
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	many_many_chopped_primary	primary	chr9	same-chromosome context	3	530305	500000	135704825	136204825	/moosefs/erikg/phrs/.wg-worktrees/agent-2616/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_joint_parent/filtered_paf/PAN027pat_vs_PAN011_joint.many_many_chopped.paf.gz
