view	query_name	query_arm	query_start	query_end	target_hap	target_arm	nth_best	score	strand
old_bed_n1	PAN027#1#chr1.maternal:11374-511373_chr1_parm	chr1p	0	496462	PAN010#1	chr1p	1	1	+
old_bed_n1	PAN027#1#chr1.maternal:11374-511373_chr1_parm	chr1p	496462	499987	PAN010#2	chr1p	1	0.996885	+
old_bed_n1	PAN027#1#chr1.maternal:11374-511373_chr1_parm	chr1p	499987	500000	PAN010#1	chr1p	1	0.325	+
old_bed_n1	PAN027#1#chr1.maternal:246517480-247017479_chr1_qarm	chr1q	0	500000	PAN010#2	chr1q	1	1	+
old_bed_n1	PAN027#1#chr2.maternal:7468-507467_chr2_parm	chr2p	0	187715	PAN010#1	chr2p	1	1	+
old_bed_n1	PAN027#1#chr2.maternal:7468-507467_chr2_parm	chr2p	187715	198357	PAN010#2	chr2p	1	0.999018	+
old_bed_n1	PAN027#1#chr2.maternal:7468-507467_chr2_parm	chr2p	198357	500000	PAN010#1	chr2p	1	1	+
old_bed_n1	PAN027#1#chr2.maternal:242001098-242501097_chr2_qarm	chr2q	0	499999	PAN010#1	chr2q	1	1	+
old_bed_n1	PAN027#1#chr2.maternal:242001098-242501097_chr2_qarm	chr2q	499999	500000	PAN010#2	chr2q	1	1	+
old_bed_n1	PAN027#1#chr3.maternal:9503-509502_chr3_parm	chr3p	0	500000	PAN010#1	chr3p	1	1	+
old_bed_n1	PAN027#1#chr3.maternal:200905557-201405556_chr3_qarm	chr3q	0	281230	PAN010#1	chr3q	1	1	+
old_bed_n1	PAN027#1#chr3.maternal:200905557-201405556_chr3_qarm	chr3q	281230	285464	PAN010#2	chr3q	1	1	+
old_bed_n1	PAN027#1#chr3.maternal:200905557-201405556_chr3_qarm	chr3q	285464	309273	PAN010#1	chr3q	1	1	+
old_bed_n1	PAN027#1#chr3.maternal:200905557-201405556_chr3_qarm	chr3q	309273	310558	PAN010#2	chr3q	1	1	+
old_bed_n1	PAN027#1#chr3.maternal:200905557-201405556_chr3_qarm	chr3q	310558	329643	PAN010#1	chr3q	1	1	+
old_bed_n1	PAN027#1#chr3.maternal:200905557-201405556_chr3_qarm	chr3q	329643	331678	PAN010#2	chr9q	1	1	+
old_bed_n1	PAN027#1#chr3.maternal:200905557-201405556_chr3_qarm	chr3q	331678	343081	PAN010#1	chr3q	1	1	+
old_bed_n1	PAN027#1#chr3.maternal:200905557-201405556_chr3_qarm	chr3q	343081	346035	PAN010#2	chr3q	1	1	+
old_bed_n1	PAN027#1#chr3.maternal:200905557-201405556_chr3_qarm	chr3q	346035	366707	PAN010#1	chr3q	1	1	+
old_bed_n1	PAN027#1#chr3.maternal:200905557-201405556_chr3_qarm	chr3q	366707	368133	PAN010#2	chr9q	1	1	+
old_bed_n1	PAN027#1#chr3.maternal:200905557-201405556_chr3_qarm	chr3q	368133	410909	PAN010#1	chr3q	1	1	+
old_bed_n1	PAN027#1#chr3.maternal:200905557-201405556_chr3_qarm	chr3q	410909	415147	PAN010#2	chr3q	1	1	+
old_bed_n1	PAN027#1#chr3.maternal:200905557-201405556_chr3_qarm	chr3q	415147	422759	PAN010#1	chr3q	1	1	+
old_bed_n1	PAN027#1#chr3.maternal:200905557-201405556_chr3_qarm	chr3q	422759	423981	PAN010#2	chr3q	1	1	+
old_bed_n1	PAN027#1#chr3.maternal:200905557-201405556_chr3_qarm	chr3q	423981	500000	PAN010#1	chr3q	1	1	+
old_bed_n1	PAN027#1#chr4.maternal:6777-506776_chr4_parm	chr4p	0	500000	PAN010#2	chr4p	1	1	+
old_bed_n1	PAN027#1#chr4.maternal:191881281-192381280_chr4_qarm	chr4q	0	44234	PAN010#1	chr4q	1	1	+
old_bed_n1	PAN027#1#chr4.maternal:191881281-192381280_chr4_qarm	chr4q	44234	71362	PAN010#2	chr4q	1	1	+
old_bed_n1	PAN027#1#chr4.maternal:191881281-192381280_chr4_qarm	chr4q	71362	500000	PAN010#1	chr4q	1	1	+
old_bed_n1	PAN027#1#chr5.maternal:8641-508640_chr5_parm	chr5p	0	499993	PAN010#2	chr5p	1	1	+
old_bed_n1	PAN027#1#chr5.maternal:183333449-183833448_chr5_qarm	chr5q	0	12648	PAN010#2	chr5q	1	0.998578	+
old_bed_n1	PAN027#1#chr5.maternal:183333449-183833448_chr5_qarm	chr5q	12648	408550	PAN010#1	chr5q	1	1	+
old_bed_n1	PAN027#1#chr5.maternal:183333449-183833448_chr5_qarm	chr5q	408550	409710	PAN010#2	chr5q	1	1	+
old_bed_n1	PAN027#1#chr5.maternal:183333449-183833448_chr5_qarm	chr5q	409710	500000	PAN010#1	chr5q	1	1	+
old_bed_n1	PAN027#1#chr6.maternal:6947-506946_chr6_parm	chr6p	0	500000	PAN010#2	chr6p	1	1	+
old_bed_n1	PAN027#1#chr6.maternal:171365480-171865479_chr6_qarm	chr6q	0	22943	PAN010#1	chr6q	1	1	+
old_bed_n1	PAN027#1#chr6.maternal:171365480-171865479_chr6_qarm	chr6q	22943	33856	PAN010#2	chr6q	1	1	+
old_bed_n1	PAN027#1#chr6.maternal:171365480-171865479_chr6_qarm	chr6q	33856	46329	PAN010#1	chr6q	1	1	+
old_bed_n1	PAN027#1#chr6.maternal:171365480-171865479_chr6_qarm	chr6q	46329	55433	PAN010#2	chr6q	1	1	+
old_bed_n1	PAN027#1#chr6.maternal:171365480-171865479_chr6_qarm	chr6q	55433	68051	PAN010#1	chr6q	1	1	+
old_bed_n1	PAN027#1#chr6.maternal:171365480-171865479_chr6_qarm	chr6q	68051	114742	PAN010#2	chr6q	1	1	+
old_bed_n1	PAN027#1#chr6.maternal:171365480-171865479_chr6_qarm	chr6q	114742	115759	PAN010#1	chr6q	1	1	+
old_bed_n1	PAN027#1#chr6.maternal:171365480-171865479_chr6_qarm	chr6q	115759	149103	PAN010#2	chr6q	1	1	+
old_bed_n1	PAN027#1#chr6.maternal:171365480-171865479_chr6_qarm	chr6q	149103	500000	PAN010#1	chr6q	1	1	+
old_bed_n1	PAN027#1#chr7.maternal:8960-508959_chr7_parm	chr7p	0	18081	PAN010#1	chr7p	1	1	+
old_bed_n1	PAN027#1#chr7.maternal:8960-508959_chr7_parm	chr7p	18081	19090	PAN010#2	chr7p	1	1	+
old_bed_n1	PAN027#1#chr7.maternal:8960-508959_chr7_parm	chr7p	19090	500000	PAN010#1	chr7p	1	1	+
old_bed_n1	PAN027#1#chr7.maternal:159657678-160157677_chr7_qarm	chr7q	0	500000	PAN010#1	chr7q	1	1	+
old_bed_n1	PAN027#1#chr8.maternal:6750-506749_chr8_parm	chr8p	0	499998	PAN010#1	chr8p	1	1	+
old_bed_n1	PAN027#1#chr8.maternal:6750-506749_chr8_parm	chr8p	499998	500000	PAN010#2	chr8p	1	0.0149254	+
old_bed_n1	PAN027#1#chr8.maternal:146664859-147164858_chr8_qarm	chr8q	0	500000	PAN010#2	chr8q	1	1	+
old_bed_n1	PAN027#1#chr9.maternal:7315-507314_chr9_parm	chr9p	0	310873	PAN010#2	chr9p	1	1	+
