seq_a	seq_b	chr_a	arm_a	chr_b	arm_b	size_a	size_b	jaccard	hic_contact_raw	hic_contact_norm	hic_bins
HG002#1#chr10:135579917-135709916_chr10_qarm	HG002#1#chr11:2292-232292_chr11_parm	chr10	chr10_q	chr11	chr11_p	129999	230000	0.010711	0.0006254642135656421	7.446002542448121e-06	84
HG002#1#chr10:135579917-135709916_chr10_qarm	HG002#1#chr12:133545957-133570956_chr12_qarm	chr10	chr10_q	chr12	chr12_q	129999	24999	0.007684	0.0005018688307511986	3.5847773625085614e-05	14
HG002#1#chr10:135579917-135709916_chr10_qarm	HG002#1#chr12:1785-71785_chr12_parm	chr10	chr10_q	chr12	chr12_p	129999	70000	0.005672	0.0	0.0	28
HG002#1#chr10:135579917-135709916_chr10_qarm	HG002#1#chr13:109214264-109224263_chr13_qarm	chr10	chr10_q	chr13	chr13_q	129999	9999	0.07109	0.0002911419879180547	4.15917125597221e-05	7
HG002#1#chr10:135579917-135709916_chr10_qarm	HG002#1#chr13:16777-516777_chr13_parm	chr10	chr10_q	chr13	chr13_p	129999	500000	0.005696	0.00524102857101582	2.994873469151897e-05	175
HG002#1#chr10:135579917-135709916_chr10_qarm	HG002#1#chr14:1906-501906_chr14_parm	chr10	chr10_q	chr14	chr14_p	129999	500000	0.005699	0.003258001050071748	1.790110467072389e-05	182
HG002#1#chr10:135579917-135709916_chr10_qarm	HG002#1#chr15:1485-501485_chr15_parm	chr10	chr10_q	chr15	chr15_p	129999	500000	0.0	0.0034221815225467696	1.8803195178828404e-05	182
HG002#1#chr10:135579917-135709916_chr10_qarm	HG002#1#chr15:96129595-96254594_chr15_qarm	chr10	chr10_q	chr15	chr15_q	129999	124999	0.003084	0.0003584210973441869	1.0240602781262482e-05	35
HG002#1#chr10:135579917-135709916_chr10_qarm	HG002#1#chr16:2150-212150_chr16_parm	chr10	chr10_q	chr16	chr16_p	129999	210000	0.042762	0.005378764155634555	7.68394879376365e-05	70
HG002#1#chr10:135579917-135709916_chr10_qarm	HG002#1#chr16:93566876-93611875_chr16_qarm	chr10	chr10_q	chr16	chr16_q	129999	44999	0.019962	0.0	0.0	21
HG002#1#chr10:135579917-135709916_chr10_qarm	HG002#1#chr17:2482-47482_chr17_parm	chr10	chr10_q	chr17	chr17_p	129999	45000	0.006325	0.0006363350825524458	3.0301670597735514e-05	21
HG002#1#chr10:135579917-135709916_chr10_qarm	HG002#1#chr17:84791192-84841191_chr17_qarm	chr10	chr10_q	chr17	chr17_q	129999	49999	0.105115	0.001156084050620899	8.257743218720706e-05	14
HG002#1#chr10:135579917-135709916_chr10_qarm	HG002#1#chr18:2606-102606_chr18_parm	chr10	chr10_q	chr18	chr18_p	129999	100000	0.026717	0.013120363042704707	0.000312389596254874	42
HG002#1#chr10:135579917-135709916_chr10_qarm	HG002#1#chr19:2417-207417_chr19_parm	chr10	chr10_q	chr19	chr19_p	129999	205000	0.032921	0.0015956337261161452	2.0722515923586302e-05	77
HG002#1#chr10:135579917-135709916_chr10_qarm	HG002#1#chr19:61328646-61353645_chr19_qarm	chr10	chr10_q	chr19	chr19_q	129999	24999	0.154029	0.0009394488492510247	0.0001342069784644321	7
HG002#1#chr10:135579917-135709916_chr10_qarm	HG002#1#chr1:252037981-252057980_chr1_qarm	chr10	chr10_q	chr1	chr1_q	129999	19999	0.13757	0.0037824318302793715	0.00027017370216281223	14
HG002#1#chr10:135579917-135709916_chr10_qarm	HG002#1#chr1:3400-298400_chr1_parm	chr10	chr10_q	chr1	chr1_p	129999	295000	0.008828	0.0013928194758071354	1.3264947388639385e-05	105
HG002#1#chr10:135579917-135709916_chr10_qarm	HG002#1#chr20:2205-102205_chr20_parm	chr10	chr10_q	chr20	chr20_p	129999	100000	0.059761	0.0010007692190861048	2.3827838549669163e-05	42
HG002#1#chr10:135579917-135709916_chr10_qarm	HG002#1#chr20:66928048-67033047_chr20_qarm	chr10	chr10_q	chr20	chr20_q	129999	104999	0.017294	0.0005230301854442314	1.2453099653434082e-05	42
HG002#1#chr10:135579917-135709916_chr10_qarm	HG002#1#chr21:44290840-44310839_chr21_qarm	chr10	chr10_q	chr21	chr21_q	129999	19999	0.14052	0.0043530392966810655	0.0006218627566687236	7
HG002#1#chr10:135579917-135709916_chr10_qarm	HG002#1#chr21:9837-509837_chr21_parm	chr10	chr10_q	chr21	chr21_p	129999	500000	0.0	0.0	0.0	49
HG002#1#chr10:135579917-135709916_chr10_qarm	HG002#1#chr22:49402876-49427875_chr22_qarm	chr10	chr10_q	chr22	chr22_q	129999	24999	0.154494	0.0032169866822599033	0.00045956952603712906	7
