run_id	query_chrom	query_start	query_end	target_chrom	donor_haplotype	donor_seq	donor_start	donor_end	bp	query_span_bp	donor_span_bp	windows	mean_same_identity	mean_inter_identity	delta_identity	category
chr22_run0180	chr22	4576000	4680000	chr15	h2	PAN027#joint#h2_chr15	6053093	6157084	104000	104000	103991	52	0.969414	0.999649	0.030235	acro_acro
chr22_run0385	chr22	12598000	12650000	chr14	h2	PAN027#joint#h2_chr14	11906836	11957764	52000	52000	50928	26	0.839278	0.965155	0.125877	acro_acro
chr15_run0120	chr15	2304000	2354000	chr14	h2	PAN027#joint#h2_chr14	1691218	1741230	50000	50000	50012	25	0.994350	0.999420	0.005070	acro_acro
chr21_run0378	chr21	6950000	7000000	chr13	h1	PAN027#joint#h1_chr13	6626012	6676013	50000	50000	50001	25	0.952464	0.999150	0.046686	acro_acro
chr22_run0079	chr22	2534000	2584000	chr14	h2	PAN027#joint#h2_chr14	1691713	1741720	50000	50000	50007	25	0.995301	0.999470	0.004169	acro_acro
chr15_run0118	chr15	2258000	2302000	chr14	h2	PAN027#joint#h2_chr14	1645238	1689233	44000	44000	43995	22	0.993016	0.998852	0.005836	acro_acro
chr22_run0077	chr22	2488000	2532000	chr14	h2	PAN027#joint#h2_chr14	1645735	1689733	44000	44000	43998	22	0.993772	0.999591	0.005819	acro_acro
chr21_run0100	chr21	2754000	2794000	chr15	h1	PAN027#joint#h1_chr15	4085425	4125403	40000	40000	39978	20	0.968177	0.998498	0.030321	acro_acro
chr21_run0317	chr21	6276000	6316000	chr4	h1	PAN027#joint#h1_chr4	49738564	49778566	40000	40000	40002	20	0.927134	0.992326	0.065192	acro_other
chr21_run0099	chr21	2700000	2738000	chr15	h1	PAN027#joint#h1_chr15	4031404	4069369	38000	38000	37965	19	0.891144	0.996826	0.105681	acro_acro
chr21_run0032	chr21	438000	474000	chr14	h2	PAN027#joint#h2_chr14	529576	565613	36000	36000	36037	18	0.990403	0.995771	0.005367	acro_acro
chr21_run0134	chr21	2912000	2948000	chr22	h2	PAN027#joint#h2_chr22	2827873	2863875	36000	36000	36002	18	0.942759	0.999583	0.056824	acro_acro
chr21_run0635	chr21	9316000	9352000	chr13	h2	PAN027#joint#h2_chr13	8292911	8328936	36000	36000	36025	18	0.908933	0.996350	0.087417	acro_acro
chr22_run0065	chr22	2418000	2454000	chr13	h2	PAN027#joint#h2_chr13	1867760	1903764	36000	36000	36004	18	0.985655	0.998167	0.012512	acro_acro
chr14_run0326	chr14	15326000	15360000	chr21	h2	PAN027#joint#h2_chr21	6062892	6096899	34000	34000	34007	17	0.980833	0.995897	0.015065	acro_acro
chr21_run0098	chr21	2664000	2698000	chr15	h1	PAN027#joint#h1_chr15	3995459	4029389	34000	34000	33930	17	0.987159	0.996284	0.009124	acro_acro
chr13_run0004	chr13	7932000	7964000	chr21	h2	PAN027#joint#h2_chr21	5916533	5948528	32000	32000	31995	16	0.825421	0.999328	0.173907	acro_acro
chr15_run0142	chr15	2610000	2640000	chr21	h1	PAN027#joint#h1_chr21	2046636	2076613	30000	30000	29977	15	0.925373	0.999448	0.074074	acro_acro
chr21_run0226	chr21	5018000	5048000	chr14	h1	PAN027#joint#h1_chr14	3992919	4022910	30000	30000	29991	15	0.997098	0.999083	0.001984	acro_acro
chr5_run0036	chr5	183044000	183074000	chr1	h2	PAN027#joint#h2_chr1	44750	74758	30000	30000	30008	15	0.890780	0.998033	0.107254	chr5_chr1_candidate
chr21_run0021	chr21	238000	266000	chr14	h1	PAN027#joint#h1_chr14	330323	358324	28000	28000	28001	14	0.975444	0.998696	0.023252	acro_acro
chr22_run0027	chr22	182000	210000	chr14	h1	PAN027#joint#h1_chr14	329676	357677	28000	28000	28001	14	0.954013	0.998447	0.044434	acro_acro
chr15_run0264	chr15	3338000	3364000	chr14	h2	PAN027#joint#h2_chr14	4067343	4093345	26000	26000	26002	13	0.997116	0.998731	0.001615	acro_acro
