page_order	page_id	page_label	query_sample	query_haplotype	comparison_id	query_chrom	query_chrom_order	query_chrom_length
1	PAN027_hap1_maternal_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027	PAN027#1	PAN027mat_vs_PAN010_joint	chr1	1	247024268
1	PAN027_hap1_maternal_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027	PAN027#1	PAN027mat_vs_PAN010_joint	chr2	2	242507399
1	PAN027_hap1_maternal_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027	PAN027#1	PAN027mat_vs_PAN010_joint	chr3	3	201412273
1	PAN027_hap1_maternal_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027	PAN027#1	PAN027mat_vs_PAN010_joint	chr4	4	192392806
1	PAN027_hap1_maternal_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027	PAN027#1	PAN027mat_vs_PAN010_joint	chr5	5	183839754
1	PAN027_hap1_maternal_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027	PAN027#1	PAN027mat_vs_PAN010_joint	chr6	6	171871943
1	PAN027_hap1_maternal_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027	PAN027#1	PAN027mat_vs_PAN010_joint	chr7	7	160164198
1	PAN027_hap1_maternal_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027	PAN027#1	PAN027mat_vs_PAN010_joint	chr8	8	147174794
1	PAN027_hap1_maternal_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027	PAN027#1	PAN027mat_vs_PAN010_joint	chr9	9	129071589
1	PAN027_hap1_maternal_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027	PAN027#1	PAN027mat_vs_PAN010_joint	chr10	10	134377690
1	PAN027_hap1_maternal_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027	PAN027#1	PAN027mat_vs_PAN010_joint	chr11	11	134801169
1	PAN027_hap1_maternal_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027	PAN027#1	PAN027mat_vs_PAN010_joint	chr12	12	134857675
1	PAN027_hap1_maternal_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027	PAN027#1	PAN027mat_vs_PAN010_joint	chr13	13	109439428
1	PAN027_hap1_maternal_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027	PAN027#1	PAN027mat_vs_PAN010_joint	chr14	14	100407886
1	PAN027_hap1_maternal_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027	PAN027#1	PAN027mat_vs_PAN010_joint	chr15	15	98030055
1	PAN027_hap1_maternal_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027	PAN027#1	PAN027mat_vs_PAN010_joint	chr16	16	91592334
1	PAN027_hap1_maternal_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027	PAN027#1	PAN027mat_vs_PAN010_joint	chr17	17	84214608
1	PAN027_hap1_maternal_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027	PAN027#1	PAN027mat_vs_PAN010_joint	chr18	18	81158592
1	PAN027_hap1_maternal_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027	PAN027#1	PAN027mat_vs_PAN010_joint	chr19	19	62748151
