event_id	comparison_id	panel_label	source_layer	query_name	query_sample	query_hap	query_chrom	window_start	window_end	query_start	query_end	query_clip_start	query_clip_end	query_rel_start	query_rel_end	window_overlap_bp	query_length	target_name	target_sample	target_hap	target_chrom	target_bucket	target_start	target_end	target_length	strand	matches	alignment_length	identity	block_length	mapq	expected_target_chroms	is_expected_target	source_paf	source_paf_line
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	raw_many_many_whole_genome	PAN027#2#chrX	PAN027	2	chrX	0	500000	6	12026	6	12026	6	12026	12020	154091348	PAN011#joint#h1_chr14	PAN011	h1	chr14	other	1859	13940	102917839	+	11840	12102	0.978351	12102	255	chrX,chrY	no	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	629355
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	raw_many_many_whole_genome	PAN027#2#chrX	PAN027	2	chrX	0	500000	6	12060	6	12060	6	12060	12054	154091348	PAN011#joint#h1_chr14	PAN011	h1	chr14	other	1733	13808	102917839	+	11895	12097	0.983302	12097	255	chrX,chrY	no	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	629356
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	raw_many_many_whole_genome	PAN027#2#chrX	PAN027	2	chrX	0	500000	6	12258	6	12258	6	12258	12252	154091348	PAN011#joint#h1_chr14	PAN011	h1	chr14	other	1499	13773	102917839	+	12089	12295	0.983245	12295	255	chrX,chrY	no	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	629357
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	raw_many_many_whole_genome	PAN027#2#chrX	PAN027	2	chrX	0	500000	6	12258	6	12258	6	12258	12252	154091348	PAN011#joint#h1_chr14	PAN011	h1	chr14	other	1235	13509	102917839	+	12095	12295	0.983733	12295	255	chrX,chrY	no	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	629358
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	raw_many_many_whole_genome	PAN027#2#chrX	PAN027	2	chrX	0	500000	6	12258	6	12258	6	12258	12252	154091348	PAN011#joint#h1_chr14	PAN011	h1	chr14	other	1079	13353	102917839	+	12114	12295	0.985279	12295	255	chrX,chrY	no	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	629359
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	raw_many_many_whole_genome	PAN027#2#chrX	PAN027	2	chrX	0	500000	6	12258	6	12258	6	12258	12252	154091348	PAN011#joint#h1_chr14	PAN011	h1	chr14	other	875	13149	102917839	+	12112	12295	0.985116	12295	255	chrX,chrY	no	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	629360
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	raw_many_many_whole_genome	PAN027#2#chrX	PAN027	2	chrX	0	500000	6	12258	6	12258	6	12258	12252	154091348	PAN011#joint#h1_chr14	PAN011	h1	chr14	other	827	13101	102917839	+	12121	12295	0.985848	12295	255	chrX,chrY	no	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	629361
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	raw_many_many_whole_genome	PAN027#2#chrX	PAN027	2	chrX	0	500000	6	11203	6	11203	6	11203	11197	154091348	PAN011#joint#h1_chr22	PAN011	h1	chr22	other	1016	12248	51803545	+	11066	11266	0.982247	11266	255	chrX,chrY	no	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	629362
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	raw_many_many_whole_genome	PAN027#2#chrX	PAN027	2	chrX	0	500000	6	1564	6	1564	6	1564	1558	154091348	PAN011#joint#h2_chr3	PAN011	h2	chr3	chr3	205575583	205577162	205578940	-	1495	1612	0.927419	1612	255	chrX,chrY	no	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	629363
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	raw_many_many_whole_genome	PAN027#2#chrX	PAN027	2	chrX	0	500000	6	580	6	580	6	580	574	154091348	PAN011#joint#h2_chr7	PAN011	h2	chr7	other	161472333	161472922	161478418	-	524	608	0.861842	608	255	chrX,chrY	no	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	629364
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	raw_many_many_whole_genome	PAN027#2#chrX	PAN027	2	chrX	0	500000	6	12247	6	12247	6	12247	12241	154091348	PAN011#joint#h2_chr22	PAN011	h2	chr22	other	1993	14250	49191171	+	12046	12302	0.979190	12302	255	chrX,chrY	no	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	629365
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	raw_many_many_whole_genome	PAN027#2#chrX	PAN027	2	chrX	0	500000	6	12205	6	12205	6	12205	12199	154091348	PAN011#joint#h2_chr22	PAN011	h2	chr22	other	1735	13949	49191171	+	12055	12242	0.984725	12242	255	chrX,chrY	no	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	629366
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	raw_many_many_whole_genome	PAN027#2#chrX	PAN027	2	chrX	0	500000	6	12258	6	12258	6	12258	12252	154091348	PAN011#joint#h2_chr22	PAN011	h2	chr22	other	1657	13936	49191171	+	12117	12302	0.984962	12302	255	chrX,chrY	no	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	629367
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	raw_many_many_whole_genome	PAN027#2#chrX	PAN027	2	chrX	0	500000	6	12258	6	12258	6	12258	12252	154091348	PAN011#joint#h2_chr22	PAN011	h2	chr22	other	1621	13894	49191171	+	12106	12294	0.984708	12294	255	chrX,chrY	no	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	629368
