chrom_arm	source_rows	retained_interchrom_signal_rows	zero_signal_rows	in_41x41_matrix	leiden_community	community_arms	tree_tip_status	collapsed_with	audit_status	reason
chr1_p	439	438	1	TRUE	C11	1p, 5q, 6q, 8p	distinct_tip	none	present_distinct_tree_tip	present in source matrix and rendered as an individual NJ tip
chr1_q	445	445	0	TRUE	C6	1q, 13q, 17q, 19q, 21q, 22q	distinct_tip	none	present_distinct_tree_tip	present in source matrix and rendered as an individual NJ tip
chr2_p	438	0	438	FALSE	NA	NA	no_tip_matrix_excluded	NA	zero_signal_excluded	excluded from 41x41 matrix because all source rows have zero retained inter-chromosomal PHR signal at the >=95% identity threshold
chr2_q	450	450	0	TRUE	C12	2q, 20p	distinct_tip	none	present_distinct_tree_tip	present in source matrix and rendered as an individual NJ tip
chr3_p	453	0	453	FALSE	NA	NA	no_tip_matrix_excluded	NA	zero_signal_excluded	excluded from 41x41 matrix because all source rows have zero retained inter-chromosomal PHR signal at the >=95% identity threshold
chr3_q	436	436	0	TRUE	C3	3q, 7p, 9q, 11p, 16q, 19p	distinct_tip	none	present_distinct_tree_tip	present in source matrix and rendered as an individual NJ tip
chr4_p	448	448	0	TRUE	C13	4p	distinct_tip	none	present_distinct_tree_tip	present in source matrix and rendered as an individual NJ tip
chr4_q	357	357	0	TRUE	C1	4q, 10q	distinct_tip	none	present_distinct_tree_tip	present in source matrix and rendered as an individual NJ tip
chr5_p	451	0	451	FALSE	NA	NA	no_tip_matrix_excluded	NA	zero_signal_excluded	excluded from 41x41 matrix because all source rows have zero retained inter-chromosomal PHR signal at the >=95% identity threshold
chr5_q	447	447	0	TRUE	C11	1p, 5q, 6q, 8p	distinct_tip	none	present_distinct_tree_tip	present in source matrix and rendered as an individual NJ tip
chr6_p	447	417	30	TRUE	C5	6p, 9p, 12p, 20q	distinct_tip	none	present_distinct_tree_tip	present in source matrix and rendered as an individual NJ tip
chr6_q	440	440	0	TRUE	C11	1p, 5q, 6q, 8p	distinct_tip	none	present_distinct_tree_tip	present in source matrix and rendered as an individual NJ tip
chr7_p	438	438	0	TRUE	C3	3q, 7p, 9q, 11p, 16q, 19p	distinct_tip	none	present_distinct_tree_tip	present in source matrix and rendered as an individual NJ tip
